trace_id,model_correct,model_ties,model_abs_error,baseline_correct,baseline_ties,baseline_abs_error
trace_alphabet_soup_s5_w0_10_s20d_clean_seed0_job500000,1,1,0,0,3,-1
trace_alphabet_soup_s8_w0_10_s20d_clean_seed0_job540200,1,1,0,0,4,-1
trace_alphabet_soup_s9_w0_10_s20d_clean_seed0_job540200,0,1,5,0,3,-1
trace_alphabet_soup_s26_w0_10_s20d_clean_seed0_job590300,1,1,0,0,2,-1
trace_butter_s3_w0_10_s20d_clean_seed0_job510100,0,1,60,1,1,0
trace_butter_s6_w0_10_s20d_clean_seed0_job590100,1,1,0,0,3,-1
trace_butter_s8_w0_10_s20d_clean_seed0_job590100,1,1,0,0,1,82
trace_chocolate_pudding_s4_w0_10_s20d_clean_seed0_job520100,0,1,15,0,5,-1
trace_chocolate_pudding_s5_w0_10_s20d_clean_seed0_job520100,1,1,0,0,2,-1
trace_chocolate_pudding_s16_w0_10_s20d_clean_seed0_job590000,1,1,0,0,1,84
trace_cream_cheese_s0_w0_10_s20d_clean_seed0_job540000,0,1,23,0,2,-1
trace_cream_cheese_s6_w0_10_s20d_clean_seed0_job540000,1,1,0,0,1,75
trace_cream_cheese_s8_w0_10_s20d_clean_seed0_job570000,1,1,0,0,1,45
trace_cream_cheese_s9_w0_10_s20d_clean_seed0_job590100,1,1,0,0,2,-1
trace_ketchup_s0_w0_10_s20d_clean_seed0_job540100,0,1,2,0,3,-1
trace_ketchup_s6_w0_10_s20d_clean_seed0_job590200,1,1,0,0,4,-1
trace_milk_s3_w0_10_s20d_clean_seed0_job530000,1,1,0,0,3,-1
trace_milk_s8_w0_10_s20d_clean_seed0_job530000,1,1,0,0,5,-1
trace_orange_juice_s0_w0_10_s20d_clean_seed0_job530100,0,1,27,0,3,-1
trace_salad_dressing_s20_w0_10_s20d_clean_seed0_job520000,0,1,10,0,1,10
trace_salad_dressing_s22_w0_10_s20d_clean_seed0_job520000,1,1,0,1,1,0
trace_salad_dressing_s36_w0_10_s20d_clean_seed0_job520000,1,1,0,0,2,-1
trace_tomato_sauce_s9_w0_10_s20d_clean_seed0_job560000,1,1,0,0,2,-1
trace_tomato_sauce_s30_w0_10_s20d_clean_seed0_job590200,1,1,0,0,4,-1
trace_tomato_sauce_s48_w0_10_s20d_clean_seed0_job590200,1,1,0,0,14,-1
