seed,best_epoch,val_top1,val_mae,test_top1,test_top1_n,test_top2,test_n_ties
0,12,0.8,14.2,0.7143,15/21,0.8571,0
1,4,0.75,16.4,0.619,13/21,0.7619,0
2,1,0.75,13.736842105263158,0.619,13/21,0.7619,0
3,11,0.8,14.0,0.7143,15/21,0.8571,0
4,7,0.75,16.4,0.5714,12/21,0.8095,0
5,3,0.75,16.4,0.619,13/21,0.7143,0
6,23,0.8,12.25,0.7619,16/21,0.9048,0
7,12,0.8,14.0,0.6667,14/21,0.8571,0
8,30,0.75,14.45,0.7619,16/21,0.9048,0
9,26,0.75,15.0,0.7143,15/21,0.9048,0
42,6,0.8,14.2,0.619,13/21,0.8571,0
101,4,0.75,16.4,0.619,13/21,0.7619,0
202,4,0.75,16.4,0.619,13/21,0.7619,0
303,7,0.8,14.0,0.619,13/21,0.9048,0
404,1,0.8,14.2,0.619,13/21,0.8095,0
505,10,0.8,14.2,0.6667,14/21,0.8571,0
