fold,test_task_idx,test_task_name,val_task_idx,val_task_name,train_task_indices,status
00,8,chocolate_pudding,6,butter,"0,1,2,3,4,5,7,9",COMPLETE_AMENDMENT_CONTROLLED
01,9,orange_juice,7,milk,"0,1,2,3,4,5,6,8",PENDING_PROTOCOL_REVIEW
02,0,alphabet_soup,8,chocolate_pudding,"1,2,3,4,5,6,7,9",PENDING_PROTOCOL_REVIEW
03,1,cream_cheese,9,orange_juice,"0,2,3,4,5,6,7,8",PENDING_PROTOCOL_REVIEW
04,2,salad_dressing,0,alphabet_soup,"1,3,4,5,6,7,8,9",PENDING_PROTOCOL_REVIEW
05,3,bbq_sauce,1,cream_cheese,"0,2,4,5,6,7,8,9",PENDING_PROTOCOL_REVIEW
06,4,ketchup,2,salad_dressing,"0,1,3,5,6,7,8,9",PENDING_PROTOCOL_REVIEW
07,5,tomato_sauce,3,bbq_sauce,"0,1,2,4,6,7,8,9",PENDING_PROTOCOL_REVIEW
08,6,butter,4,ketchup,"0,1,2,3,5,7,8,9",PENDING_PROTOCOL_REVIEW
09,7,milk,5,tomato_sauce,"0,1,2,3,4,6,8,9",PENDING_PROTOCOL_REVIEW
