experiment_id,phase,table_id,cell_id,suite,train_regime,condition,parent_n,rollout_authorized,required_gate,primary_metric
P0_CLAIM_FREEZE,P0,ALL,ALL,ALL,N/A,N/A,0,false,PLANNING_PR_APPROVED,N/A
P1_LABEL_V2_OBJECT,P1,Table2,T2_OBJECT_LABEL,Object,N/A,CLEAN2000_LABEL_V2,0,false,GATE_A_PLANNING_COMPLETE,label_row_closure
P1_LABEL_V2_SPATIAL,P1,Table2,T2_SPATIAL_LABEL,Spatial,N/A,CLEAN2000_LABEL_V2,0,false,GATE_A_PLANNING_COMPLETE,label_row_closure
P1_LABEL_V2_GOAL,P1,Table2,T2_GOAL_LABEL,Goal,N/A,CLEAN2000_LABEL_V2,0,false,GATE_A_PLANNING_COMPLETE,label_row_closure
P1_LABEL_V2_LIBERO10,P1,Table2,T2_LIBERO10_LABEL,LIBERO-10,N/A,CLEAN2000_LABEL_V2,0,false,GATE_A_PLANNING_COMPLETE,label_row_closure
P2_DET_OBJECT_ONLY_OBJECT,P2,Table2,T2_OBJECT_ONLY_OBJECT,Object,Object-only,DETECTOR_ONLY,0,false,GATE_B_LABEL_V2_COMPLETE,event_recall
P2_DET_OBJECT_ONLY_SPATIAL,P2,Table2,T2_OBJECT_ONLY_SPATIAL,Spatial,Object-only,DETECTOR_ONLY,0,false,GATE_B_LABEL_V2_COMPLETE,event_recall
P2_DET_OBJECT_ONLY_GOAL,P2,Table2,T2_OBJECT_ONLY_GOAL,Goal,Object-only,DETECTOR_ONLY,0,false,GATE_B_LABEL_V2_COMPLETE,event_recall
P2_DET_OBJECT_ONLY_LIBERO10,P2,Table2,T2_OBJECT_ONLY_LIBERO10,LIBERO-10,Object-only,DETECTOR_ONLY,0,false,GATE_B_LABEL_V2_COMPLETE,event_recall
P2_DET_POOLED_BY_SUITE,P2,Table2,T2_POOLED_EACH_SUITE,ALL,Pooled,DETECTOR_ONLY,0,false,GATE_B_LABEL_V2_COMPLETE,macro_event_recall
P2_DET_LOSO_BY_SUITE,P2,Table2,T2_LOSO_HELDOUT,ALL,LOSO,DETECTOR_ONLY,0,false,GATE_B_LABEL_V2_COMPLETE,heldout_event_recall
P3_OBJECT_CLEAN,P3,Table1,T1_OBJECT_CLEAN,Object,N/A,Clean,0,false,GATE_C_DETECTOR_PASS,ITT_FR
P3_OBJECT_OURS,P3,Table1,T1_OBJECT_OURS,Object,N/A,Ours,0,false,GATE_D_OBJECT_SMOKE_PASS,ITT_FR
P3_OBJECT_RAND_DIRECTION,P3,Table1,T1_OBJECT_RAND,Object,N/A,RAND_DIRECTION,0,false,GATE_D_OBJECT_SMOKE_PASS,ITT_FR
P3_OBJECT_RANDOM_TIME,P3,Table1,T1_OBJECT_RANDOM_TIME,Object,N/A,RANDOM_TIME,0,false,GATE_D_OBJECT_SMOKE_PASS,ITT_FR
P3_OBJECT_MECHANISM,P3,Table3,T3_OBJECT_MECHANISM,Object,N/A,MECHANISM_CONTROLS,0,false,GATE_D_OBJECT_SMOKE_PASS,gripper_duty_delta
P4_CROSS_SUITE_ATTACK_MAIN,P4,Table1,T1_ALL_SUITES_MAIN,ALL,N/A,Clean/Ours/RAND_DIRECTION/RANDOM_TIME,200,false,GATE_E_FORMAL_MATRIX_FROZEN,macro_ITT_FR
P5_ABLATION_DETECTOR_ATTACK,P5,Table4,T4_ABLATIONS,ALL,N/A,ABLATIONS,0,false,GATE_E_FORMAL_MATRIX_FROZEN,CQFR
P5_CONTACT_QUALITY_EVAL,P5,Table5,T5_CONTACT_QUALITY,ALL,N/A,EVALUATION_ONLY,0,false,GATE_E_FORMAL_MATRIX_FROZEN,missed_failures

