group,episode_key,profile,task_idx,state_id,success,n_steps,emit_step,arm_step,arm_to_emit,n_evidence_breaks,phase_invalid_at_emit,pre_emit_evidence_break,sticky_arm,phase_at_arm,phase_at_emit,corridor_p_at_arm,corridor_p_at_emit,release_p_at_arm,release_p_at_emit,cell_hypothesis,teacher_sc_present,teacher_anchor,teacher_k10_valid,teacher_k10_reason
FALSE_TRIGGER,butter_s1,B0,6,1,False,400,112,105,7,4,False,True,True,stable_carry,stable_carry,0.6179,0.9349,0.0002,0.0002,A_STICKY_ARM,False,-1,False,no_stable_carry_phase
FALSE_TRIGGER,chocolate_pudding_s1,B0,8,1,False,400,42,37,5,4,True,True,True,stable_carry,pre_place_unsupported,0.4395,0.8113,0.0351,0.1759,A_STICKY_ARM,False,-1,False,no_stable_carry_phase
FALSE_TRIGGER,cream_cheese_s0,B0,1,0,False,400,149,144,5,0,False,False,False,stable_carry,stable_carry,0.3708,0.8615,0.0004,0.0007,B_SUSTAINED_MODEL_MISCLASSIFICATION,False,-1,False,no_stable_carry_phase
FALSE_TRIGGER,butter_s2,B0,6,2,False,400,33,28,5,0,False,False,False,stable_carry,stable_carry,0.5058,0.9106,0.0011,0.0052,B_SUSTAINED_MODEL_MISCLASSIFICATION,False,-1,False,no_stable_carry_phase
FALSE_TRIGGER,butter_s1,D1,6,1,False,400,92,87,5,0,False,False,False,stable_carry,stable_carry,0.4395,0.9177,0.0000,0.0000,B_SUSTAINED_MODEL_MISCLASSIFICATION,False,-1,False,no_stable_carry_phase
FALSE_TRIGGER,bbq_sauce_s2,D1,3,2,False,400,210,205,5,0,False,False,False,stable_carry,stable_carry,0.3050,0.4439,0.0001,0.0001,B_SUSTAINED_MODEL_MISCLASSIFICATION,False,-1,False,no_stable_carry_phase
TRUE_POSITIVE,cream_cheese_s1,D1,1,1,True,189,98,93,5,0,False,False,False,stable_carry,stable_carry,0.3024,0.9940,0.0005,0.0007,B_SUSTAINED_MODEL_MISCLASSIFICATION,True,94,True,sc5_corridor_valid
TRUE_POSITIVE,butter_s0,B0,6,0,True,180,102,97,5,0,False,False,False,stable_carry,stable_carry,0.5812,0.9984,0.0000,0.0000,B_SUSTAINED_MODEL_MISCLASSIFICATION,True,98,True,sc5_corridor_valid
TRUE_POSITIVE,cream_cheese_s0,D1,1,0,True,150,103,98,5,0,False,False,False,stable_carry,stable_carry,0.5541,0.9952,0.0000,0.0000,B_SUSTAINED_MODEL_MISCLASSIFICATION,True,101,True,sc5_corridor_valid
TRUE_POSITIVE,chocolate_pudding_s1,D1,8,1,True,169,87,82,5,0,False,False,False,stable_carry,stable_carry,0.3763,0.9864,0.0000,0.0000,B_SUSTAINED_MODEL_MISCLASSIFICATION,True,85,True,sc5_corridor_valid
TRUE_POSITIVE,chocolate_pudding_s2,B0,8,2,True,153,86,81,5,0,False,False,False,stable_carry,stable_carry,0.5718,0.9959,0.0000,0.0000,B_SUSTAINED_MODEL_MISCLASSIFICATION,True,85,True,sc5_corridor_valid
TRUE_POSITIVE,chocolate_pudding_s2,D1,8,2,True,186,85,80,5,0,False,False,False,stable_carry,stable_carry,0.6098,0.9958,0.0000,0.0000,B_SUSTAINED_MODEL_MISCLASSIFICATION,True,83,True,sc5_corridor_valid
CORRECT_ABSTAIN,bbq_sauce_s2,B0,3,2,False,400,-1,-1,-1,0,False,,,,-,-,-,-,-,-,N_A_NOT_TRIGGERED,False,-1,False,no_stable_carry_phase
CORRECT_ABSTAIN,alphabet_soup_s1,D1,0,1,False,400,-1,-1,-1,0,False,,,,-,-,-,-,-,-,N_A_NOT_TRIGGERED,False,-1,False,no_stable_carry_phase
CORRECT_ABSTAIN,orange_juice_s2,B0,9,2,False,400,-1,94,-1,303,False,,,,-,-,-,-,-,-,N_A_NOT_TRIGGERED,False,-1,False,no_stable_carry_phase
CORRECT_ABSTAIN,tomato_sauce_s0,B0,5,0,False,400,-1,-1,-1,0,False,,,,-,-,-,-,-,-,N_A_NOT_TRIGGERED,False,-1,False,no_stable_carry_phase
CORRECT_ABSTAIN,butter_s2,D1,6,2,False,400,-1,-1,-1,0,False,,,,-,-,-,-,-,-,N_A_NOT_TRIGGERED,False,-1,False,no_stable_carry_phase
