pool,task,parent_state,perturbation_template,base_seed,condition,attack_frames,telemetry_sha256,episode_summary_sha256,done_exit_code,n_steps,collector,profile
dev,0,23,P0,42,CLEAN,0,0a93a8a86d5e74c8bf58fd59d9bd55d712338421065c70654efa53719d096f01,b34a2e33cb063e3d7f613a3486e91d9d585cf1830b9fed2e76ea6c04693e354d,0,145,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,0,24,P0,42,CLEAN,0,588e6e6bd05f04defaabca3d5d132c16eddb6be511916491c9d34c2f3c00c41e,c2a7a930e51d36f14c38a914320dd169c91e2fee432826478d0494c74e2f90f8,0,156,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,0,25,P0,42,CLEAN,0,a889c0a7da9f274de5df6b74a3c0e5d53825d262f27c1a2373c4391c488212c9,f1b41b4d38a814d82c1ef970ac587e544a70e53aa759cc19e0abcecda92e9b5e,0,155,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,0,26,P0,42,CLEAN,0,36168451fc1437701cf229b5c69e85538c81c6fa72ec046a044050fad8b1f113,9bf056c9fcb32b6cd9a650c4c4f3440ca8d1c82b28022eb56eb2ab0bf86dd681,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,0,27,P0,42,CLEAN,0,f076ad02518ba64497c8a4bb75ff3faf34392d13a73ce138af1003c73689b2ed,d49119471a421646aba1a4bd8044f94c7c8108492c77015c7348bd252a383224,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,1,23,P0,42,CLEAN,0,10de076dd39c219bd05af3209ecdbaa07bc2c25ce7500e61b39a5d8cd4173832,59a3a1eb9fd480b269b7537f07aaa112b0af3341fd04cb307b4a8d073d851d83,0,128,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,1,24,P0,42,CLEAN,0,6cb2ac2b5551d417e465340fe4d58e6cdb7f059f2ec1f6534531396a4f8fc8ff,9d7a56f1daedd35d9038df28b5c8d58e2260ccac70a96f9b0ab78895a6ceadc5,0,141,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,1,25,P0,42,CLEAN,0,e1b922fd7e59b1c4b21b1b9f1f9d61f74e8b8f024f5f863789dd67a2f6ca7757,018e4f6850480485034415155338f7eee48c2ebc2d9bc489368ad510c75e0e1f,0,119,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,1,26,P0,42,CLEAN,0,9f70ff4fe335d8d17ab77faf560d5e6863bb2d5f023a61ce541548ad281ff555,69fb62c4ab382b09fa1385c875ac46e19cc725b2e50f276e40126bc4ca635964,0,194,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,1,27,P0,42,CLEAN,0,659747215d1fffba85e1f0d35d646c47e63b1c520f10227692a50d8ea0c19ff3,49d88998ea46e0a71a228187723c0577f31528e7f4f46586120899ee041f9075,0,400,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,2,23,P0,42,CLEAN,0,6f3045a8d53ef8c9b089feb4e7ef91002375e3c4569d508b917be23a108d526c,89ae256848e5cc997888e57bd1d60a155fb8b6fbdbd0903912b8b7f1ac10c26b,0,133,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
dev,2,24,P0,42,CLEAN,0,7da292ee58b791dfc32b0ab95e52131606f729a985c6bdaed08cbbc0134a1a42,fb1dc5af85495ed9bed128ea502c7f6bef6a1ec1e7830af0026fc59592c3638b,0,154,run_v2_vis_sc5_mlp_bridge.py,B0_BF16_Eager
