Warning: Permanently added '10.60.133.3' (ED25519) to the list of known hosts.
Warning: Permanently added '[10.60.2.56]:33571' (ED25519) to the list of known hosts.
sample_id,split,source_pool,task_idx,parent_state_id,perturbation_template,perturbation_seed,teacher_label,teacher_anchor,run_uuid,cell_uuid,telemetry_sha256,summary_sha256,teacher_config_sha256,labeler_sha256,hard_negative_category,task_success
train_task0_state10,train,primary,0,10,P0,42,TV,73,,,b2875ea640db99027349d59b902403e4067eb82b8be2be82becd0393156e0b23,1a2e2dd096fe6bd46d1ec2851c7ef3472272b553f402062538729f9e25fb0ffd,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task0_state11,train,primary,0,11,P0,42,NC,393,,,1ef48746ed4beb04554605d7763390fd9e8849ee32f916030f1d5742173fdbb6,764c817fb50f956adcd66d331d0440798259c0dfbcbda66f487d42afc223258c,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,False
train_task0_state12,train,primary,0,12,P0,42,NC,-1,,,99115d6ad8ee5c300198a9b610d08f43bc4de62b17843bb0f3916e39681864d9,9ca971472621c062ee4a1b39b58a08d5db72ed4675044507a18ebf80b1886c10,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,close_no_grasp,False
train_task0_state13,train,primary,0,13,P0,42,TV,131,,,60ca54483d9d13c74b29fe70bdc6903d1999009d066d4ca3e3855d0edfe32718,e42428582052ab554d5f7c41c6d4a06253e8dffb061ecd3c5fe32981666ae5b6,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task0_state14,train,primary,0,14,P0,42,TV,113,,,64f1fe68d9c7f89b336a97051f538466d738d73d920203acec4c455e15f688f6,2df968450f2da1331c7beb6989e707aca003e131feb1b9405f528deb312473ca,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task0_state15,train,primary,0,15,P0,42,TV,91,,,ba32c88fb3d2762b4ee74b81a017fba6617cc19c614b8b8f2f9e587f6f8099d7,0c15822b4ebbe2b96cb2f59f8676bb9ba95540b3dabe6dfc1e6806043c8e1ce9,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task0_state16,train,primary,0,16,P0,42,TV,79,,,998f1bf568ca98afcc3f200114d8405f2d8ddb84179ba5354fbc32b2c751fe5d,42d6f6cd3b69fb742f9b7534a8215bec73440d90685156c68b25ef6db390775d,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task0_state17,train,primary,0,17,P0,42,TV,74,,,b8921552a39f245a11ad7a980eb16cc55e1ab48013342d6f9c707f7bc9bcb9f8,932c9f36f07c54dd692fcc544ea4cf2a9c524a6ff355d938eec45688fbd5643d,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task0_state18,train,primary,0,18,P0,42,TV,83,,,a3f2955388e214585f80d83ab55d798e1a5899aade8ccbf2409df10290d70b75,a53e6b823faf60e994d6f3850600be4bced76304e023e0eb581f1363e1c3ca98,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task0_state19,train,primary,0,19,P0,42,TV,80,,,b64e388f0b2e1108c4a0bc1bc21a369942e831a93effef0f006393e4213e83ea,15b0de224dcecb93b1e348ce216868a3df989d53fddcc053a73cae8e08e5a771,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task0_state20,train,primary,0,20,P0,42,TV,73,,,291cda7aec13ab215c71fac187a3c1c8621e1f9a075a76b9e87f5534ff529397,d8cabd2fa8a559a1b05207c39c5d2db827f7d1a945556229435a8e587cb3cb5f,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task0_state21,train,primary,0,21,P0,42,TV,160,,,c1dbc72703cb3a9df7dd4f0fc9b0a22f770de144a0c77369a658d34dd8a734ed,67015e3a247c7c432ca90dd1afe600fde199700fa1d49e5b11cf78b09425ffe1,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task0_state22,train,primary,0,22,P0,42,TV,126,,,52e22817b93ea40f4dfae384b3429d09f4b7e548fc88c8212b523d51a7858bfe,5fe67a4a587e14d5d561fdb5042e66b5c6843aa0b15c6821ab212ead5e9ed27b,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task0_state3,train,primary,0,3,P0,42,TV,78,,,0874cc67de01332f1f889e2c346a38ac37dbf397d2b7d9b0e8e85235234dd02c,972f88ad027d8cea4d03db73a89b7cc5994540a97785de1d30d9dcd20025b6aa,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task0_state4,train,primary,0,4,P0,42,TV,75,,,275f84f8bca89faa9ff79df9777f55951d44b0cd0721ad3c8df5601ff816d9c8,6d52f68f9dfe0069890688a8098d025e04934ec2bf52b16abe2fcd5fd66a4006,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task0_state5,train,primary,0,5,P0,42,NC,-1,,,851c11d2779693b6f1d0bd49ddb733506fb003c51dee54951119bfdfdff13d36,4cbf8a7286337f87fe671470cd61d04ecd34176cf7bfe2280bf0ccf7765ade1d,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,close_no_grasp,False
train_task0_state6,train,primary,0,6,P0,42,NC,-1,,,ac66dbba7a6ccdf5224d137599bd81a3309ba5cea2ebf53337ae88c2e9572ddb,1d662f0ff22df6cd63cbbbb8c0d6c0e343a297b4b5cc842b2b2d5a85eb34ec1c,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,close_no_grasp,False
train_task0_state7,train,primary,0,7,P0,42,TV,88,,,87de1ce4933ecc29e7e0fa4fe904d833220ad7bb19fc8536e193f19e0ebc6466,77944afa60bee3b6ebe81a688dba54f95bb75981372bd11fb817c78fb6e8b637,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task0_state8,train,primary,0,8,P0,42,TV,120,,,ecc2ea99f25e388392c27ac0c01ffb1e8bb71d3da448cb2ad80855ffccc8d06c,e8ff438ff02d1aa573ca1be5669c0244219b4e72df9c069f03645a9a131c213e,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task0_state9,train,primary,0,9,P0,42,TV,98,,,dd53056ffc668e4caa880616d57e4f9e596db4072c9ce1f7cbacf7457b862990,ea487c0210b3d8def960d0b0d8c8c4fd37908ce14d7b37aeb0659b1321947a50,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state10,train,primary,1,10,P0,42,TV,104,,,f329be895ea00c80a21f5aef1eec5298c75fe5fd95137890909d68d64e4fe93a,5d78a4995e1b373a622478b102f40b8acb9dbde24165e3912043a49420317b50,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state11,train,primary,1,11,P0,42,TV,88,,,21075e5dd7c8131b865108fbadc44f2b9094985f6366bdb227250173934b3327,bce78d81b87b1d1c2e44661b94014e4bd68b947b63fe4a7bfe64ad5c78a22eb7,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state12,train,primary,1,12,P0,42,TV,92,,,3ca2ba13aa78ce52680c9673127cc0a3ebaf21c1c52dce476b51376b2166030e,2043a0c223978ae8e401c4fb1f126c6b99f7df89a9f0a7a6da76f76d16a2321b,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state13,train,primary,1,13,P0,42,TV,81,,,a282157dd13f228313412fcf078f104cb764de6163d8ac0657181e16420730f9,6b9e07dfb4aa51595683deda03165d6e67e9e8c78acb5bf91accbe86003c1b41,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state14,train,primary,1,14,P0,42,TV,69,,,bc29eb3125e45514f0e45dd4a5960105acd8e54c8bae8a5079f390f90b3eb71d,ce68c2a307c3f1995eec5d48c30b5eb255bdb125b96a411f99d5bcb77a58f246,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state15,train,primary,1,15,P0,42,TV,73,,,3e1d81f3a23cccc38e5003c92235662bdeb385cbed8f1b537c961aaaca543a05,1d54238120e373f861934c5d0c21bef069422a0b4f5adeb9cc2d3223fe97861d,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state16,train,primary,1,16,P0,42,NC,-1,,,ad5dfd1332999af021750b0f13a6194a23faca1f5839a5021f1b030f248074af,a2a81e05b1dcb551809104b09c431a2913d634e2377bdb5581f700b64e76948b,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,close_no_grasp,False
train_task1_state17,train,primary,1,17,P0,42,TV,89,,,a38f8d5c2193639429790c4e80960543ded0939b6d4f7ed9c2426ffb63e85169,238d890b1408b9282b19bad3fc89bcbef4832de0ea1728038cea367c29552060,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state18,train,primary,1,18,P0,42,TV,84,,,27f4917eae2537e806f760adb853bf2b849908ba7d7bd412550c92e26db510ae,e76e2b26eb1578aa5e57d4d6a5f7172f07d90b331f7977aa9b9560919a6384ca,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state19,train,primary,1,19,P0,42,TV,71,,,d5f0e87e5f056ab7759833bb8e2fef5923066a7c6ca1043d3df7d4b7ca0065c6,5d630188b44dad554909be6dd5b44dd2b6072d311d30cfa25d5843f76f56a81c,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state20,train,primary,1,20,P0,42,TV,78,,,a34f9dd6da06a1ad2fbb8e606bd209fc27ba5a7aaa3d1ac97c31a30a53a53408,292fb6b16952f12ee827347826cfa2b49670bf794914ab5698c9bf5a9d910076,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state21,train,primary,1,21,P0,42,TV,96,,,e88884915682c17a8fe192d456cf5168771553c5aca18ce005d3a767eef58922,49a9a61839a18d78abc83d76ca02d0a8c02e632e9502a976819629e60dbe0666,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state22,train,primary,1,22,P0,42,TV,71,,,8859a64ea8956f90059b9d5e666c1ed5b4b20df2b5b3fb8ecc5d576aa3b669d2,6e1bcb8069a421e9f48432496d7c182b7381b9e489effde672bfcbcfb07c6872,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state3,train,primary,1,3,P0,42,TV,91,,,d56d45b11cc8878d1b78c52e00097472d08ca322e7a1c3fa3bb3d6860895dc28,2edb1fbaa146f664134c235a791b943aac6d6529a05ef604b3fc26a2e6ab0a98,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state4,train,primary,1,4,P0,42,TV,77,,,34e478c5d61c67ceb22f6ddde549038a3e979b55ffef023e153401e4b2cbc3bd,13341e97916f5257d09b099f4e432765867ff1d2e828783b8d16c6385897ae0c,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state5,train,primary,1,5,P0,42,TV,95,,,68933c64917b4fa127e249bfe084669ffed7a02b5fa5bc86307f6f8dd62f8b27,34a8bc50d7987fe8909e5ede9b3cc98865615e0fbe4e4a9c3bb70a1429151e09,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state6,train,primary,1,6,P0,42,TV,72,,,095af6aba64c16299ac4255435558218e0c95f377c5342ab956ce355e8ac3d1f,28bcf4dfc972947994d1cc53b8fa41c09a458b8a3fcae2a39414fd8eb6042ef3,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state7,train,primary,1,7,P0,42,TV,80,,,216e49abcf45498fcd958beb20147616efadc7b4c5857f5aeb3985f2a04c9a9b,8842f5b4c56d3eeea8ed15db685b8b0cdc5b572b640b09e45a0089da6022111b,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
train_task1_state8,train,primary,1,8,P0,42,TV,255,,,996ddd494baedc43d0d68b699959c306aeab56a643b46179198036c73aa2816c,583861c527b9bdeade9ee737c13949ac5db1746f785a48228cf1f1267e20f3eb,ebc1ccda21cdfeae0f70f90ef0e433be3474ef0baa9cf52f609d620f863ce87a,6394fe168c727c5ee82e995a52fa14f4d94dd15fc4344fdca85c30a776fc421a,other,True
