task,parent_state,template,seed,dx_m,dy_m,dyaw_rad,selection_source
0,5,P1,200,0.005,0.0,0.0,hard_negative
0,6,P2,201,-0.005,0.0,0.0,hard_negative
0,11,P3,202,0.0,0.005,0.0,hard_negative
0,5,P4,203,0.0,-0.005,0.0,hard_negative
0,6,P5,204,0.0,0.0,0.087266,hard_negative
0,11,P6,205,0.0,0.0,-0.087266,hard_negative
0,5,P7,206,random_10mm,random_10mm,0.0,hard_negative
0,6,P1,207,0.005,0.0,0.0,hard_negative
1,16,P1,220,0.005,0.0,0.0,hard_negative
1,16,P2,221,-0.005,0.0,0.0,hard_negative
1,16,P3,222,0.0,0.005,0.0,hard_negative
1,16,P4,223,0.0,-0.005,0.0,hard_negative
1,3,P5,224,0.0,0.0,0.087266,coverage
1,4,P6,225,0.0,0.0,-0.087266,coverage
1,5,P7,226,random_10mm,random_10mm,0.0,coverage
1,6,P1,227,0.005,0.0,0.0,coverage
2,15,P1,240,0.005,0.0,0.0,hard_negative
2,15,P2,241,-0.005,0.0,0.0,hard_negative
2,15,P3,242,0.0,0.005,0.0,hard_negative
2,15,P4,243,0.0,-0.005,0.0,hard_negative
2,3,P5,244,0.0,0.0,0.087266,coverage
2,4,P6,245,0.0,0.0,-0.087266,coverage
2,5,P7,246,random_10mm,random_10mm,0.0,coverage
2,6,P1,247,0.005,0.0,0.0,coverage
3,3,P1,260,0.005,0.0,0.0,hard_negative
3,4,P2,261,-0.005,0.0,0.0,hard_negative
3,5,P3,262,0.0,0.005,0.0,hard_negative
3,6,P4,263,0.0,-0.005,0.0,hard_negative
3,7,P5,264,0.0,0.0,0.087266,hard_negative
3,8,P6,265,0.0,0.0,-0.087266,hard_negative
3,9,P7,266,random_10mm,random_10mm,0.0,hard_negative
3,12,P1,267,0.005,0.0,0.0,hard_negative
4,3,P1,280,0.005,0.0,0.0,coverage
4,4,P2,281,-0.005,0.0,0.0,coverage
4,5,P3,282,0.0,0.005,0.0,coverage
4,6,P4,283,0.0,-0.005,0.0,coverage
4,7,P5,284,0.0,0.0,0.087266,coverage
4,8,P6,285,0.0,0.0,-0.087266,coverage
4,9,P7,286,random_10mm,random_10mm,0.0,coverage
4,10,P1,287,0.005,0.0,0.0,coverage
5,7,P1,300,0.005,0.0,0.0,hard_negative
5,11,P2,301,-0.005,0.0,0.0,hard_negative
5,17,P3,302,0.0,0.005,0.0,hard_negative
5,7,P4,303,0.0,-0.005,0.0,hard_negative
5,11,P5,304,0.0,0.0,0.087266,hard_negative
5,17,P6,305,0.0,0.0,-0.087266,hard_negative
5,3,P7,306,random_10mm,random_10mm,0.0,coverage
5,4,P1,307,0.005,0.0,0.0,coverage
6,4,P1,320,0.005,0.0,0.0,hard_negative
6,9,P2,321,-0.005,0.0,0.0,hard_negative
6,16,P3,322,0.0,0.005,0.0,hard_negative
6,17,P4,323,0.0,-0.005,0.0,hard_negative
6,20,P5,324,0.0,0.0,0.087266,hard_negative
6,4,P6,325,0.0,0.0,-0.087266,hard_negative
6,9,P7,326,random_10mm,random_10mm,0.0,hard_negative
6,16,P1,327,0.005,0.0,0.0,hard_negative
7,8,P1,340,0.005,0.0,0.0,hard_negative
7,9,P2,341,-0.005,0.0,0.0,hard_negative
7,10,P3,342,0.0,0.005,0.0,hard_negative
7,13,P4,343,0.0,-0.005,0.0,hard_negative
7,14,P5,344,0.0,0.0,0.087266,hard_negative
7,8,P6,345,0.0,0.0,-0.087266,hard_negative
7,9,P7,346,random_10mm,random_10mm,0.0,hard_negative
7,10,P1,347,0.005,0.0,0.0,hard_negative
8,8,P1,360,0.005,0.0,0.0,hard_negative
8,13,P2,361,-0.005,0.0,0.0,hard_negative
8,19,P3,362,0.0,0.005,0.0,hard_negative
8,8,P4,363,0.0,-0.005,0.0,hard_negative
8,13,P5,364,0.0,0.0,0.087266,hard_negative
8,19,P6,365,0.0,0.0,-0.087266,hard_negative
8,3,P7,366,random_10mm,random_10mm,0.0,coverage
8,4,P1,367,0.005,0.0,0.0,coverage
9,5,P1,380,0.005,0.0,0.0,hard_negative
9,17,P2,381,-0.005,0.0,0.0,hard_negative
9,18,P3,382,0.0,0.005,0.0,hard_negative
9,20,P4,383,0.0,-0.005,0.0,hard_negative
9,22,P5,384,0.0,0.0,0.087266,hard_negative
9,5,P6,385,0.0,0.0,-0.087266,hard_negative
9,17,P7,386,random_10mm,random_10mm,0.0,hard_negative
9,18,P1,387,0.005,0.0,0.0,hard_negative
