episode_key,task_name,state_id,B0_success,D1_success,B0_steps,D1_steps,B0_emit,D1_emit,delta_steps,delta_emit,outcome,B0_telemetry_sha,D1_telemetry_sha,B0_summary_sha,D1_summary_sha
alphabet_soup_s0,pick_up_the_alphabet_soup_and_place_it_in_the_basket,0,True,True,171,208,101,138,37,37,BOTH_SUCCESS,062e8b223c6e552e,5f64ef44b3396a1b,46e276964ec52964,59c553628971aa03
alphabet_soup_s1,pick_up_the_alphabet_soup_and_place_it_in_the_basket,1,True,False,293,400,93,-1,107,-94,B0_ONLY,cc69a9f4757b981e,fffcb9502bc07732,817678811d5fc5c5,99bbda965bf64fbc
alphabet_soup_s2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,2,True,True,140,166,74,76,26,2,BOTH_SUCCESS,71882aa0cc980f70,9e6b8455e9cc1918,0b31e1afa60a91c3,64d419444634eda9
bbq_sauce_s0,pick_up_the_bbq_sauce_and_place_it_in_the_basket,0,True,True,118,111,77,72,-7,-5,BOTH_SUCCESS,a44253f3ab9d0b77,cbfc3cd99dee4414,a5c47a09ecdc6229,fb1ace4b783b55eb
bbq_sauce_s1,pick_up_the_bbq_sauce_and_place_it_in_the_basket,1,True,True,170,161,128,122,-9,-6,BOTH_SUCCESS,593ea128d0a8ef10,a932cdd277583a95,1dc6dec55db54a29,40a6549214d46c81
bbq_sauce_s2,pick_up_the_bbq_sauce_and_place_it_in_the_basket,2,False,False,400,400,-1,210,0,211,BOTH_FAIL,a15f8d133a287560,782d266a56417a3d,fcdca392c0ba9fa6,0cd5d22e670f614a
butter_s0,pick_up_the_butter_and_place_it_in_the_basket,0,True,True,180,129,102,73,-51,-29,BOTH_SUCCESS,e307aae39ca6c9c8,63b3c43026625d1d,d66677b4b69df6bc,7aa0bb9e7fb9a702
butter_s1,pick_up_the_butter_and_place_it_in_the_basket,1,False,False,400,400,112,92,0,-20,BOTH_FAIL,68da261709bcf1a9,e91fc8ae91240ce8,bd06ab8449db7c9a,219e265ac4c214aa
butter_s2,pick_up_the_butter_and_place_it_in_the_basket,2,False,False,400,400,33,-1,0,-34,BOTH_FAIL,62aa2fbc1c1667d5,23c3b83e6683ef7d,a73ce3501b0fcd55,2ac675d442919426
chocolate_pudding_s0,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,True,True,147,143,78,75,-4,-3,BOTH_SUCCESS,bab3b157ac2f447f,3a26414228cb2ca6,21a96f3c4c47906f,18bd15dfc924fb31
chocolate_pudding_s1,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,1,False,True,400,169,42,87,-231,45,D1_ONLY,7970fc9b349a19fe,d016492814965b78,b0ff420442e7f6e2,823d4a15170a6afe
chocolate_pudding_s2,pick_up_the_chocolate_pudding_and_place_it_in_the_basket,2,True,True,153,186,86,85,33,-1,BOTH_SUCCESS,45d1c83b8437fa2d,b1201fe0e10f220c,8aa36889a7a0840a,6853cbf9b12c0bc2
cream_cheese_s0,pick_up_the_cream_cheese_and_place_it_in_the_basket,0,False,True,400,150,149,103,-250,-46,D1_ONLY,fbfc905811682bcb,f29baac2ef5e8d26,5fa40c9abb1fbfc0,e16dfee05fa02817
cream_cheese_s1,pick_up_the_cream_cheese_and_place_it_in_the_basket,1,True,True,140,189,81,98,49,17,BOTH_SUCCESS,17ffcec0cec1f10b,b4a49f724e556e26,00f5c9a032341f4e,28d1b82479d3a5fe
cream_cheese_s2,pick_up_the_cream_cheese_and_place_it_in_the_basket,2,True,True,134,193,80,117,59,37,BOTH_SUCCESS,ec76b3093e478b4d,e2d5454dd4347f51,823fc458b5dbab3a,6d135b9b6bacbab2
