label,task_idx,init_idx,steps,success,termination,gripper_flips,duration_s
task0_init0,0,0,87,True,success,3,52.7
task0_init1,0,1,220,False,timeout,13,208.2
task0_init2,0,2,91,True,success,1,72.6
task1_init0,1,0,111,True,success,3,64.5
task1_init1,1,1,105,True,success,1,61.4
task1_init2,1,2,117,True,success,3,68.9
task2_init0,2,0,144,True,success,3,109.3
task2_init1,2,1,193,True,success,1,298.7
task2_init2,2,2,149,True,success,1,257.6
task3_init0,3,0,78,True,success,1,125.8
task3_init1,3,1,99,True,success,1,185.4
task3_init2,3,2,73,True,success,1,172.7
task4_init0,4,0,147,True,success,3,381.1
task4_init1,4,1,220,False,timeout,19,346.9
task4_init2,4,2,136,True,success,7,206.8
task5_init0,5,0,89,True,success,1,178.1
task5_init1,5,1,220,False,timeout,17,430.6
task5_init2,5,2,220,False,timeout,10,465.5
task6_init0,6,0,109,True,success,1,202.3
task6_init1,6,1,102,True,success,1,183.4
task6_init2,6,2,93,True,success,3,179.3
task7_init0,7,0,120,True,success,1,217.8
task7_init1,7,1,114,True,success,1,158.7
task7_init2,7,2,129,True,success,1,162.7
task8_init0,8,0,112,True,success,2,178.1
task8_init1,8,1,105,True,success,1,176.5
task8_init2,8,2,220,False,timeout,13,343.7
task9_init0,9,0,120,True,success,4,177.8
task9_init1,9,1,124,True,success,2,209.0
task9_init2,9,2,220,False,timeout,6,437.3
