label,task_idx,init_idx,steps,success,invalid,termination,gripper_flips,duration_s
task0_init0,0,0,80,True,,success,1,99.8
task0_init1,0,1,85,True,,success,1,104.8
task0_init2,0,2,85,True,,success,1,97.0
task1_init0,1,0,116,True,,success,1,133.1
task1_init1,1,1,99,True,,success,1,109.9
task1_init2,1,2,128,True,,success,5,136.0
task2_init0,2,0,144,True,,success,1,172.3
task2_init1,2,1,125,True,,success,3,108.6
task2_init2,2,2,112,True,,success,1,104.9
task3_init0,3,0,85,True,,success,1,65.9
task3_init1,3,1,220,False,,timeout,2,185.4
task3_init2,3,2,220,False,,timeout,2,197.2
task4_init0,4,0,139,True,,success,3,102.9
task4_init1,4,1,220,False,,timeout,14,209.0
task4_init2,4,2,220,False,,timeout,17,204.7
task5_init0,5,0,86,True,,success,1,90.4
task5_init1,5,1,220,False,,timeout,15,125.2
task5_init2,5,2,102,True,,success,10,60.1
task6_init0,6,0,114,True,,success,1,64.4
task6_init1,6,1,103,True,,success,1,54.3
task6_init2,6,2,99,True,,success,1,58.8
task7_init0,7,0,220,False,,timeout,24,131.3
task7_init1,7,1,121,True,,success,3,65.5
task7_init2,7,2,121,True,,success,1,82.4
task8_init0,8,0,105,True,,success,1,42.5
task8_init1,8,1,220,False,,timeout,13,85.1
task8_init2,8,2,104,True,,success,1,37.3
task9_init0,9,0,125,True,,success,8,81.2
task9_init1,9,1,220,False,,timeout,6,82.1
task9_init2,9,2,141,True,,success,1,52.1
