label,task_idx,init_idx,steps,success,invalid,termination,gripper_flips,duration_s
task0_init0,0,0,82,True,,success,3,136.0
task0_init1,0,1,220,False,,timeout,5,271.5
task0_init2,0,2,220,False,,timeout,31,256.1
task1_init0,1,0,108,True,,success,1,106.6
task1_init1,1,1,98,True,,success,3,92.1
task1_init2,1,2,119,True,,success,1,110.0
task2_init0,2,0,220,False,,timeout,9,247.8
task2_init1,2,1,198,True,,success,1,209.1
task2_init2,2,2,106,True,,success,1,123.4
task3_init0,3,0,89,True,,success,5,105.3
task3_init1,3,1,220,False,,timeout,2,301.9
task3_init2,3,2,81,True,,success,1,106.6
task4_init0,4,0,157,True,,success,1,203.3
task4_init1,4,1,220,False,,timeout,7,261.0
task4_init2,4,2,122,True,,success,1,119.1
task5_init0,5,0,96,True,,success,1,97.0
task5_init1,5,1,220,False,,timeout,24,201.0
task5_init2,5,2,78,True,,success,5,93.3
task6_init0,6,0,196,True,,success,12,189.2
task6_init1,6,1,97,True,,success,1,88.8
task6_init2,6,2,94,True,,success,1,99.9
task7_init0,7,0,109,True,,success,1,106.1
task7_init1,7,1,116,True,,success,3,113.3
task7_init2,7,2,131,True,,success,3,142.1
task8_init0,8,0,113,True,,success,1,91.6
task8_init1,8,1,99,True,,success,4,76.0
task8_init2,8,2,97,True,,success,1,76.9
task9_init0,9,0,121,True,,success,6,90.6
task9_init1,9,1,134,True,,success,5,110.6
task9_init2,9,2,136,True,,success,2,105.6
