episode_key,task_idx,init_idx,fp32_success,fp32_steps,flash2_success,flash2_steps,pair_class
task0_init0,0,0,True,82,True,80,both_success
task0_init1,0,1,False,220,True,85,flash2_only
task0_init2,0,2,False,220,True,85,flash2_only
task1_init0,1,0,True,108,True,116,both_success
task1_init1,1,1,True,98,True,99,both_success
task1_init2,1,2,True,119,True,128,both_success
task2_init0,2,0,False,220,True,144,flash2_only
task2_init1,2,1,True,198,True,125,both_success
task2_init2,2,2,True,106,True,112,both_success
task3_init0,3,0,True,89,True,85,both_success
task3_init1,3,1,False,220,False,220,neither
task3_init2,3,2,True,81,False,220,fp32_only
task4_init0,4,0,True,157,True,139,both_success
task4_init1,4,1,False,220,False,220,neither
task4_init2,4,2,True,122,False,220,fp32_only
task5_init0,5,0,True,96,True,86,both_success
task5_init1,5,1,False,220,False,220,neither
task5_init2,5,2,True,78,True,102,both_success
task6_init0,6,0,True,196,True,114,both_success
task6_init1,6,1,True,97,True,103,both_success
task6_init2,6,2,True,94,True,99,both_success
task7_init0,7,0,True,109,False,220,fp32_only
task7_init1,7,1,True,116,True,121,both_success
task7_init2,7,2,True,131,True,121,both_success
task8_init0,8,0,True,113,True,105,both_success
task8_init1,8,1,True,99,False,220,fp32_only
task8_init2,8,2,True,97,True,104,both_success
task9_init0,9,0,True,121,True,125,both_success
task9_init1,9,1,True,134,False,220,fp32_only
task9_init2,9,2,True,136,True,141,both_success
