step,model_inference_us,detector_update_us,env_step_us
0,2595311,DISABLED,22907
1,1166924,DISABLED,22806
2,1152818,DISABLED,23000
3,1154384,DISABLED,23043
4,1159405,DISABLED,23436
5,1154906,DISABLED,22425
6,1148299,DISABLED,22184
7,1150443,DISABLED,22842
8,1151639,DISABLED,23154
9,1152471,DISABLED,22268
10,1175579,DISABLED,24479
11,1154183,DISABLED,22967
12,1153678,DISABLED,22205
13,1149402,DISABLED,22412
14,1149664,DISABLED,22193
15,1168033,DISABLED,23325
16,1148639,DISABLED,22157
17,1149871,DISABLED,22261
18,1162315,DISABLED,23066
19,1155832,DISABLED,22903
20,1155509,DISABLED,22846
21,1168795,DISABLED,22940
22,1151233,DISABLED,22291
23,1149284,DISABLED,22365
24,1149076,DISABLED,22357
25,1151036,DISABLED,22533
26,1151874,DISABLED,22668
27,1154853,DISABLED,22348
28,1155547,DISABLED,22986
29,1171745,DISABLED,24090
30,1150239,DISABLED,22307
31,1152167,DISABLED,21877
32,1150160,DISABLED,22378
33,1151992,DISABLED,22359
34,1155905,DISABLED,22687
35,1150554,DISABLED,24035
36,1173269,DISABLED,23659
37,1151380,DISABLED,22361
38,1150162,DISABLED,22337
39,1148797,DISABLED,22642
40,1153066,DISABLED,22557
41,1154327,DISABLED,22473
42,1153294,DISABLED,22836
43,1152707,DISABLED,22414
44,1153127,DISABLED,22685
45,1182705,DISABLED,24159
46,1160711,DISABLED,22595
47,1151002,DISABLED,22034
48,1155392,DISABLED,22771
49,1150435,DISABLED,21847
50,1149016,DISABLED,22539
51,1152483,DISABLED,22523
52,1151012,DISABLED,22002
53,1152821,DISABLED,22568
54,1154970,DISABLED,23843
55,1155905,DISABLED,23508
56,1161413,DISABLED,23397
57,1153000,DISABLED,22796
58,1152516,DISABLED,22802
59,1154038,DISABLED,22811
60,1156014,DISABLED,23255
61,1153454,DISABLED,22328
62,1166857,DISABLED,24033
63,1156120,DISABLED,22956
64,1157143,DISABLED,23419
65,1153116,DISABLED,22538
66,1164899,DISABLED,22989
67,1155377,DISABLED,22296
68,1154226,DISABLED,22100
69,1154580,DISABLED,22604
70,1172640,DISABLED,22602
71,1177096,DISABLED,23774
72,1171231,DISABLED,23430
73,1153889,DISABLED,22547
74,1156330,DISABLED,22468
75,1155457,DISABLED,22315
76,1153463,DISABLED,21982
77,1153975,DISABLED,22290
78,1154822,DISABLED,21918
79,1152245,DISABLED,22096
80,1158926,DISABLED,22375
81,1165329,DISABLED,22883
82,1154997,DISABLED,22332
83,1153068,DISABLED,22628
84,1155370,DISABLED,23030
85,1154145,DISABLED,22127
86,1154866,DISABLED,22390
87,1155193,DISABLED,22621
88,1167252,DISABLED,23474
89,1170812,DISABLED,22989
90,1158008,DISABLED,22020
91,1156973,DISABLED,23066
92,1156589,DISABLED,22720
93,1156952,DISABLED,23242
94,1155118,DISABLED,22824
95,1162269,DISABLED,23675
96,1152867,DISABLED,24024
97,1179154,DISABLED,25221
98,1153930,DISABLED,25242
99,1155060,DISABLED,25560
100,1158542,DISABLED,25472
101,1157717,DISABLED,24768
102,1163939,DISABLED,25461
103,1154100,DISABLED,25158
104,1152989,DISABLED,24669
105,1153141,DISABLED,25334
106,1155337,DISABLED,25314
107,1156497,DISABLED,25209
108,1155774,DISABLED,25204
109,1162712,DISABLED,25693
110,1156132,DISABLED,25308
111,1176615,DISABLED,27094
112,1154705,DISABLED,25367
113,1152954,DISABLED,25282
114,1182842,DISABLED,27689
115,1156088,DISABLED,26070
116,1160408,DISABLED,26516
117,1157239,DISABLED,25589
118,1153913,DISABLED,26075
119,1154918,DISABLED,26366
120,1155683,DISABLED,25833
121,1156272,DISABLED,26004
122,1157536,DISABLED,27076
123,1179635,DISABLED,26933
124,1162778,DISABLED,28182
125,1154316,DISABLED,26682
126,1154202,DISABLED,27025
127,1154857,DISABLED,26778
128,1159300,DISABLED,26711
129,1155164,DISABLED,26425
130,1159148,DISABLED,26568
131,1156326,DISABLED,26493
132,1174437,DISABLED,28370
133,1154721,DISABLED,26477
134,1154793,DISABLED,26468
135,1157617,DISABLED,25541
136,1153204,DISABLED,25647
137,1160045,DISABLED,26534
138,1159741,DISABLED,25735
139,1153919,DISABLED,25534
140,1178745,DISABLED,27063
141,1152710,DISABLED,26024
142,1157923,DISABLED,26072
143,1155817,DISABLED,25975
144,1160082,DISABLED,26361
145,1154191,DISABLED,25303
146,1154680,DISABLED,25518
147,1152550,DISABLED,25385
148,1155615,DISABLED,25767
149,1162633,DISABLED,25705
150,1154170,DISABLED,26122
151,1155927,DISABLED,26335
152,1155896,DISABLED,25857
153,1157292,DISABLED,25570
154,1154027,DISABLED,26329
155,1151102,DISABLED,25674
156,1157975,DISABLED,25540
157,1155782,DISABLED,26190
158,1156032,DISABLED,27342
159,1155690,DISABLED,26225
160,1162636,DISABLED,25566
161,1155826,DISABLED,24387
162,1154186,DISABLED,23928
163,1173846,DISABLED,24265
164,1154194,DISABLED,21998
