step,task,state_id,raw_gripper,env_gripper,gripper_qpos_before,gripper_qpos_after,eef_x,eef_y,eef_z,decoded_open,raw_valid,env_valid,qpos_valid,eef_valid,convention_ok,semantics_ok,success_done,success_check
0,bbq_sauce,36,0.996078,-1.0,-2.5e-07,-3e-07,-0.152796,0.018229,0.249946,1,1,1,1,1,1,1,0,0
1,bbq_sauce,36,0.996078,-1.0,-3e-07,-1.37e-06,-0.151584,0.018252,0.249886,1,1,1,1,1,1,1,0,0
2,bbq_sauce,36,0.996078,-1.0,-1.37e-06,-3.99e-06,-0.14941,0.018254,0.249652,1,1,1,1,1,1,1,0,0
3,bbq_sauce,36,0.996078,-1.0,-3.99e-06,-5.9e-06,-0.146941,0.018008,0.249631,1,1,1,1,1,1,1,0,0
4,bbq_sauce,36,0.996078,-1.0,-5.9e-06,-3.39e-06,-0.144259,0.017251,0.249889,1,1,1,1,1,1,1,0,0
5,bbq_sauce,36,0.996078,-1.0,-3.39e-06,-3.77e-06,-0.141473,0.016821,0.250119,1,1,1,1,1,1,1,0,0
6,bbq_sauce,36,0.996078,-1.0,-3.77e-06,-9.86e-06,-0.139076,0.016508,0.249742,1,1,1,1,1,1,1,0,0
7,bbq_sauce,36,0.996078,-1.0,-9.86e-06,-1.558e-05,-0.135862,0.015089,0.249021,1,1,1,1,1,1,1,0,0
8,bbq_sauce,36,0.996078,-1.0,-1.558e-05,-1.427e-05,-0.13209,0.012191,0.249189,1,1,1,1,1,1,1,0,0
9,bbq_sauce,36,0.996078,-1.0,-1.427e-05,-1.201e-05,-0.128117,0.009355,0.249643,1,1,1,1,1,1,1,0,0
10,bbq_sauce,36,0.996078,-1.0,-1.201e-05,-1.543e-05,-0.12312,0.007429,0.250316,1,1,1,1,1,1,1,0,0
11,bbq_sauce,36,0.996078,-1.0,-1.543e-05,-1.812e-05,-0.118401,0.005266,0.250506,1,1,1,1,1,1,1,0,0
12,bbq_sauce,36,0.996078,-1.0,-1.812e-05,-1.87e-05,-0.11388,0.002567,0.250229,1,1,1,1,1,1,1,0,0
13,bbq_sauce,36,0.996078,-1.0,-1.87e-05,-2.441e-05,-0.108569,-0.000107,0.249772,1,1,1,1,1,1,1,0,0
14,bbq_sauce,36,0.996078,-1.0,-2.441e-05,-2.473e-05,-0.102283,-0.003483,0.249523,1,1,1,1,1,1,1,0,0
15,bbq_sauce,36,0.996078,-1.0,-2.473e-05,-2.849e-05,-0.095936,-0.007009,0.249189,1,1,1,1,1,1,1,0,0
16,bbq_sauce,36,0.996078,-1.0,-2.849e-05,-3.225e-05,-0.089023,-0.010658,0.248815,1,1,1,1,1,1,1,0,0
17,bbq_sauce,36,0.996078,-1.0,-3.225e-05,-3.485e-05,-0.081477,-0.014892,0.24632,1,1,1,1,1,1,1,0,0
18,bbq_sauce,36,0.996078,-1.0,-3.485e-05,-3.83e-05,-0.073169,-0.019315,0.242924,1,1,1,1,1,1,1,0,0
19,bbq_sauce,36,0.996078,-1.0,-3.83e-05,-3.811e-05,-0.064648,-0.023962,0.239789,1,1,1,1,1,1,1,0,0
20,bbq_sauce,36,0.996078,-1.0,-3.811e-05,-4.18e-05,-0.055891,-0.02827,0.236461,1,1,1,1,1,1,1,0,0
21,bbq_sauce,36,0.996078,-1.0,-4.18e-05,-4.937e-05,-0.047145,-0.032719,0.233476,1,1,1,1,1,1,1,0,0
22,bbq_sauce,36,0.996078,-1.0,-4.937e-05,-4.569e-05,-0.03831,-0.038279,0.230754,1,1,1,1,1,1,1,0,0
23,bbq_sauce,36,0.996078,-1.0,-4.569e-05,-4.639e-05,-0.029475,-0.043007,0.228684,1,1,1,1,1,1,1,0,0
24,bbq_sauce,36,0.996078,-1.0,-4.639e-05,-5.34e-05,-0.020898,-0.047025,0.227355,1,1,1,1,1,1,1,0,0
25,bbq_sauce,36,0.996078,-1.0,-5.34e-05,-5.181e-05,-0.011703,-0.052029,0.22659,1,1,1,1,1,1,1,0,0
26,bbq_sauce,36,0.996078,-1.0,-5.181e-05,-5.811e-05,-0.00296,-0.0568,0.225606,1,1,1,1,1,1,1,0,0
27,bbq_sauce,36,0.996078,-1.0,-5.811e-05,-5.636e-05,0.004409,-0.061905,0.223687,1,1,1,1,1,1,1,0,0
28,bbq_sauce,36,0.996078,-1.0,-5.636e-05,-5.538e-05,0.011336,-0.066755,0.22183,1,1,1,1,1,1,1,0,0
29,bbq_sauce,36,0.996078,-1.0,-5.538e-05,-4.598e-05,0.018073,-0.070813,0.220261,1,1,1,1,1,1,1,0,0
30,bbq_sauce,36,0.996078,-1.0,-4.598e-05,-4.159e-05,0.023859,-0.072924,0.216855,1,1,1,1,1,1,1,0,0
