step,model_inference_us,detector_update_us,env_step_us
0,2422095,25,22472
1,1087438,24,22094
2,1084577,54,24659
3,1092833,24,22278
4,1101329,24,22715
5,1078720,22,22097
6,1081315,22,21881
7,1083350,23,22455
8,1096712,23,22382
9,1088355,56,22652
10,1080390,21,21814
11,1087294,23,22079
12,1083829,21,22141
13,1098699,25,22802
14,1084678,22,21981
15,1080381,20,21701
16,1095588,24,22917
17,1088510,22,21581
18,1094016,22,21928
19,1103233,25,22304
20,1078373,48,21671
21,1086278,21,21996
22,1084915,22,22402
23,1105577,26,22881
24,1085256,25,23043
25,1082180,20,22155
26,1088277,21,22010
27,1078563,21,21598
28,1098688,22,23200
29,1079720,20,21263
30,1079690,20,21330
31,1087508,22,21896
32,1097829,34,23609
33,1102476,26,21780
34,1088176,24,22478
35,1085701,21,21491
36,1086450,22,21907
37,1083532,21,21957
38,1112692,27,23076
39,1085841,23,21614
40,1088186,62,23019
41,1094443,23,22032
42,1085571,19,21407
43,1098120,41,23295
44,1091130,20,21564
45,1082041,20,21441
46,1081454,22,21644
47,1081006,19,22010
48,1106955,23,22645
49,1086144,2658,21649
50,1091172,22,23110
51,1103754,2368,22575
52,1105717,21,22795
53,1103144,23,22927
54,1089872,22,23461
55,1088551,21,22808
56,1088748,22,22449
57,1084726,20,21782
58,1093843,21,22171
59,1096161,23,24197
60,1085441,21,22355
61,1088423,22,22696
62,1088855,21,22713
63,1105496,25,23692
64,1083733,26,21972
65,1079423,18,21236
66,1083969,23,21683
67,1083895,20,22169
68,1104482,23,22967
69,1096302,23,22851
70,1086733,23,22560
71,1089503,23,22126
72,1083710,18,21346
73,1092093,23,21952
74,1084968,22,21560
75,1086213,20,21844
76,1083791,28,21922
77,1088100,23,22586
78,1096056,23,21398
79,1084151,48,21574
80,1081378,18,20899
81,1083079,23,21582
82,1080703,19,21764
83,1103068,23,22757
84,1090143,21,21752
85,1087387,27,22307
86,1098103,23,22497
87,1097198,22,21720
88,1093863,22,21834
89,1083597,21,21411
90,1085232,21,21881
91,1106589,4265,23300
92,1085082,25,22250
93,1101862,22,24240
94,1081889,20,22192
95,1089065,22,23328
96,1093283,22,24136
97,1086790,21,24347
98,1095898,22,25059
99,1081250,19,24333
100,1090736,22,25353
101,1084036,22,24182
102,1083380,18,24236
103,1081119,22,24345
104,1083871,19,24305
105,1099225,24,25597
106,1088652,22,24678
107,1087448,22,24861
108,1092468,22,24432
109,1081552,23,24126
110,1091872,24,25556
111,1087490,22,24658
112,1085984,22,25957
113,1091756,22,25288
114,1089935,21,26213
115,1098401,23,26479
116,1085305,23,25011
117,1082389,19,24540
118,1097889,22,25691
119,1083400,19,25426
120,1108681,24,26837
121,1089557,22,25339
122,1085629,19,25532
123,1085312,23,25856
124,1088025,23,26555
125,1099520,23,27993
126,1097027,25,27158
127,1088017,20,25433
128,1090782,29,25445
129,1088361,22,25981
130,1105035,23,26604
131,1088378,53,26340
132,1083212,19,25048
133,1082195,24,25697
134,1090439,23,25658
135,1107691,23,25582
136,1082248,19,24695
137,1082859,20,24594
138,1088494,22,25533
139,1083286,19,25029
140,1104183,24,26263
141,1082121,19,25121
142,1104501,22,26965
143,1087150,23,25095
144,1088226,22,25003
145,1100614,21,25298
146,1078046,20,24918
147,1081434,19,24969
148,1084160,30,25432
149,1105823,24,25516
150,1108769,25,26216
151,1101965,23,27007
152,1092802,23,25959
153,1092115,22,25769
154,1089725,22,24874
155,1096319,22,25348
156,1085479,21,25204
157,1090217,22,25530
158,1087630,23,25517
159,1086388,27,25508
160,1101032,24,25632
161,1084933,23,23316
162,1083584,21,23875
163,1086784,23,22547
164,1083672,23,21801
