step,model_inference_us,detector_update_us,env_step_us
0,2441405,DISABLED,22425
1,1065511,DISABLED,21279
2,1075640,DISABLED,22622
3,1082589,DISABLED,23327
4,1066664,DISABLED,21392
5,1080775,DISABLED,22392
6,1063317,DISABLED,20788
7,1064150,DISABLED,20899
8,1072691,DISABLED,21838
9,1068070,DISABLED,21563
10,1073778,DISABLED,21659
11,1067601,DISABLED,21307
12,1070676,DISABLED,21548
13,1086363,DISABLED,22227
14,1067818,DISABLED,21308
15,1071196,DISABLED,22118
16,1082637,DISABLED,22374
17,1092617,DISABLED,21957
18,1087450,DISABLED,21618
19,1072802,DISABLED,20925
20,1073403,DISABLED,21942
21,1086466,DISABLED,21170
22,1090161,DISABLED,22058
23,1072145,DISABLED,20945
24,1068362,DISABLED,21101
25,1083432,DISABLED,21664
26,1082398,DISABLED,21130
27,1068590,DISABLED,21639
28,1079183,DISABLED,21281
29,1068016,DISABLED,21621
30,1068329,DISABLED,20696
31,1089093,DISABLED,21964
32,1071289,DISABLED,21263
33,1089523,DISABLED,21537
34,1073986,DISABLED,22544
35,1075873,DISABLED,22269
36,1076465,DISABLED,22114
37,1073484,DISABLED,21218
38,1086261,DISABLED,21557
39,1084844,DISABLED,22695
40,1080912,DISABLED,22020
41,1098747,DISABLED,22368
42,1088727,DISABLED,22821
43,1090813,DISABLED,22011
44,1075078,DISABLED,21134
45,1071044,DISABLED,20747
46,1083327,DISABLED,22282
47,1071729,DISABLED,21151
48,1090532,DISABLED,21509
49,1087204,DISABLED,22218
50,1089606,DISABLED,22526
51,1077982,DISABLED,22175
52,1077725,DISABLED,21291
53,1087266,DISABLED,22248
54,1081099,DISABLED,22647
55,1086557,DISABLED,22474
56,1075948,DISABLED,22551
57,1076338,DISABLED,22476
58,1085814,DISABLED,22782
59,1100603,DISABLED,23252
60,1078418,DISABLED,22012
61,1079367,DISABLED,22238
62,1076800,DISABLED,21914
63,1092600,DISABLED,22830
64,1075876,DISABLED,22714
65,1078921,DISABLED,21999
66,1078491,DISABLED,21724
67,1076950,DISABLED,21585
68,1098715,DISABLED,22854
69,1083603,DISABLED,22276
70,1082186,DISABLED,21796
71,1082129,DISABLED,21562
72,1078290,DISABLED,20975
73,1093239,DISABLED,22152
74,1081990,DISABLED,21378
75,1075355,DISABLED,21274
76,1077908,DISABLED,21439
77,1074919,DISABLED,21419
78,1091853,DISABLED,22067
79,1076578,DISABLED,20865
80,1077242,DISABLED,21075
81,1077597,DISABLED,21264
82,1073796,DISABLED,20701
83,1090603,DISABLED,22346
84,1079342,DISABLED,21502
85,1077331,DISABLED,20875
86,1096263,DISABLED,22271
87,1087595,DISABLED,21502
88,1097992,DISABLED,23018
89,1079767,DISABLED,21338
90,1089077,DISABLED,21031
91,1076971,DISABLED,21207
92,1076060,DISABLED,21631
93,1082702,DISABLED,21637
94,1075397,DISABLED,20927
95,1076967,DISABLED,21558
96,1080652,DISABLED,21191
97,1081366,DISABLED,20666
98,1088736,DISABLED,22177
99,1082090,DISABLED,21982
100,1083041,DISABLED,21512
101,1083003,DISABLED,21197
102,1078484,DISABLED,21483
103,1087214,DISABLED,22094
104,1084031,DISABLED,21231
105,1085119,DISABLED,22084
106,1077747,DISABLED,21031
107,1076626,DISABLED,20681
108,1087583,DISABLED,22450
109,1082138,DISABLED,21400
110,1077143,DISABLED,20873
111,1076831,DISABLED,21113
112,1076476,DISABLED,21551
113,1085845,DISABLED,21662
114,1094558,DISABLED,22174
115,1078988,DISABLED,21601
116,1099744,DISABLED,21854
117,1084351,DISABLED,21387
118,1087270,DISABLED,21639
119,1097388,DISABLED,22419
120,1083220,DISABLED,21508
121,1079979,DISABLED,21386
122,1078452,DISABLED,21501
123,1085981,DISABLED,21978
124,1085401,DISABLED,23090
125,1075931,DISABLED,23848
126,1103736,DISABLED,25525
127,1081489,DISABLED,22640
128,1084348,DISABLED,22819
129,1077160,DISABLED,22427
130,1077773,DISABLED,22743
131,1085631,DISABLED,24344
132,1080915,DISABLED,23889
133,1100649,DISABLED,24436
134,1085130,DISABLED,22315
135,1084245,DISABLED,22332
136,1081956,DISABLED,22994
137,1078028,DISABLED,23067
138,1083710,DISABLED,24311
139,1077738,DISABLED,24684
140,1080476,DISABLED,24104
141,1080520,DISABLED,23712
142,1089000,DISABLED,25271
143,1090786,DISABLED,25171
144,1080195,DISABLED,24405
145,1083814,DISABLED,23794
146,1088060,DISABLED,23950
147,1080931,DISABLED,22791
148,1085366,DISABLED,23169
149,1084829,DISABLED,22826
150,1084879,DISABLED,22191
151,1097519,DISABLED,22975
152,1098342,DISABLED,23301
153,1084412,DISABLED,22967
154,1078775,DISABLED,23057
155,1078706,DISABLED,23322
156,1078126,DISABLED,23456
157,1081824,DISABLED,22448
158,1084365,DISABLED,23944
159,1083203,DISABLED,22390
160,1093252,DISABLED,23644
161,1081631,DISABLED,22522
162,1078902,DISABLED,22251
163,1102364,DISABLED,22723
164,1087459,DISABLED,22628
165,1079156,DISABLED,22372
166,1085775,DISABLED,22388
167,1081015,DISABLED,22787
168,1088457,DISABLED,24102
169,1078199,DISABLED,22874
170,1093763,DISABLED,22240
171,1084606,DISABLED,23024
172,1077343,DISABLED,23301
173,1089617,DISABLED,23762
174,1084122,DISABLED,22482
175,1076168,DISABLED,22002
176,1084789,DISABLED,22609
177,1081371,DISABLED,22833
178,1085109,DISABLED,22935
179,1094430,DISABLED,23699
180,1078852,DISABLED,21942
181,1084264,DISABLED,22591
182,1082785,DISABLED,22806
183,1088129,DISABLED,23195
184,1102663,DISABLED,23811
185,1081617,DISABLED,22599
186,1089403,DISABLED,22844
187,1080121,DISABLED,22302
188,1088661,DISABLED,24334
189,1077402,DISABLED,23215
190,1077096,DISABLED,22809
191,1087853,DISABLED,22706
192,1103717,DISABLED,22884
193,1089303,DISABLED,23559
194,1087350,DISABLED,23120
195,1084635,DISABLED,22551
196,1084166,DISABLED,22751
197,1082917,DISABLED,22316
198,1102256,DISABLED,23706
199,1078121,DISABLED,22708
200,1079520,DISABLED,23022
201,1095327,DISABLED,22841
202,1082463,DISABLED,22642
203,1087305,DISABLED,24002
204,1081914,DISABLED,22781
205,1079712,DISABLED,22876
206,1079765,DISABLED,22908
207,1100581,DISABLED,23780
208,1090628,DISABLED,23825
209,1085202,DISABLED,22984
210,1082709,DISABLED,22737
211,1089417,DISABLED,23121
212,1080613,DISABLED,22937
213,1092339,DISABLED,23928
214,1086196,DISABLED,22800
215,1081506,DISABLED,22690
216,1095155,DISABLED,24096
