step,task,state_id,raw_gripper,env_gripper,gripper_qpos_before,gripper_qpos_after,eef_x,eef_y,eef_z,decoded_open,raw_valid,env_valid,qpos_valid,eef_valid,convention_ok,semantics_ok,success_done,success_check
0,milk,23,0.996078,-1.0,-3.07e-06,-1.297e-05,-0.142746,-0.001107,0.261493,1,1,1,1,1,1,1,0,0
1,milk,23,0.996078,-1.0,-1.297e-05,-1.242e-05,-0.142684,-0.001361,0.261313,1,1,1,1,1,1,1,0,0
2,milk,23,0.996078,-1.0,-1.242e-05,-1.187e-05,-0.142482,-0.001793,0.261011,1,1,1,1,1,1,1,0,0
3,milk,23,0.996078,-1.0,-1.187e-05,-1.122e-05,-0.14227,-0.002322,0.260894,1,1,1,1,1,1,1,0,0
4,milk,23,0.996078,-1.0,-1.122e-05,-1.168e-05,-0.142111,-0.002834,0.260707,1,1,1,1,1,1,1,0,0
5,milk,23,0.996078,-1.0,-1.168e-05,-1.341e-05,-0.142124,-0.003482,0.260451,1,1,1,1,1,1,1,0,0
6,milk,23,0.996078,-1.0,-1.341e-05,-1.127e-05,-0.14214,-0.004593,0.260141,1,1,1,1,1,1,1,0,0
7,milk,23,0.996078,-1.0,-1.127e-05,-1.195e-05,-0.141822,-0.005551,0.25991,1,1,1,1,1,1,1,0,0
8,milk,23,0.996078,-1.0,-1.195e-05,-1.213e-05,-0.141819,-0.006496,0.259635,1,1,1,1,1,1,1,0,0
9,milk,23,0.996078,-1.0,-1.213e-05,-1.199e-05,-0.142013,-0.007647,0.259415,1,1,1,1,1,1,1,0,0
10,milk,23,0.996078,-1.0,-1.199e-05,-1.181e-05,-0.142184,-0.008843,0.259254,1,1,1,1,1,1,1,0,0
11,milk,23,0.996078,-1.0,-1.181e-05,-1.884e-05,-0.142339,-0.010055,0.259114,1,1,1,1,1,1,1,0,0
12,milk,23,0.996078,-1.0,-1.884e-05,-2.237e-05,-0.141619,-0.012539,0.258928,1,1,1,1,1,1,1,0,0
13,milk,23,0.996078,-1.0,-2.237e-05,-2.563e-05,-0.140263,-0.016141,0.258578,1,1,1,1,1,1,1,0,0
14,milk,23,0.996078,-1.0,-2.563e-05,-1.612e-05,-0.138942,-0.02023,0.258077,1,1,1,1,1,1,1,0,0
15,milk,23,0.996078,-1.0,-1.612e-05,-3.493e-05,-0.137852,-0.022607,0.257823,1,1,1,1,1,1,1,0,0
16,milk,23,0.996078,-1.0,-3.493e-05,-4.551e-05,-0.136698,-0.027184,0.257425,1,1,1,1,1,1,1,0,0
17,milk,23,0.996078,-1.0,-4.551e-05,-5.905e-05,-0.135179,-0.034422,0.256552,1,1,1,1,1,1,1,0,0
18,milk,23,0.996078,-1.0,-5.905e-05,-7.124e-05,-0.132833,-0.043028,0.255788,1,1,1,1,1,1,1,0,0
19,milk,23,0.996078,-1.0,-7.124e-05,-8.494e-05,-0.129955,-0.052642,0.255226,1,1,1,1,1,1,1,0,0
20,milk,23,0.996078,-1.0,-8.494e-05,-9.636e-05,-0.12632,-0.062986,0.254728,1,1,1,1,1,1,1,0,0
21,milk,23,0.996078,-1.0,-9.636e-05,-0.00010923,-0.122915,-0.073624,0.253742,1,1,1,1,1,1,1,0,0
22,milk,23,0.996078,-1.0,-0.00010923,-0.00012089,-0.119876,-0.084662,0.252838,1,1,1,1,1,1,1,0,0
23,milk,23,0.996078,-1.0,-0.00012089,-0.00013101,-0.116974,-0.095992,0.252161,1,1,1,1,1,1,1,0,0
24,milk,23,0.996078,-1.0,-0.00013101,-0.00013971,-0.113006,-0.107384,0.251863,1,1,1,1,1,1,1,0,0
25,milk,23,0.996078,-1.0,-0.00013971,-0.00014715,-0.108477,-0.118691,0.251556,1,1,1,1,1,1,1,0,0
26,milk,23,0.996078,-1.0,-0.00014715,-0.00015356,-0.103918,-0.129887,0.251178,1,1,1,1,1,1,1,0,0
27,milk,23,0.996078,-1.0,-0.00015356,-0.00015825,-0.099337,-0.140993,0.250719,1,1,1,1,1,1,1,0,0
28,milk,23,0.996078,-1.0,-0.00015825,-0.00016169,-0.094764,-0.151926,0.250087,1,1,1,1,1,1,1,0,0
29,milk,23,0.996078,-1.0,-0.00016169,-0.0001608,-0.091334,-0.162599,0.248951,1,1,1,1,1,1,1,0,0
30,milk,23,0.996078,-1.0,-0.0001608,-0.00015773,-0.088194,-0.172679,0.247956,1,1,1,1,1,1,1,0,0
31,milk,23,0.996078,-1.0,-0.00015773,-0.00015074,-0.084085,-0.182005,0.247031,1,1,1,1,1,1,1,0,0
32,milk,23,0.996078,-1.0,-0.00015074,-0.00014111,-0.079313,-0.190364,0.245724,1,1,1,1,1,1,1,0,0
33,milk,23,0.996078,-1.0,-0.00014111,-0.00013113,-0.074502,-0.197562,0.244061,1,1,1,1,1,1,1,0,0
34,milk,23,0.996078,-1.0,-0.00013113,-0.00011595,-0.069632,-0.203807,0.24227,1,1,1,1,1,1,1,0,0
35,milk,23,0.996078,-1.0,-0.00011595,-0.00010273,-0.06488,-0.208608,0.239501,1,1,1,1,1,1,1,0,0
36,milk,23,0.996078,-1.0,-0.00010273,-8.925e-05,-0.061152,-0.212115,0.23542,1,1,1,1,1,1,1,0,0
37,milk,23,0.996078,-1.0,-8.925e-05,-7.822e-05,-0.05804,-0.214823,0.231368,1,1,1,1,1,1,1,0,0
38,milk,23,0.996078,-1.0,-7.822e-05,-6.945e-05,-0.056153,-0.216983,0.22559,1,1,1,1,1,1,1,0,0
39,milk,23,0.996078,-1.0,-6.945e-05,-5.589e-05,-0.055138,-0.219414,0.218134,1,1,1,1,1,1,1,0,0
40,milk,23,0.996078,-1.0,-5.589e-05,-4.194e-05,-0.054095,-0.221582,0.210364,1,1,1,1,1,1,1,0,0
41,milk,23,0.996078,-1.0,-4.194e-05,-2.629e-05,-0.053148,-0.222929,0.202205,1,1,1,1,1,1,1,0,0
42,milk,23,0.996078,-1.0,-2.629e-05,-1.875e-05,-0.052678,-0.223217,0.193202,1,1,1,1,1,1,1,0,0
43,milk,23,0.996078,-1.0,-1.875e-05,-6.02e-06,-0.052892,-0.224038,0.183562,1,1,1,1,1,1,1,0,0
44,milk,23,0.996078,-1.0,-6.02e-06,3.44e-06,-0.054325,-0.224809,0.174465,1,1,1,1,1,1,1,0,0
45,milk,23,0.996078,-1.0,3.44e-06,1.553e-05,-0.056978,-0.225993,0.165867,1,1,1,1,1,1,1,0,0
46,milk,23,0.996078,-1.0,1.553e-05,2.586e-05,-0.059986,-0.227266,0.156483,1,1,1,1,1,1,1,0,0
47,milk,23,0.996078,-1.0,2.586e-05,3.929e-05,-0.06283,-0.228689,0.14628,1,1,1,1,1,1,1,0,0
48,milk,23,0.996078,-1.0,3.929e-05,5.283e-05,-0.065758,-0.230092,0.136343,1,1,1,1,1,1,1,0,0
49,milk,23,0.0,1.0,5.283e-05,0.0001431,-0.069073,-0.231525,0.129044,0,1,1,1,1,1,1,0,0
50,milk,23,0.0,1.0,0.0001431,0.00024548,-0.072796,-0.232782,0.124279,0,1,1,1,1,1,1,0,0
51,milk,23,0.0,1.0,0.00024548,0.00029843,-0.076603,-0.23369,0.120372,0,1,1,1,1,1,1,0,0
52,milk,23,0.0,1.0,0.00029843,0.00033263,-0.080239,-0.234333,0.116823,0,1,1,1,1,1,1,0,0
53,milk,23,0.0,1.0,0.00033263,0.00041347,-0.083769,-0.234951,0.114918,0,1,1,1,1,1,1,0,0
54,milk,23,0.0,1.0,0.00041347,0.00047199,-0.085515,-0.234872,0.114834,0,1,1,1,1,1,1,0,0
55,milk,23,0.0,1.0,0.00047199,0.00050118,-0.086737,-0.233873,0.115192,0,1,1,1,1,1,1,0,0
56,milk,23,0.0,1.0,0.00050118,0.00046573,-0.087857,-0.231944,0.115673,0,1,1,1,1,1,1,0,0
57,milk,23,0.0,1.0,0.00046573,0.00047057,-0.089527,-0.230348,0.117518,0,1,1,1,1,1,1,0,0
58,milk,23,0.0,1.0,0.00047057,0.00042859,-0.091022,-0.228841,0.119308,0,1,1,1,1,1,1,0,0
59,milk,23,0.0,1.0,0.00042859,0.00036399,-0.09284,-0.227312,0.120019,0,1,1,1,1,1,1,0,0
