step,task,state_id,raw_gripper,env_gripper,gripper_qpos_before,gripper_qpos_after,eef_x,eef_y,eef_z,decoded_open,raw_valid,env_valid,qpos_valid,eef_valid,convention_ok,semantics_ok,success_done,success_check
0,salad_dressing,19,0.996078,-1.0,-2.53e-06,-2.31e-06,-0.148934,0.002055,0.261873,1,1,1,1,1,1,1,0,0
1,salad_dressing,19,0.996078,-1.0,-2.31e-06,-1.5e-06,-0.14888,0.002011,0.261844,1,1,1,1,1,1,1,0,0
2,salad_dressing,19,0.996078,-1.0,-1.5e-06,-1.37e-06,-0.14891,0.001968,0.261742,1,1,1,1,1,1,1,0,0
3,salad_dressing,19,0.996078,-1.0,-1.37e-06,-2.78e-06,-0.148999,0.001929,0.261638,1,1,1,1,1,1,1,0,0
4,salad_dressing,19,0.996078,-1.0,-2.78e-06,-2.52e-06,-0.148125,0.001604,0.261472,1,1,1,1,1,1,1,0,0
5,salad_dressing,19,0.996078,-1.0,-2.52e-06,-2.53e-06,-0.146571,0.001269,0.261092,1,1,1,1,1,1,1,0,0
6,salad_dressing,19,0.996078,-1.0,-2.53e-06,-2.67e-06,-0.144841,0.001068,0.260695,1,1,1,1,1,1,1,0,0
7,salad_dressing,19,0.996078,-1.0,-2.67e-06,-3.26e-06,-0.143002,0.001018,0.260347,1,1,1,1,1,1,1,0,0
8,salad_dressing,19,0.996078,-1.0,-3.26e-06,-4.71e-06,-0.141283,0.001091,0.259736,1,1,1,1,1,1,1,0,0
9,salad_dressing,19,0.996078,-1.0,-4.71e-06,-7.32e-06,-0.139521,0.001134,0.258996,1,1,1,1,1,1,1,0,0
10,salad_dressing,19,0.996078,-1.0,-7.32e-06,-9.21e-06,-0.137388,0.0009,0.258639,1,1,1,1,1,1,1,0,0
11,salad_dressing,19,0.996078,-1.0,-9.21e-06,-1.169e-05,-0.135098,0.000513,0.258147,1,1,1,1,1,1,1,0,0
12,salad_dressing,19,0.996078,-1.0,-1.169e-05,-1.767e-05,-0.132048,5.6e-05,0.257665,1,1,1,1,1,1,1,0,0
13,salad_dressing,19,0.996078,-1.0,-1.767e-05,-2.131e-05,-0.128543,-0.00122,0.257066,1,1,1,1,1,1,1,0,0
14,salad_dressing,19,0.996078,-1.0,-2.131e-05,-2.014e-05,-0.123013,-0.003173,0.256326,1,1,1,1,1,1,1,0,0
15,salad_dressing,19,0.996078,-1.0,-2.014e-05,-3.14e-05,-0.117785,-0.004456,0.255341,1,1,1,1,1,1,1,0,0
16,salad_dressing,19,0.996078,-1.0,-3.14e-05,-4.071e-05,-0.111704,-0.006864,0.25468,1,1,1,1,1,1,1,0,0
17,salad_dressing,19,0.996078,-1.0,-4.071e-05,-5.4e-05,-0.104536,-0.011139,0.253858,1,1,1,1,1,1,1,0,0
18,salad_dressing,19,0.996078,-1.0,-5.4e-05,-5.982e-05,-0.096925,-0.017125,0.253005,1,1,1,1,1,1,1,0,0
19,salad_dressing,19,0.996078,-1.0,-5.982e-05,-6.779e-05,-0.088345,-0.023593,0.252062,1,1,1,1,1,1,1,0,0
20,salad_dressing,19,0.996078,-1.0,-6.779e-05,-7.423e-05,-0.079148,-0.030152,0.250978,1,1,1,1,1,1,1,0,0
21,salad_dressing,19,0.996078,-1.0,-7.423e-05,-7.375e-05,-0.069675,-0.036872,0.249936,1,1,1,1,1,1,1,0,0
22,salad_dressing,19,0.996078,-1.0,-7.375e-05,-8.144e-05,-0.059836,-0.042522,0.248955,1,1,1,1,1,1,1,0,0
23,salad_dressing,19,0.996078,-1.0,-8.144e-05,-8.237e-05,-0.049903,-0.048296,0.248027,1,1,1,1,1,1,1,0,0
24,salad_dressing,19,0.996078,-1.0,-8.237e-05,-8.418e-05,-0.039839,-0.053806,0.246995,1,1,1,1,1,1,1,0,0
25,salad_dressing,19,0.996078,-1.0,-8.418e-05,-8.769e-05,-0.029618,-0.058685,0.246151,1,1,1,1,1,1,1,0,0
26,salad_dressing,19,0.996078,-1.0,-8.769e-05,-9.039e-05,-0.019285,-0.06358,0.245482,1,1,1,1,1,1,1,0,0
27,salad_dressing,19,0.996078,-1.0,-9.039e-05,-9.173e-05,-0.008875,-0.068476,0.244771,1,1,1,1,1,1,1,0,0
28,salad_dressing,19,0.996078,-1.0,-9.173e-05,-9.345e-05,0.001513,-0.073105,0.244025,1,1,1,1,1,1,1,0,0
