step,action_hash_pre,action_hash_post,action_identical,env_action_hash,obs_hash
0,6a6ef085f35afbcd60f7e368d78ee73a9fe1b4478fbd36808854b7ddb2dea11d,6a6ef085f35afbcd60f7e368d78ee73a9fe1b4478fbd36808854b7ddb2dea11d,1,79632f1be87d4972448c9a413ba18e735429b8648c1d72d81379647df6097464,e3c67b907c4d5bd44800ee967028e279b725d604b746f8860c83d4d2f3712ff7
1,03dfbce94de4c860b4e0f537e56d586cc1775d0a920e892057564dd11af9b0db,03dfbce94de4c860b4e0f537e56d586cc1775d0a920e892057564dd11af9b0db,1,46ed309e688997a776b2cfb5d0155c3bfcdb4617269f8c04fb4c7a0ebd456852,140bb9e490ae5dfb2bc1e2941c4f8f58a2b27848868bd697661eccb1e2216df6
2,03dfbce94de4c860b4e0f537e56d586cc1775d0a920e892057564dd11af9b0db,03dfbce94de4c860b4e0f537e56d586cc1775d0a920e892057564dd11af9b0db,1,46ed309e688997a776b2cfb5d0155c3bfcdb4617269f8c04fb4c7a0ebd456852,cd82d8f9433290f343b1e31af132a614665e1ecf5ba5ab435f7c2cb22002574e
3,66b4655de73fc72e9e864bbe331edb1225b24c4bd1b518fb4da9ef2b6ea2401e,66b4655de73fc72e9e864bbe331edb1225b24c4bd1b518fb4da9ef2b6ea2401e,1,b875350b56bd42234d44c41b7a6a9a6a426031e42d35774f29bcaa2cc96655d9,ee22ec83325fa681b19ce31db55e778aec3064a8c5b77b23d2f93e5046388009
4,66b4655de73fc72e9e864bbe331edb1225b24c4bd1b518fb4da9ef2b6ea2401e,66b4655de73fc72e9e864bbe331edb1225b24c4bd1b518fb4da9ef2b6ea2401e,1,b875350b56bd42234d44c41b7a6a9a6a426031e42d35774f29bcaa2cc96655d9,6858dd569ad6a4d05968dd06c940ffbd959e4c76466c5180ef9b443934d673eb
5,66b4655de73fc72e9e864bbe331edb1225b24c4bd1b518fb4da9ef2b6ea2401e,66b4655de73fc72e9e864bbe331edb1225b24c4bd1b518fb4da9ef2b6ea2401e,1,b875350b56bd42234d44c41b7a6a9a6a426031e42d35774f29bcaa2cc96655d9,a3e4dda06878b15894bc7b9bd3ff90af3613d4746bbed329bc882a7b16e64855
6,12f7ade226f575510ad7f9b1a500ed12bcad8f438a81e973f2611f6585124c60,12f7ade226f575510ad7f9b1a500ed12bcad8f438a81e973f2611f6585124c60,1,f235cc768239c92f13537a534fc0f622f9e4d8a57f1cecbc81cb63290e922b4e,5d035cc27b7883db43b0a308e739e6abc78a87614f62e04b1d65056733cc9c54
7,04c848dbdfef131d56f874962a87759b3a039e2e23b2ab219bdf7b78420534d0,04c848dbdfef131d56f874962a87759b3a039e2e23b2ab219bdf7b78420534d0,1,45a989273081e81418d92a3c0397ef92287b07aae408f4f5df86e9ff81e2ca65,d6921f4c054b2b36428207d03f737f1d20c24e555d0033eaac05ba7aee4fe0ce
8,04c848dbdfef131d56f874962a87759b3a039e2e23b2ab219bdf7b78420534d0,04c848dbdfef131d56f874962a87759b3a039e2e23b2ab219bdf7b78420534d0,1,45a989273081e81418d92a3c0397ef92287b07aae408f4f5df86e9ff81e2ca65,ea6e06f15a24a77e1e657b8eeab13fb6773e0d709e03f4b324da26cd40930aa8
9,90be59b28e8fe152dcd81e19acf4727e6877f685bf2e37972ba9eacdab9a7ec4,90be59b28e8fe152dcd81e19acf4727e6877f685bf2e37972ba9eacdab9a7ec4,1,a87948d6c327a495cf06fcce9502027b9c61b7e913569c994ac8842e000aac1f,a924fddaed04b91e22157f671421b8d909168e548df12102846a0ed2dc9fe06a
10,0746aff179d0e6a9f21b1a5817d5f5c9344e6f6901fe63d113f95e2d30335658,0746aff179d0e6a9f21b1a5817d5f5c9344e6f6901fe63d113f95e2d30335658,1,8aa2408188d1c76eadba90bbc8558c0cffe8d87813fa365dbc6445f88b6e57fe,0a24749a2eeccc17465fb34545e5f494fac2473db4dc19d5dbdb66ac5637d2c3
11,2945e3df68a0a572943a729c788fb2703d49eb90c451ebc64c04922897d8cd2d,2945e3df68a0a572943a729c788fb2703d49eb90c451ebc64c04922897d8cd2d,1,8010ddd0b5c587ffbf9dd45348b71b0772dec47e668c9ac4c4dc87ddd46c4a75,64c05001812c8495aca6c137bacf607f1e59f26fc76032133539ba83b59117ca
12,4e3ca4e98415673a4510093c9f32e3130c785ba02097a4188271c8ebf0cfb88f,4e3ca4e98415673a4510093c9f32e3130c785ba02097a4188271c8ebf0cfb88f,1,c4fbad4a66fba734842498fd308d073699e69ce4269bb7dbef72862107bd9504,72be58dd43dfc1d586ecf73cacddb34313a2d56d1ed4b0fff0e0d0be1feb6a2f
