step,model_inference_us,detector_update_us,env_step_us
0,2404754,41,22232
1,1081435,21,22902
2,1083186,22,21932
3,1101762,23,22848
4,1085595,21,24178
5,1104174,47,22461
6,1081921,20,21654
7,1079331,19,21916
8,1089567,26,22622
9,1084546,21,23102
10,1088497,20,21576
11,1088981,21,21675
12,1087412,19,22316
13,1094020,22,22355
14,1079819,19,21592
15,1078750,17,22484
16,1086043,51,22354
17,1082409,22,21652
18,1084536,20,22134
19,1079273,20,21650
20,1095626,20,22365
21,1083913,22,21828
22,1098233,22,23010
23,1084559,20,21791
24,1078051,20,22299
25,1082128,20,21457
26,1083615,21,22158
27,1083192,22,21546
28,1087344,20,21799
29,1083497,18,21327
30,1087234,20,21924
31,1104487,21,21655
32,1088049,28,21943
33,1083890,43,21789
34,1083492,27,21408
35,1086195,23,21912
36,1081412,18,22959
37,1081187,20,21254
38,1086261,21,22641
39,1090452,22,21530
40,1105567,31,22513
41,1086844,20,21888
42,1084038,20,21410
43,1085690,20,21684
44,1081552,18,21466
45,1082815,18,21209
46,1084069,19,21567
47,1082364,17,21150
48,1083594,19,21965
49,1094544,22,22733
50,1084257,21,21776
51,1082305,20,23481
52,1083214,2513,24849
53,1096238,22,24823
54,1085691,2191,24440
55,1081295,18,24317
56,1085596,21,24353
57,1083396,18,24179
58,1092828,21,25015
59,1084863,20,24464
60,1083535,20,28037
61,1082670,19,26925
62,1082929,16,26362
63,1086628,19,26970
64,1088890,25,27335
65,1084369,16,26346
66,1083702,51,27206
67,1083739,21,26559
68,1095567,21,26862
69,1084998,20,26585
70,1085958,18,27065
71,1087465,20,26961
72,1092318,21,27132
73,1089346,19,26955
74,1086133,16,26350
75,1084824,17,26484
76,1086975,20,27662
77,1103365,21,28267
78,1108879,22,28381
79,1084690,18,27025
80,1083158,18,26604
81,1095720,20,26684
82,1082272,18,26488
83,1093114,20,27673
84,1085030,18,26505
85,1083270,16,26240
86,1111207,22,28660
87,1085366,17,25889
88,1088879,20,27148
89,1084599,17,27821
90,1083166,16,26665
91,1085791,21,27009
92,1084873,18,26708
93,1095144,21,27063
94,1086402,17,25968
95,1102222,22,28395
96,1105538,21,27969
97,1088479,24,27012
98,1092484,20,26876
99,1090718,18,26243
100,1089221,19,26972
101,1088428,21,26631
102,1084139,17,26139
103,1090009,20,26699
104,1088554,22,28280
105,1090920,20,27695
106,1087877,20,26831
107,1107977,21,28034
108,1084198,22,27010
109,1084287,17,27149
110,1086133,19,28483
111,1086644,20,28098
112,1096148,22,28899
113,1085976,21,27699
114,1122221,52,29627
115,1090848,19,27666
116,1083877,19,27251
117,1086600,23,27123
118,1085590,19,26742
119,1086573,21,28317
120,1088142,25,28161
121,1086656,19,27191
122,1089173,21,27355
123,1089044,4820,27272
