step,model_inference_us,detector_update_us,env_step_us
0,2525682,DISABLED,23356
1,1113724,DISABLED,23059
2,1096286,DISABLED,23231
3,1082547,DISABLED,21892
4,1086916,DISABLED,21785
5,1084927,DISABLED,21855
6,1106024,DISABLED,22953
7,1080461,DISABLED,21265
8,1078658,DISABLED,21893
9,1084054,DISABLED,22221
10,1078606,DISABLED,21462
11,1091681,DISABLED,21696
12,1078682,DISABLED,21051
13,1079902,DISABLED,21818
14,1091692,DISABLED,21939
15,1099813,DISABLED,22561
16,1084757,DISABLED,21366
17,1083997,DISABLED,21767
18,1080302,DISABLED,21240
19,1081302,DISABLED,21439
20,1078101,DISABLED,21001
21,1076853,DISABLED,21401
22,1079358,DISABLED,21740
23,1076864,DISABLED,21334
24,1101593,DISABLED,23105
25,1082735,DISABLED,21045
26,1086176,DISABLED,21246
27,1082498,DISABLED,21541
28,1080229,DISABLED,22015
29,1081925,DISABLED,22074
30,1095915,DISABLED,22296
31,1084467,DISABLED,22165
32,1083401,DISABLED,22034
33,1096694,DISABLED,22187
34,1085171,DISABLED,21594
35,1087697,DISABLED,20763
36,1087315,DISABLED,21269
37,1087704,DISABLED,20686
38,1086296,DISABLED,22172
39,1082799,DISABLED,21497
40,1081748,DISABLED,20702
41,1099920,DISABLED,22302
42,1091701,DISABLED,22083
43,1108614,DISABLED,22607
44,1088638,DISABLED,21497
45,1090476,DISABLED,21537
46,1100993,DISABLED,21820
47,1082884,DISABLED,21183
48,1094106,DISABLED,22203
49,1086528,DISABLED,21131
50,1089437,DISABLED,21313
51,1095830,DISABLED,21512
52,1084381,DISABLED,21093
53,1091295,DISABLED,21671
54,1088076,DISABLED,21510
55,1086853,DISABLED,21636
56,1101709,DISABLED,21904
57,1086695,DISABLED,21715
58,1086595,DISABLED,23068
59,1098097,DISABLED,35231
60,1089079,DISABLED,32833
61,1107582,DISABLED,29039
62,1089156,DISABLED,28125
63,1099719,DISABLED,30405
64,1092170,DISABLED,31465
65,1084883,DISABLED,28659
66,1088630,DISABLED,29846
67,1097495,DISABLED,27402
68,1105061,DISABLED,28670
69,1108614,DISABLED,27213
70,1102665,DISABLED,27734
71,1092078,DISABLED,25365
72,1088307,DISABLED,24385
73,1115202,DISABLED,24781
74,1089655,DISABLED,25761
75,1089764,DISABLED,24731
76,1094405,DISABLED,25191
77,1087332,DISABLED,24682
78,1105900,DISABLED,26394
79,1102424,DISABLED,25942
80,1084309,DISABLED,24882
81,1095118,DISABLED,25452
82,1084562,DISABLED,26126
83,1099440,DISABLED,26502
84,1089922,DISABLED,26063
85,1082950,DISABLED,25986
86,1090916,DISABLED,26191
87,1094116,DISABLED,26058
88,1106782,DISABLED,27622
89,1102728,DISABLED,26895
90,1105193,DISABLED,27161
91,1089327,DISABLED,26104
92,1091770,DISABLED,25882
93,1106807,DISABLED,25849
94,1085844,DISABLED,26236
95,1087980,DISABLED,26807
96,1093091,DISABLED,26999
97,1092570,DISABLED,26444
98,1096678,DISABLED,26051
99,1092966,DISABLED,26628
100,1094075,DISABLED,26545
101,1089395,DISABLED,26141
102,1091502,DISABLED,28230
103,1090514,DISABLED,26008
104,1085181,DISABLED,26044
105,1093554,DISABLED,28123
106,1082899,DISABLED,26693
107,1102429,DISABLED,27149
108,1084475,DISABLED,26389
109,1084258,DISABLED,26122
110,1107128,DISABLED,27845
111,1083528,DISABLED,25848
112,1082030,DISABLED,26043
113,1089839,DISABLED,26148
114,1088839,DISABLED,25655
115,1099614,DISABLED,26995
116,1100427,DISABLED,26907
117,1093015,DISABLED,26119
118,1086439,DISABLED,26357
119,1099032,DISABLED,27275
120,1107562,DISABLED,28059
121,1084779,DISABLED,26437
122,1085740,DISABLED,26181
123,1086344,DISABLED,26754
124,1103608,DISABLED,27977
125,1106310,DISABLED,28016
126,1090321,DISABLED,26407
127,1087994,DISABLED,25995
128,1087270,DISABLED,26540
129,1091270,DISABLED,26744
130,1100105,DISABLED,25555
131,1088876,DISABLED,25467
132,1084434,DISABLED,25669
133,1091119,DISABLED,26437
134,1094375,DISABLED,26942
135,1102785,DISABLED,26952
136,1083363,DISABLED,26052
137,1096505,DISABLED,27101
138,1085270,DISABLED,26180
139,1088873,DISABLED,25805
140,1110221,DISABLED,26803
141,1095284,DISABLED,25427
142,1092499,DISABLED,26017
143,1108593,DISABLED,27286
144,1095029,DISABLED,23836
145,1104378,DISABLED,23487
146,1114719,DISABLED,24488
147,1095450,DISABLED,23228
148,1087969,DISABLED,21000
