step,action_hash_pre,action_hash_post,action_identical,env_action_hash,obs_hash
0,d28047e7757df11098bec3b18257bc261a450ba0b54c37e51b95d8d3cfc51224,d28047e7757df11098bec3b18257bc261a450ba0b54c37e51b95d8d3cfc51224,1,556d51e380011ed01e2cf3a6d80dbd1084021a1383555092b657a95a3c63178b,fb138513ab847ba96cb1bc7321afdba236fd5d71330221abb17ad9e39794102f
1,4a200eaf06d8b09f4f526c726a5679b94c1e9100fe0674cc37bb9f07ab382afd,4a200eaf06d8b09f4f526c726a5679b94c1e9100fe0674cc37bb9f07ab382afd,1,f75dd1afa41b7fc1262f367baed80c2e729d3faeb113128326e4676069c8964c,b046a428a5aef866afe3bde5cd1a6dff296f781fd333b2fe3630e143a9c1a6d6
2,84f7e01e97f9012db126ab61c22390eeb24d41c2abf18d2c6a7165d7ff6f5dac,84f7e01e97f9012db126ab61c22390eeb24d41c2abf18d2c6a7165d7ff6f5dac,1,0ce26da17e4878655faeaff0071596cdeb3d6e06bc8c3d9dd3aa1e86db578826,b8856d62dc2fa1a3c7eb739475807abeac96a11622ba7ea85ae6b9c5ce5143e7
3,d28047e7757df11098bec3b18257bc261a450ba0b54c37e51b95d8d3cfc51224,d28047e7757df11098bec3b18257bc261a450ba0b54c37e51b95d8d3cfc51224,1,556d51e380011ed01e2cf3a6d80dbd1084021a1383555092b657a95a3c63178b,066172d1a4a41c65901f1867e9c8af2b4c375cf6969ac8fac54b6ea33faeb373
4,c7352fae62710e7ff7122fb35549bb9ec6a6988dcfe3c6f956562fdf81137cf4,c7352fae62710e7ff7122fb35549bb9ec6a6988dcfe3c6f956562fdf81137cf4,1,0702d298532fc56980d67ad9a6f31315e761a7a34179f20d35dc0073ef8a0bd1,4f928b6d65823fe909e8e4903c804bdf1cf421670f6b1e9c30f39512285ce74f
5,3b5e2583e90761d1a2cb1bb05d597951f71a0702a7eb765fd716dc0dbda55405,3b5e2583e90761d1a2cb1bb05d597951f71a0702a7eb765fd716dc0dbda55405,1,bb97c18f7303f403a002ce97e5f8e119e2a021d32c4b23debe2f49fd1bb3447a,c3046edc16feba40fa693ba56a766eb419c28773992c2132861642b7d7c6a075
6,df99aa63de36dd50db24a61e149a8e4cdc786eaa957420e7fef805796d8c4da2,df99aa63de36dd50db24a61e149a8e4cdc786eaa957420e7fef805796d8c4da2,1,5d365c54094d549c86613d2f1697e3e92299bdd1d8920022a6fd4fd618ac5558,c036adf8357f1c53bc3f52e921472da2209847df06826babaa17c1e7c332f707
7,d28047e7757df11098bec3b18257bc261a450ba0b54c37e51b95d8d3cfc51224,d28047e7757df11098bec3b18257bc261a450ba0b54c37e51b95d8d3cfc51224,1,556d51e380011ed01e2cf3a6d80dbd1084021a1383555092b657a95a3c63178b,40ce79622cad66fb259300a353efe6d6c775c0105f9aa575ec4fbf1665837d06
8,b597a4df0bb9b85f3c559aad22b12a0f24e73fb6372513d80dd3149c54300bf9,b597a4df0bb9b85f3c559aad22b12a0f24e73fb6372513d80dd3149c54300bf9,1,13b23c945983a19f9be3cb367afa5c7207164b98150693b6bfc846459926d76b,73118dc72c9a20cf72d87ede94e4fa807a838c2653020b95e9534af17e82185a
9,df99aa63de36dd50db24a61e149a8e4cdc786eaa957420e7fef805796d8c4da2,df99aa63de36dd50db24a61e149a8e4cdc786eaa957420e7fef805796d8c4da2,1,5d365c54094d549c86613d2f1697e3e92299bdd1d8920022a6fd4fd618ac5558,2a4e1df98c6aaa74fef75789f24ebbd6f8c511db6fb2c6d08cec7c079e47b801
10,dbb8a4e911e781863e949bb247edee775a84a666098e926cc81364a85f8a9017,dbb8a4e911e781863e949bb247edee775a84a666098e926cc81364a85f8a9017,1,abf7f5ba16af0c3b457698197b648643424819216503786ad7d48171b4966cf0,e3d6e35a843279efe6effc11e3dcb9c50974875adcde0873fe020dfddd2ae1ce
11,554cfb5c859d26d64dcd1b2c40d4ef98d576e1913734faef4c9d3bbc204cd87f,554cfb5c859d26d64dcd1b2c40d4ef98d576e1913734faef4c9d3bbc204cd87f,1,534964df521096bc5b1f1860289b3f3afcd570194572f00e689b0f301f5fe2c6,c8091942e2f153b85e522f8a6af653cbe07fed35a88e5bb240eafb63948ca863
12,4549db0499809c234138bc7754f64b20cb0428065057a2905d19114655aae83b,4549db0499809c234138bc7754f64b20cb0428065057a2905d19114655aae83b,1,63bac4fadf38969f0aca475c7bf613bbbefa9de324326436fd8ca4769c5bb8d6,945ae3003535ac80f30a5b3c7038893bba2a735bb02c30b508b1af380a4ded56
13,f7ad8637cc199e8123aa8f3f6da2c640196db2b42e7b4d8d9fa50caaa4fe81d0,f7ad8637cc199e8123aa8f3f6da2c640196db2b42e7b4d8d9fa50caaa4fe81d0,1,bbb8a7e6430ec6709db13b40ca678f5da8e883a9882234f1622a037967c0c469,cdf989e5f2a8244be5929c31b67839ef331c9d6ffe2cc7bd6c043c338f754aa9
14,b4e8130a68d1601edc941fe2e7e69ad080204f815a572043052dedf86190254a,b4e8130a68d1601edc941fe2e7e69ad080204f815a572043052dedf86190254a,1,12de01ff5ec7580abc2f4e741b2c172439a99dffdd0b64cc6f622e3b7fc74c9e,962f850be42b48e9c1c0e521ae96b71bc15303c2904a82a63373fe3066510989
15,b4e8130a68d1601edc941fe2e7e69ad080204f815a572043052dedf86190254a,b4e8130a68d1601edc941fe2e7e69ad080204f815a572043052dedf86190254a,1,12de01ff5ec7580abc2f4e741b2c172439a99dffdd0b64cc6f622e3b7fc74c9e,70f57c6dbbfb99b4c607f72809ea5b354266f3e2ed22983a34778a7289a0be77
16,06105876842c424a1f0bb9647ff9ff31e399677ba0263c9bdf2a3e5984f354e7,06105876842c424a1f0bb9647ff9ff31e399677ba0263c9bdf2a3e5984f354e7,1,861ea1fff72c7ec6af6d07a71c79f8b38edf403d2390b7c0ffe80c72e6b6da5f,e240179485dd08f38d040f477679b917b71df4b5608a15c3a528a1f5c99a81ba
17,06105876842c424a1f0bb9647ff9ff31e399677ba0263c9bdf2a3e5984f354e7,06105876842c424a1f0bb9647ff9ff31e399677ba0263c9bdf2a3e5984f354e7,1,861ea1fff72c7ec6af6d07a71c79f8b38edf403d2390b7c0ffe80c72e6b6da5f,5e116d7432c24d1be4fec1ddb3bfb28c6c7cd1d872be6b0562d4dac4e2f85d4d
18,99846a0cc5f807225fc204f8d94976bdc467d351e73daae5388d725e04e5a014,99846a0cc5f807225fc204f8d94976bdc467d351e73daae5388d725e04e5a014,1,75fe10e18b9e928be7bc79a4ac340209fa244c8418c65007c274aff485dac50e,9e70950364bb110fc9c774c1e44bba79f394415b85321523d672c44a459f0d90
