suite,task_index,episode_count,window_count,stable_grasp_count,stable_carry_count,release_safe_count,primary_attackable_count,unsupported_count,stable_carry_rate,primary_density,object_grounding_coverage,target_match_coverage,episodes_with_primary,first_primary_min,first_primary_p50,first_primary_p90,first_primary_max,primary_duration_mean,spatial_absolute_z_fallback_candidate_count,explicit_grounding_coverage,explicit_target_match_coverage,explicit_reason_code_coverage,explicit_fallback_provenance_coverage,clean_success_episode_count,clean_not_success_episode_count
libero_10,0,50,14502,14452,0,0,0,0,0.0,0.0,,,0,,,,,,0,0.0,0.0,0.0,0.0,0,50
libero_10,1,50,13785,13735,0,0,0,0,0.0,0.0,,,0,,,,,,0,0.0,0.0,0.0,0.0,0,50
libero_10,2,50,14040,0,13990,0,8819,5171,0.9964387464387464,0.6281339031339032,0.6303788420300215,1.0,47,21,41.0,87.79999999999998,259,95.8586956521739,0,0.0,0.0,0.0,0.0,0,50
libero_10,3,50,14108,0,13996,3,9010,4443,0.9920612418485966,0.6386447405727247,0.682766504715633,0.9428631226454584,49,44,55.0,84.4,293,102.38636363636364,0,0.0,0.0,0.0,0.0,0,50
libero_10,4,50,13944,13894,0,0,0,0,0.0,0.0,,,0,,,,,,0,0.0,0.0,0.0,0.0,0,50
libero_10,5,50,11001,0,10951,0,8174,2777,0.9954549586401237,0.7430233615125897,0.7464158524335677,1.0,50,40,55.5,64.2,77,163.48,0,0.0,0.0,0.0,0.0,0,50
libero_10,6,50,13876,13826,0,0,0,0,0.0,0.0,,,0,,,,,,0,0.0,0.0,0.0,0.0,0,50
libero_10,7,50,14097,14047,0,0,0,0,0.0,0.0,,,0,,,,,,0,0.0,0.0,0.0,0.0,0,50
libero_10,8,50,15000,0,14950,0,9096,5823,0.9966666666666667,0.6064,0.6105016722408027,0.9966034841678536,50,52,89.0,109.0,116,128.11267605633802,0,0.0,0.0,0.0,0.0,0,50
libero_10,9,50,14732,0,14626,4,8884,5705,0.9928047787130057,0.6030409991854466,0.6102146861753043,0.995406162464986,49,55,69.0,101.60000000000001,243,113.8974358974359,0,0.0,0.0,0.0,0.0,0,50
libero_goal,0,50,9802,0,9752,0,0,7318,0.99489900020404,0.0,0.24958982772764562,0.0,0,,,,,,0,0.0,0.0,0.0,0.0,0,50
libero_goal,1,50,4876,0,4826,0,2599,2075,0.9897456931911403,0.5330188679245284,0.5700372979693328,0.9447473645946929,48,20,31.0,47.800000000000026,77,51.98,0,0.0,0.0,0.0,0.0,0,50
libero_goal,2,50,7467,0,7417,0,2593,4811,0.9933038703629302,0.34726128297843845,0.35135499528111097,0.9950115118956255,44,20,32.0,66.7,288,57.62222222222222,0,0.0,0.0,0.0,0.0,0,50
libero_goal,3,50,11441,0,11391,0,3506,7263,0.9956297526439997,0.30644174460274454,0.3623913616012642,0.8493217054263565,42,80,94.5,168.5,255,67.42307692307692,0,0.0,0.0,0.0,0.0,0,50
libero_goal,4,50,4997,0,4947,0,3206,1732,0.9899939963978387,0.6415849509705823,0.6498888215079847,0.9972006220839813,50,15,25.5,43.1,208,64.12,0,0.0,0.0,0.0,0.0,0,50
libero_goal,5,50,9417,0,8963,21,5959,2123,0.9517893171923117,0.6327917595837316,0.7654803079326119,0.8685322839236262,50,25,30.0,39.1,119,72.67073170731707,0,0.0,0.0,0.0,0.0,0,50
libero_goal,6,50,8405,0,8355,0,5773,2505,0.9940511600237953,0.6868530636525877,0.7001795332136446,0.9868376068376068,49,23,30.0,43.2,91,74.97402597402598,0,0.0,0.0,0.0,0.0,0,50
libero_goal,7,50,4848,0,4798,0,2188,2610,0.9896864686468647,0.4513201320132013,0.4560233430596082,1.0,48,26,34.5,62.10000000000007,187,45.583333333333336,0,0.0,0.0,0.0,0.0,0,50
libero_goal,8,50,6046,0,5996,0,3331,2244,0.9917300694674165,0.5509427720807145,0.6257505003335557,0.8877931769722814,48,19,28.0,50.60000000000001,159,60.56363636363636,0,0.0,0.0,0.0,0.0,0,50
libero_goal,9,50,11660,0,11610,0,7023,4582,0.9957118353344768,0.6023156089193825,0.6053402239448751,0.9992885600455321,48,47,58.0,73.9,170,132.50943396226415,0,0.0,0.0,0.0,0.0,0,50
libero_object,0,50,10914,7587,3277,0,2217,1049,0.3002565512186183,0.20313358988455196,0.6798901434238633,0.9950628366247756,32,73,107.0,190.60000000000002,285,63.34285714285714,0,0.0,0.0,0.0,0.0,0,50
libero_object,1,50,10632,9629,953,0,0,953,0.08963506395786305,0.0,0.0,,0,,,,,,0,0.0,0.0,0.0,0.0,0,50
libero_object,2,50,9092,6969,2073,0,1634,406,0.228002639683238,0.17971843378794544,0.8041485769416304,0.9802039592081584,39,71,93.0,145.40000000000003,243,41.8974358974359,0,0.0,0.0,0.0,0.0,0,50
libero_object,3,50,11686,10670,966,0,892,67,0.08266301557419134,0.07633065206229676,0.9306418219461697,0.9922135706340378,17,77,108.0,212.40000000000003,265,52.470588235294116,0,0.0,0.0,0.0,0.0,0,50
libero_object,4,50,8599,5374,3175,0,2754,421,0.36922898011396676,0.32026979881381556,0.8674015748031496,1.0,45,67,88.0,99.6,256,59.869565217391305,0,0.0,0.0,0.0,0.0,0,50
libero_object,5,50,10249,10032,167,0,80,87,0.016294272611962143,0.007805639574592643,0.47904191616766467,1.0,2,102,105.0,107.4,108,40,0,0.0,0.0,0.0,0.0,0,50
libero_object,6,50,9941,7591,2300,0,1084,590,0.2313650538175234,0.10904335579921537,0.7434782608695653,0.6339181286549708,21,91,104.0,205.0,271,51.61904761904762,0,0.0,0.0,0.0,0.0,0,50
libero_object,7,50,8404,5462,2892,0,2122,590,0.3441218467396478,0.2524988100904331,0.7959889349930843,0.9218071242397915,37,67,86.0,102.19999999999999,291,55.8421052631579,0,0.0,0.0,0.0,0.0,0,50
libero_object,8,50,11370,10440,880,0,880,0,0.0773966578715919,0.0773966578715919,1.0,1.0,10,91,99.0,107.79999999999998,151,88,0,0.0,0.0,0.0,0.0,0,50
libero_object,9,50,9438,8175,1213,0,1010,82,0.1285229921593558,0.10701419792328883,0.93239901071723,0.8930150309460654,23,67,95.0,211.40000000000003,287,43.91304347826087,0,0.0,0.0,0.0,0.0,0,50
libero_spatial,0,50,4418,0,4368,0,2770,1595,0.9886826618379357,0.6269805341783613,0.6348443223443223,0.998918139199423,50,24,30.0,41.0,97,55.4,3455,0.0,0.0,0.0,0.0,0,50
libero_spatial,1,50,6515,0,6465,0,3985,2480,0.9923254029163469,0.6116653875671527,0.6163959783449343,1.0,49,32,44.0,49.400000000000006,90,78.13725490196079,4478,0.0,0.0,0.0,0.0,0,50
libero_spatial,2,50,6938,0,6888,0,4731,2154,0.9927933121937158,0.681896800230614,0.6872822299651568,0.9993662864385298,50,19,29.0,56.20000000000003,251,84.48214285714286,5129,0.0,0.0,0.0,0.0,0,50
libero_spatial,3,50,5671,0,5621,0,3646,1887,0.9911832128372421,0.6429201199083054,0.664294609500089,0.9764327798607392,50,26,33.0,46.0,95,56.09230769230769,4212,0.0,0.0,0.0,0.0,0,50
libero_spatial,4,50,8736,0,8686,0,5794,2796,0.9942765567765568,0.6632326007326007,0.6781026939903293,0.9837011884550085,50,23,35.0,46.0,48,99.89655172413794,6872,0.0,0.0,0.0,0.0,0,50
libero_spatial,5,50,11871,0,11821,0,8622,3194,0.9957880549237638,0.7263078089461713,0.7298028931562474,0.9994204242494494,50,16,29.0,50.1,69,78.38181818181818,10661,0.0,0.0,0.0,0.0,0,50
libero_spatial,6,50,6229,0,6179,0,3900,2047,0.9919730293787125,0.6261037084604271,0.6687166208124292,0.9438528557599225,50,32,40.0,52.1,129,67.24137931034483,3915,0.0,0.0,0.0,0.0,0,50
libero_spatial,7,50,7976,0,7926,0,6053,1535,0.9937311935807422,0.758901705115346,0.8063335856674236,0.9471131278360194,50,16,24.0,41.300000000000004,184,104.36206896551724,4929,0.0,0.0,0.0,0.0,0,50
libero_spatial,8,50,7549,0,7499,0,4860,2541,0.993376606173003,0.6437938799841039,0.6611548206427523,0.9802339653085922,49,33,40.0,57.20000000000002,119,90,5705,0.0,0.0,0.0,0.0,0,50
libero_spatial,9,50,9241,0,9191,0,6257,2795,0.9945893301590737,0.6770912238935181,0.695898161244696,0.9782676672920575,50,23,36.0,49.0,194,88.12676056338029,7348,0.0,0.0,0.0,0.0,0,50
