suite,condition,total,success,success_rate,attack_frames_mean,n_steps_mean
libero_10,CLEAN,30,13,0.433,0.0,344.0
libero_10,PREFIX_ARMLOCK,30,12,0.4,5.0,354.4
libero_10,PREFIX_NOLOCK,30,12,0.4,5.7,351.9
libero_10,RANDOM,30,18,0.6,5.2,335.0
libero_10,TMA_ARMLOCK,30,13,0.433,5.3,356.5
libero_10,TMA_NOLOCK,30,11,0.367,5.7,356.5
libero_10,UNTARGETED_CE,30,15,0.5,5.0,340.5
libero_goal,CLEAN,30,24,0.8,0.0,177.2
libero_goal,PREFIX_ARMLOCK,30,24,0.8,0.0,180.2
libero_goal,PREFIX_NOLOCK,30,23,0.767,0.0,190.6
libero_goal,RANDOM,30,22,0.733,0.3,196.7
libero_goal,TMA_ARMLOCK,30,23,0.767,0.0,197.9
libero_goal,TMA_NOLOCK,30,22,0.733,0.3,194.8
libero_goal,UNTARGETED_CE,30,22,0.733,0.0,198.8
libero_spatial,CLEAN,30,24,0.8,0.0,169.6
libero_spatial,PREFIX_ARMLOCK,30,25,0.833,0.0,159.4
libero_spatial,PREFIX_NOLOCK,30,23,0.767,0.3,177.5
libero_spatial,RANDOM,30,24,0.8,0.0,167.7
libero_spatial,TMA_ARMLOCK,30,25,0.833,0.0,160.3
libero_spatial,TMA_NOLOCK,30,25,0.833,0.0,157.4
libero_spatial,UNTARGETED_CE,30,25,0.833,0.0,160.3
