job_id,parent_key,review_id,suite,task_idx,state_id,teacher_anchor,teacher_window_start,teacher_window_end,condition,attack_seed,model_path,unnorm_key,detector_path,expected_detector_sha256,assigned_worker,cuda_visible_devices,render_gpu,output_dir,status
libero_spatial_3_4_0_CLEAN_clean,libero_spatial|3|4|0|CLEAN,v2_dev_002_event_00,libero_spatial,3,4,50,48,71,CLEAN,81,/data/aviary/models/openvla/openvla-7b-finetuned-libero-spatial,libero_spatial,/data/liuyu/layer2_outputs/provisional_cross_suite_20260621/mlp_matrix_v4_libero10_bridge_cpu_r1/M2_leave_one_suite_out_test_libero_spatial/model.pt,fd2f45f11f7ceca9c8744a9c9f74cddc7e68f01da2eb4838f05d6a802d7656ef,PAIR_A,"1,5",5,/data/liuyu/layer3_outputs/provisional_three_suite_mainline_smoke_20260621/PAIR_A/libero_spatial_3_4_0_CLEAN_clean,PLANNED
libero_spatial_3_4_0_CLEAN_vis,libero_spatial|3|4|0|CLEAN,v2_dev_002_event_00,libero_spatial,3,4,50,48,71,VIS,81,/data/aviary/models/openvla/openvla-7b-finetuned-libero-spatial,libero_spatial,/data/liuyu/layer2_outputs/provisional_cross_suite_20260621/mlp_matrix_v4_libero10_bridge_cpu_r1/M2_leave_one_suite_out_test_libero_spatial/model.pt,fd2f45f11f7ceca9c8744a9c9f74cddc7e68f01da2eb4838f05d6a802d7656ef,PAIR_A,"1,5",5,/data/liuyu/layer3_outputs/provisional_three_suite_mainline_smoke_20260621/PAIR_A/libero_spatial_3_4_0_CLEAN_vis,PLANNED
libero_spatial_3_4_0_CLEAN_rand,libero_spatial|3|4|0|CLEAN,v2_dev_002_event_00,libero_spatial,3,4,50,48,71,RAND,81,/data/aviary/models/openvla/openvla-7b-finetuned-libero-spatial,libero_spatial,/data/liuyu/layer2_outputs/provisional_cross_suite_20260621/mlp_matrix_v4_libero10_bridge_cpu_r1/M2_leave_one_suite_out_test_libero_spatial/model.pt,fd2f45f11f7ceca9c8744a9c9f74cddc7e68f01da2eb4838f05d6a802d7656ef,PAIR_A,"1,5",5,/data/liuyu/layer3_outputs/provisional_three_suite_mainline_smoke_20260621/PAIR_A/libero_spatial_3_4_0_CLEAN_rand,PLANNED
libero_spatial_3_4_0_CLEAN_shuffled,libero_spatial|3|4|0|CLEAN,v2_dev_002_event_00,libero_spatial,3,4,50,48,71,SHUFFLED,81,/data/aviary/models/openvla/openvla-7b-finetuned-libero-spatial,libero_spatial,/data/liuyu/layer2_outputs/provisional_cross_suite_20260621/mlp_matrix_v4_libero10_bridge_cpu_r1/M2_leave_one_suite_out_test_libero_spatial/model.pt,fd2f45f11f7ceca9c8744a9c9f74cddc7e68f01da2eb4838f05d6a802d7656ef,PAIR_A,"1,5",5,/data/liuyu/layer3_outputs/provisional_three_suite_mainline_smoke_20260621/PAIR_A/libero_spatial_3_4_0_CLEAN_shuffled,PLANNED
libero_spatial_3_1_0_CLEAN_clean,libero_spatial|3|1|0|CLEAN,review_023_event_00,libero_spatial,3,1,49,47,81,CLEAN,81,/data/aviary/models/openvla/openvla-7b-finetuned-libero-spatial,libero_spatial,/data/liuyu/layer2_outputs/provisional_cross_suite_20260621/mlp_matrix_v4_libero10_bridge_cpu_r1/M2_leave_one_suite_out_test_libero_spatial/model.pt,fd2f45f11f7ceca9c8744a9c9f74cddc7e68f01da2eb4838f05d6a802d7656ef,PAIR_A,"1,5",5,/data/liuyu/layer3_outputs/provisional_three_suite_mainline_smoke_20260621/PAIR_A/libero_spatial_3_1_0_CLEAN_clean,PLANNED
libero_spatial_3_1_0_CLEAN_vis,libero_spatial|3|1|0|CLEAN,review_023_event_00,libero_spatial,3,1,49,47,81,VIS,81,/data/aviary/models/openvla/openvla-7b-finetuned-libero-spatial,libero_spatial,/data/liuyu/layer2_outputs/provisional_cross_suite_20260621/mlp_matrix_v4_libero10_bridge_cpu_r1/M2_leave_one_suite_out_test_libero_spatial/model.pt,fd2f45f11f7ceca9c8744a9c9f74cddc7e68f01da2eb4838f05d6a802d7656ef,PAIR_A,"1,5",5,/data/liuyu/layer3_outputs/provisional_three_suite_mainline_smoke_20260621/PAIR_A/libero_spatial_3_1_0_CLEAN_vis,PLANNED
libero_spatial_3_1_0_CLEAN_rand,libero_spatial|3|1|0|CLEAN,review_023_event_00,libero_spatial,3,1,49,47,81,RAND,81,/data/aviary/models/openvla/openvla-7b-finetuned-libero-spatial,libero_spatial,/data/liuyu/layer2_outputs/provisional_cross_suite_20260621/mlp_matrix_v4_libero10_bridge_cpu_r1/M2_leave_one_suite_out_test_libero_spatial/model.pt,fd2f45f11f7ceca9c8744a9c9f74cddc7e68f01da2eb4838f05d6a802d7656ef,PAIR_A,"1,5",5,/data/liuyu/layer3_outputs/provisional_three_suite_mainline_smoke_20260621/PAIR_A/libero_spatial_3_1_0_CLEAN_rand,PLANNED
libero_spatial_3_1_0_CLEAN_shuffled,libero_spatial|3|1|0|CLEAN,review_023_event_00,libero_spatial,3,1,49,47,81,SHUFFLED,81,/data/aviary/models/openvla/openvla-7b-finetuned-libero-spatial,libero_spatial,/data/liuyu/layer2_outputs/provisional_cross_suite_20260621/mlp_matrix_v4_libero10_bridge_cpu_r1/M2_leave_one_suite_out_test_libero_spatial/model.pt,fd2f45f11f7ceca9c8744a9c9f74cddc7e68f01da2eb4838f05d6a802d7656ef,PAIR_A,"1,5",5,/data/liuyu/layer3_outputs/provisional_three_suite_mainline_smoke_20260621/PAIR_A/libero_spatial_3_1_0_CLEAN_shuffled,PLANNED
libero_goal_2_8_0_CLEAN_clean,libero_goal|2|8|0|CLEAN,review_016_event_00,libero_goal,2,8,290,288,370,CLEAN,81,/data/aviary/models/openvla/openvla-7b-finetuned-libero-goal,libero_goal,/data/liuyu/layer2_outputs/provisional_cross_suite_20260621/mlp_matrix_v4_libero10_bridge_cpu_r1/M2_leave_one_suite_out_test_libero_goal/model.pt,2dd37f6eb68d697e6b0aecccf9f09135742917284c8ef176b65a84a0cb70da7b,PAIR_A,"1,5",5,/data/liuyu/layer3_outputs/provisional_three_suite_mainline_smoke_20260621/PAIR_A/libero_goal_2_8_0_CLEAN_clean,PLANNED
libero_goal_2_8_0_CLEAN_vis,libero_goal|2|8|0|CLEAN,review_016_event_00,libero_goal,2,8,290,288,370,VIS,81,/data/aviary/models/openvla/openvla-7b-finetuned-libero-goal,libero_goal,/data/liuyu/layer2_outputs/provisional_cross_suite_20260621/mlp_matrix_v4_libero10_bridge_cpu_r1/M2_leave_one_suite_out_test_libero_goal/model.pt,2dd37f6eb68d697e6b0aecccf9f09135742917284c8ef176b65a84a0cb70da7b,PAIR_A,"1,5",5,/data/liuyu/layer3_outputs/provisional_three_suite_mainline_smoke_20260621/PAIR_A/libero_goal_2_8_0_CLEAN_vis,PLANNED
