metric,value
fit_identities,800
candidate_windows,2357
tier1_windows,1252
tier2_windows,143
tier3_windows,962
tier1_steps,14500
tier2_steps,794
tier3_steps,53598
true_mixed_episodes,507
positive_only_episodes,224
pure_negative_episodes,9
no_candidate_episodes,60
tier3_tier2_episodes,222
non_contiguous_same_window_id,0
overlap_count,0
student_invalid_candidate_overlap,0
unknown_rows,100772
none_window_rows,100772
utility_vs_window_length_pearson,0.5513133276608345
utility_vs_time_since_close_pearson,-0.28831650110588347
