fold,validation_states,seed,train_episodes,valid_episodes,final_loss,checkpoint_bundle_sha256,prediction_bundle_sha256,validation_identity_sha256,full_t10_event_hit_rate,later_event_hit_rate,negative_episode_any_emit_rate,onset_latency_mean_steps,release_overlap_count,early_emit_event_count,late_emit_event_count,checkpoint_status,eligible_for_model_selection
0,0-4,20260717,600,200,0.04113965142518282,5f2157f28527268532f177839b45253baf164af9eb80072c8d22b9365b0c6e55,bb4204355b380db49b06e7f369224ab79346e20e5ff2d22b2eb9269de8ad4a69,01a3590d9bdb0e0aa2307423090d9ad1ee6a4fe64c1d4cb9608960e0b80fe34c,0.971887550200803,0.905405405405405,0.166666666666667,0.925619834710744,0,42,196,FIT_FOLD_TRAINED_CANDIDATE,false
0,0-4,20260718,600,200,0.049906947364409766,f2eb224842a55194fbbde90cb9401df757d5cd68a65bcd9baaf4adcf2b30302e,9086761b659704e10f71a90397fe1c3ce0914b712cfad8ff62e701bd2635fdbe,01a3590d9bdb0e0aa2307423090d9ad1ee6a4fe64c1d4cb9608960e0b80fe34c,0.963855421686747,0.878378378378378,0.166666666666667,0.529166666666667,0,47,194,FIT_FOLD_TRAINED_CANDIDATE,false
0,0-4,20260719,600,200,0.04775605606536071,52e1ea607a53d182495a473219bbe1507800d010c144db6c3d1daa5a4d7bc3eb,5bbe7776111f90ae489bf8c6f2a43b7cd0ef60c42c3cb14812da0d0e72873283,01a3590d9bdb0e0aa2307423090d9ad1ee6a4fe64c1d4cb9608960e0b80fe34c,0.979919678714859,0.932432432432432,0.166666666666667,0.491803278688525,0,50,169,FIT_FOLD_TRAINED_CANDIDATE,false
1,5-9,20260717,600,200,0.040165920443832874,555c424c87632d324d0e8c8a8a79676677b7676ee8adc494a2f91d77b7906a3d,c39ab711ffc9082ae270867e98113caf4cadd91aafd1c3da2b13fb98ffa695a1,6a87e2315f4bef3c8fc62bac94eec2b49858251b6a430cc886b4089650c1dfc3,0.954545454545455,0.848484848484849,0.166666666666667,1.25974025974026,0,32,187,FIT_FOLD_TRAINED_CANDIDATE,false
1,5-9,20260718,600,200,0.04164702581862609,09e1d6282d56360c0707b22743b886bf95d5e5f8111b7b1eb554123b17beab0f,e05927094f0e61d751b725e59231bf52b2b3715d0fe53d7b27205174cba6efc8,6a87e2315f4bef3c8fc62bac94eec2b49858251b6a430cc886b4089650c1dfc3,0.958677685950413,0.863636363636364,0.166666666666667,1.2801724137931,0,31,190,FIT_FOLD_TRAINED_CANDIDATE,false
1,5-9,20260719,600,200,0.03985434922079245,cbc933e78feb8541f8fa36d99cf44777d722273f104ad2fa1625a3c875b1cfd8,a1f39f57141ef620b99f0e6adea78f67bce7ab9f2065a1940ed3835727de2669,6a87e2315f4bef3c8fc62bac94eec2b49858251b6a430cc886b4089650c1dfc3,0.946280991735537,0.818181818181818,0.166666666666667,1.46288209606987,0,34,167,FIT_FOLD_TRAINED_CANDIDATE,false
2,10-14,20260717,600,200,0.040688981413841245,9c40b7a6cee1509f5858e9e7dab5035306f6cc363c676f2a254a8e784d286d9e,b7010ea11d08c4abb97e300d9f1a88e8825e1c3ac41d2c2e1cb6816e89db381e,c422cdf9766066a5983a47a14decbd5a59435e2657d3c0f88430c35d527d986e,0.970464135021097,0.907692307692308,0.1875,0.747826086956522,0,42,175,FIT_FOLD_TRAINED_CANDIDATE,false
2,10-14,20260718,600,200,0.03856033532569806,4310a0048e912d461add89ff2810af404587d578cd4a8ddd42088788a0b54627,4586ba7031aa6021f3034bc1b07dfd6d814c2dfa6ba6ebe24825732adc4abfbc,c422cdf9766066a5983a47a14decbd5a59435e2657d3c0f88430c35d527d986e,0.970464135021097,0.953846153846154,0.1875,0.617391304347826,0,45,140,FIT_FOLD_TRAINED_CANDIDATE,false
2,10-14,20260719,600,200,0.03785972443719705,45fe52b029c737a4b673ef92a352de3ae02b5fbe7515cbee65213608c109f8bb,f32324b4ddf7f6b72c91659d9270408f1a201064e38d27112eb0c2031f675296,c422cdf9766066a5983a47a14decbd5a59435e2657d3c0f88430c35d527d986e,0.962025316455696,0.892307692307692,0.0625,1.10087719298246,0,40,151,FIT_FOLD_TRAINED_CANDIDATE,false
3,15-19,20260717,600,200,0.03844621033718189,8d36fe36c79e2404ff698243e069caa34a98782c89af5ffacefaaa22a259ee2a,4bde8dc55a7d91098151ad9d98320edb6a51b306d1ec8c8f7935a30d70453d64,b5bd4f7540a8b3d38afdccb72788aebb90ed6667d29b9dd76cc05bfb1288556c,0.941176470588235,0.87012987012987,0,1.52083333333333,0,48,202,FIT_FOLD_TRAINED_CANDIDATE,false
3,15-19,20260718,600,200,0.03887441070129474,85c90ed4c8b7a1d6efe70d40b8583d398a358fed13ff4815cca4390eb46fb5f6,a151b43354a9b92e0c31bb2c1758667ad5f4baa02dd7810ef858210eb5c5c422,b5bd4f7540a8b3d38afdccb72788aebb90ed6667d29b9dd76cc05bfb1288556c,0.92156862745098,0.818181818181818,0.0588235294117647,1.37021276595745,0,42,136,FIT_FOLD_TRAINED_CANDIDATE,false
3,15-19,20260719,600,200,0.03954559619228045,3c2ff886ddae1c408ec31a2dbe133a428f8f48060364a3f770480111173f8105,06edda511396b82956a66deed9ae5fc59935a3341033dadb70a18c313a591873,b5bd4f7540a8b3d38afdccb72788aebb90ed6667d29b9dd76cc05bfb1288556c,0.945098039215686,0.896103896103896,0.117647058823529,1.09958506224066,0,49,202,FIT_FOLD_TRAINED_CANDIDATE,false
