feature_set,model,accuracy,prec_pos,rec_pos,f1_pos,prec_neg,rec_neg,f1_neg,macro_f1,macro_F1,balanced_acc,balanced_accuracy,negative_recall,MCC,tp,fp,fn,tn,sample_weight_column,fit_sample_weight
BASELINE,always_positive,0.4091,0.4091,1.0,0.5806,0.0,0.0,0.0,0.2903,0.2903,0.5,0.5,0.0,0.0,9,13,0,0,,baseline_unweighted_eval
BASELINE,always_negative,0.5909,0.0,0.0,0.0,0.5909,1.0,0.7429,0.3714,0.3714,0.5,0.5,1.0,0.0,0,0,9,13,,baseline_unweighted_eval
BASELINE,prevalence_random,0.5455,0.4545,0.5556,0.5,0.6364,0.5385,0.5833,0.5417,0.5417,0.547,0.547,0.5385,0.0925,5,6,4,7,,baseline_unweighted_eval
A_task_key_only,LR,0.4091,0.0,0.0,0.0,0.5,0.6923,0.5806,0.2903,0.2903,0.3462,0.3462,0.6923,-0.3922,0,4,9,9,,unweighted
A_task_key_only,RF,0.5909,0.0,0.0,0.0,0.5909,1.0,0.7429,0.3714,0.3714,0.5,0.5,1.0,0.0,0,0,9,13,,unweighted
B_phase_bin_only,LR,0.5455,0.4444,0.4444,0.4444,0.6154,0.6154,0.6154,0.5299,0.5299,0.5299,0.5299,0.6154,0.0598,4,5,5,8,,unweighted
B_phase_bin_only,RF,0.5455,0.4286,0.3333,0.375,0.6,0.6923,0.6429,0.5089,0.5089,0.5128,0.5128,0.6923,0.0271,3,4,6,9,,unweighted
C_closed_pregrasp_gate,LR,0.5909,0.0,0.0,0.0,0.5909,1.0,0.7429,0.3714,0.3714,0.5,0.5,1.0,0.0,0,0,9,13,,unweighted
C_closed_pregrasp_gate,RF,0.5909,0.0,0.0,0.0,0.5909,1.0,0.7429,0.3714,0.3714,0.5,0.5,1.0,0.0,0,0,9,13,,unweighted
D_causal_safe,LR,0.6818,0.5714,0.8889,0.6957,0.875,0.5385,0.6667,0.6812,0.6812,0.7137,0.7137,0.5385,0.4368,8,6,1,7,,unweighted
D_causal_safe,RF,0.4545,0.2857,0.2222,0.25,0.5333,0.6154,0.5714,0.4107,0.4107,0.4188,0.4188,0.6154,-0.1714,2,5,7,8,,unweighted
E_phase+causal,LR,0.5455,0.4667,0.7778,0.5833,0.7143,0.3846,0.5,0.5417,0.5417,0.5812,0.5812,0.3846,0.1714,7,8,2,5,,unweighted
E_phase+causal,RF,0.5909,0.5,0.4444,0.4706,0.6429,0.6923,0.6667,0.5686,0.5686,0.5684,0.5684,0.6923,0.1398,4,4,5,9,,unweighted
F_task+phase,LR,0.3636,0.1429,0.1111,0.125,0.4667,0.5385,0.5,0.3125,0.3125,0.3248,0.3248,0.5385,-0.3699,1,6,8,7,,unweighted
F_task+phase,RF,0.3182,0.125,0.1111,0.1176,0.4286,0.4615,0.4444,0.281,0.281,0.2863,0.2863,0.4615,-0.4368,1,7,8,6,,unweighted
G_task+phase+causal,LR,0.4545,0.3846,0.5556,0.4545,0.5556,0.3846,0.4545,0.4545,0.4545,0.4701,0.4701,0.3846,-0.0598,5,8,4,5,,unweighted
G_task+phase+causal,RF,0.3636,0.0,0.0,0.0,0.4706,0.6154,0.5333,0.2667,0.2667,0.3077,0.3077,0.6154,-0.4512,0,5,9,8,,unweighted
H_descriptor_upper,LR,0.6818,0.5714,0.8889,0.6957,0.875,0.5385,0.6667,0.6812,0.6812,0.7137,0.7137,0.5385,0.4368,8,6,1,7,,unweighted
H_descriptor_upper,RF,0.4091,0.25,0.2222,0.2353,0.5,0.5385,0.5185,0.3769,0.3769,0.3803,0.3803,0.5385,-0.2446,2,6,7,7,,unweighted
