feature_set,model,accuracy,prec_pos,rec_pos,f1_pos,prec_neg,rec_neg,f1_neg,macro_f1,macro_F1,balanced_acc,balanced_accuracy,negative_recall,MCC,tp,fp,fn,tn,sample_weight_column,fit_sample_weight
BASELINE,always_positive,0.6061,0.6061,1.0,0.7547,0.0,0.0,0.0,0.3774,0.3774,0.5,0.5,0.0,0.0,20,13,0,0,,baseline_unweighted_eval
BASELINE,always_negative,0.3939,0.0,0.0,0.0,0.3939,1.0,0.5652,0.2826,0.2826,0.5,0.5,1.0,0.0,0,0,20,13,,baseline_unweighted_eval
BASELINE,prevalence_random,0.5152,0.5833,0.7,0.6364,0.3333,0.2308,0.2727,0.4545,0.4545,0.4654,0.4654,0.2308,-0.076,14,10,6,3,,baseline_unweighted_eval
A_task_key_only,LR,0.3939,0.0,0.0,0.0,0.3939,1.0,0.5652,0.2826,0.2826,0.5,0.5,1.0,0.0,0,0,20,13,,unweighted
A_task_key_only,RF,0.303,0.2,0.05,0.08,0.3214,0.6923,0.439,0.2595,0.2595,0.3712,0.3712,0.6923,-0.3512,1,4,19,9,,unweighted
B_phase_bin_only,LR,0.5152,0.6429,0.45,0.5294,0.4211,0.6154,0.5,0.5147,0.5147,0.5327,0.5327,0.6154,0.0646,9,5,11,8,,unweighted
B_phase_bin_only,RF,0.5152,0.6429,0.45,0.5294,0.4211,0.6154,0.5,0.5147,0.5147,0.5327,0.5327,0.6154,0.0646,9,5,11,8,,unweighted
C_closed_pregrasp_gate,LR,0.3939,0.0,0.0,0.0,0.3939,1.0,0.5652,0.2826,0.2826,0.5,0.5,1.0,0.0,0,0,20,13,,unweighted
C_closed_pregrasp_gate,RF,0.3939,0.0,0.0,0.0,0.3939,1.0,0.5652,0.2826,0.2826,0.5,0.5,1.0,0.0,0,0,20,13,,unweighted
D_causal_safe,LR,0.7576,0.75,0.9,0.8182,0.7778,0.5385,0.6364,0.7273,0.7273,0.7192,0.7192,0.5385,0.4811,18,6,2,7,,unweighted
D_causal_safe,RF,0.697,0.7273,0.8,0.7619,0.6364,0.5385,0.5833,0.6726,0.6726,0.6692,0.6692,0.5385,0.3508,16,6,4,7,,unweighted
E_phase+causal,LR,0.5455,0.6316,0.6,0.6154,0.4286,0.4615,0.4444,0.5299,0.5299,0.5308,0.5308,0.4615,0.0608,12,7,8,6,,unweighted
E_phase+causal,RF,0.6667,0.7143,0.75,0.7317,0.5833,0.5385,0.56,0.6459,0.6459,0.6442,0.6442,0.5385,0.293,15,6,5,7,,unweighted
F_task+phase,LR,0.2727,0.0,0.0,0.0,0.3103,0.6923,0.4286,0.2143,0.2143,0.3462,0.3462,0.6923,-0.4607,0,4,20,9,,unweighted
F_task+phase,RF,0.4848,0.5652,0.65,0.6047,0.3,0.2308,0.2609,0.4328,0.4328,0.4404,0.4404,0.2308,-0.1268,13,10,7,3,,unweighted
G_task+phase+causal,LR,0.4848,0.6154,0.4,0.4848,0.4,0.6154,0.4848,0.4848,0.4848,0.5077,0.5077,0.6154,0.0154,8,5,12,8,,unweighted
G_task+phase+causal,RF,0.7273,0.7619,0.8,0.7805,0.6667,0.6154,0.64,0.7102,0.7102,0.7077,0.7077,0.6154,0.4219,16,5,4,8,,unweighted
H_descriptor_upper,LR,0.6667,0.7368,0.7,0.7179,0.5714,0.6154,0.5926,0.6553,0.6553,0.6577,0.6577,0.6154,0.3118,14,5,6,8,,unweighted
H_descriptor_upper,RF,0.7576,0.7308,0.95,0.8261,0.8571,0.4615,0.6,0.713,0.713,0.7058,0.7058,0.4615,0.4919,19,7,1,6,,unweighted
