feature_set,model,accuracy,prec_pos,rec_pos,f1_pos,prec_neg,rec_neg,f1_neg,macro_f1,macro_F1,balanced_acc,balanced_accuracy,negative_recall,MCC,tp,fp,fn,tn,sample_weight_column,fit_sample_weight
BASELINE,always_positive,0.6061,0.6061,1.0,0.7547,0.0,0.0,0.0,0.3774,0.3774,0.5,0.5,0.0,0.0,20,13,0,0,sample_weight,baseline_unweighted_eval
BASELINE,always_negative,0.3939,0.0,0.0,0.0,0.3939,1.0,0.5652,0.2826,0.2826,0.5,0.5,1.0,0.0,0,0,20,13,sample_weight,baseline_unweighted_eval
BASELINE,prevalence_random,0.5152,0.5833,0.7,0.6364,0.3333,0.2308,0.2727,0.4545,0.4545,0.4654,0.4654,0.2308,-0.076,14,10,6,3,sample_weight,baseline_unweighted_eval
A_task_key_only,LR,0.3939,0.0,0.0,0.0,0.3939,1.0,0.5652,0.2826,0.2826,0.5,0.5,1.0,0.0,0,0,20,13,sample_weight,weighted_fit:sample_weight
A_task_key_only,RF,0.3939,0.0,0.0,0.0,0.3939,1.0,0.5652,0.2826,0.2826,0.5,0.5,1.0,0.0,0,0,20,13,sample_weight,weighted_fit:sample_weight
B_phase_bin_only,LR,0.5152,0.6429,0.45,0.5294,0.4211,0.6154,0.5,0.5147,0.5147,0.5327,0.5327,0.6154,0.0646,9,5,11,8,sample_weight,weighted_fit:sample_weight
B_phase_bin_only,RF,0.4242,0.5455,0.3,0.3871,0.3636,0.6154,0.4571,0.4221,0.4221,0.4577,0.4577,0.6154,-0.0877,6,5,14,8,sample_weight,weighted_fit:sample_weight
C_closed_pregrasp_gate,LR,0.3939,0.0,0.0,0.0,0.3939,1.0,0.5652,0.2826,0.2826,0.5,0.5,1.0,0.0,0,0,20,13,sample_weight,weighted_fit:sample_weight
C_closed_pregrasp_gate,RF,0.3939,0.0,0.0,0.0,0.3939,1.0,0.5652,0.2826,0.2826,0.5,0.5,1.0,0.0,0,0,20,13,sample_weight,weighted_fit:sample_weight
D_causal_safe,LR,0.7576,0.75,0.9,0.8182,0.7778,0.5385,0.6364,0.7273,0.7273,0.7192,0.7192,0.5385,0.4811,18,6,2,7,sample_weight,weighted_fit:sample_weight
D_causal_safe,RF,0.697,0.7273,0.8,0.7619,0.6364,0.5385,0.5833,0.6726,0.6726,0.6692,0.6692,0.5385,0.3508,16,6,4,7,sample_weight,weighted_fit:sample_weight
E_phase+causal,LR,0.5758,0.6364,0.7,0.6667,0.4545,0.3846,0.4167,0.5417,0.5417,0.5423,0.5423,0.3846,0.0877,14,8,6,5,sample_weight,weighted_fit:sample_weight
E_phase+causal,RF,0.6364,0.6818,0.75,0.7143,0.5455,0.4615,0.5,0.6071,0.6071,0.6058,0.6058,0.4615,0.2193,15,7,5,6,sample_weight,weighted_fit:sample_weight
F_task+phase,LR,0.2727,0.0,0.0,0.0,0.3103,0.6923,0.4286,0.2143,0.2143,0.3462,0.3462,0.6923,-0.4607,0,4,20,9,sample_weight,weighted_fit:sample_weight
F_task+phase,RF,0.4545,0.5833,0.35,0.4375,0.381,0.6154,0.4706,0.454,0.454,0.4827,0.4827,0.6154,-0.0352,7,5,13,8,sample_weight,weighted_fit:sample_weight
G_task+phase+causal,LR,0.5152,0.6429,0.45,0.5294,0.4211,0.6154,0.5,0.5147,0.5147,0.5327,0.5327,0.6154,0.0646,9,5,11,8,sample_weight,weighted_fit:sample_weight
G_task+phase+causal,RF,0.697,0.75,0.75,0.75,0.6154,0.6154,0.6154,0.6827,0.6827,0.6827,0.6827,0.6154,0.3654,15,5,5,8,sample_weight,weighted_fit:sample_weight
H_descriptor_upper,LR,0.7273,0.7391,0.85,0.7907,0.7,0.5385,0.6087,0.6997,0.6997,0.6942,0.6942,0.5385,0.413,17,6,3,7,sample_weight,weighted_fit:sample_weight
H_descriptor_upper,RF,0.7273,0.72,0.9,0.8,0.75,0.4615,0.5714,0.6857,0.6857,0.6808,0.6808,0.4615,0.4122,18,7,2,6,sample_weight,weighted_fit:sample_weight
