parent,task,ws,we,cmd_label,is_rand,is_cmd,pV,pR,yield,risk_rand,n_pre,raw_mean,raw_std,raw_last,raw_slope,raw_min,raw_max,dist_mean,dist_last,open_rate,open_streak,close_streak,transitions,last_transition,q0_mean,q0_std,q1_mean,q1_std,arm_mean,arm_max
k5_clean_negative_expansion_alphabet_soup_s1_w65_75_env1,alphabet_soup,65,75,stable_negative,0,0,0.0,0.0,0.0,0.0,65,0.5363,0.4966,0.0,-0.021071,0.0,0.9961,0.4979,0.5,0.5385,33,25,6,25,0.02485,0.015804,-0.024727,0.01591,0.0,0.0
k5_cmd_anchor_milk_s0_w70_80_env0,milk,70,80,stable_cmd_specific,0,1,1.0,0.0,1.0,1.0,70,0.8822,0.3169,0.0,-0.008644,0.0,0.9961,0.4965,0.5,0.8857,62,8,1,8,0.037272,0.005501,-0.037165,0.00554,0.0,0.0
k5_confounded_swing_milk_s0_w230_240_env0,milk,230,240,stable_cmd_specific,0,1,1.0,0.0,1.0,1.0,230,0.8185,0.3812,0.0,-0.000964,0.0,0.9961,0.4968,0.5,0.8217,62,17,23,8,0.034498,0.009997,-0.034526,0.010009,0.0,0.0
k5_hn_surprise_bbq_sauce_s2_w100_110_env2,bbq_sauce,100,110,stable_negative,0,0,0.0,0.0,0.0,0.0,100,0.5976,0.488,0.0,-0.012851,0.0,0.9961,0.4976,0.5,0.6,54,31,9,31,0.026097,0.016497,-0.026126,0.01655,0.0,0.0
k5_neg_drift_salad_dressing_s2_w120_130_env2,salad_dressing,120,130,stable_negative,0,0,0.0,0.0,0.0,0.0,120,0.6641,0.4696,0.0,-0.009982,0.0,0.9961,0.4974,0.5,0.6667,77,37,5,37,0.031398,0.011245,-0.031447,0.011193,0.0,0.0
k5_rand_cmd_drift_tomato_sauce_s2_w150_160_env2,tomato_sauce,150,160,stable_cmd_specific,0,1,1.0,0.0,1.0,0.6,150,0.6641,0.4696,0.0,-0.004137,0.0,0.9961,0.4974,0.5,0.6667,51,22,23,10,0.026263,0.015136,-0.026211,0.015149,0.0,0.0
k5_rand_phys_flip_tomato_sauce_s2_w90_100_env2,tomato_sauce,90,100,stable_cmd_specific,0,1,1.0,0.0,1.0,0.0,90,0.7969,0.3984,0.0,-0.005198,0.0,0.9961,0.4969,0.5,0.8,51,13,7,13,0.034172,0.009621,-0.03402,0.009844,0.0,0.0
k5_strict_phys_master_tomato_sauce_s2_w115_125_env2,tomato_sauce,115,125,stable_rand_sensitive,1,0,0.8,0.8,0.0,0.8,115,0.4764,0.4976,0.9961,-0.002672,0.0,0.9961,0.4981,0.4961,0.4783,14,22,30,10,0.016785,0.01486,-0.016635,0.014948,0.0,0.0
k5b_contrast_milk_early_milk_s0_w75_85_env0,milk,75,85,stable_rand_sensitive,1,0,1.0,0.4,0.6,0.8,75,0.8234,0.3771,0.0,-0.01142,0.0,0.9961,0.4968,0.5,0.8267,62,13,1,13,0.035146,0.009604,-0.03504,0.00962,0.0,0.0
k5b_contrast_milk_late_milk_s0_w240_250_env0,milk,240,250,stable_cmd_specific,0,1,1.0,0.0,1.0,0.8,240,0.7844,0.4075,0.0,-0.001666,0.0,0.9961,0.4969,0.5,0.7875,62,18,23,18,0.033195,0.011628,-0.033226,0.01163,0.0,0.0
