parent,task,ws,we,source_trace,source_condition,source_job_id,source_dir,n_pre,pre_step_range,pre_hash,feature_safe
k5_clean_negative_expansion_alphabet_soup_s1_w65_75_env1,alphabet_soup,65,75,trace_alphabet_soup_vis_pgd_job500070.csv,vis_pgd,500070,stageb_v1_1_k5_repeat_stability_rc1a_a20379f,65,0-64,0c16ea5f,True
k5_cmd_anchor_milk_s0_w70_80_env0,milk,70,80,trace_milk_random_linf_job500005.csv,random_linf,500005,stageb_v1_1_k5_repeat_stability_rc1a_a20379f,70,0-69,23fcc2f4,True
k5_confounded_swing_milk_s0_w230_240_env0,milk,230,240,trace_milk_random_linf_job500017.csv,random_linf,500017,stageb_v1_1_k5_repeat_stability_rc1a_a20379f,230,0-229,36b3c65c,True
k5_hn_surprise_bbq_sauce_s2_w100_110_env2,bbq_sauce,100,110,trace_bbq_sauce_random_linf_job500059.csv,random_linf,500059,stageb_v1_1_k5_repeat_stability_rc1a_a20379f,100,0-99,f86ff002,True
k5_neg_drift_salad_dressing_s2_w120_130_env2,salad_dressing,120,130,trace_salad_dressing_random_linf_job500041.csv,random_linf,500041,stageb_v1_1_k5_repeat_stability_rc1a_a20379f,120,0-119,718cfcd6,True
k5_rand_cmd_drift_tomato_sauce_s2_w150_160_env2,tomato_sauce,150,160,trace_tomato_sauce_random_linf_job500029.csv,random_linf,500029,stageb_v1_1_k5_repeat_stability_rc1a_a20379f,150,0-149,3a6400e0,True
k5_rand_phys_flip_tomato_sauce_s2_w90_100_env2,tomato_sauce,90,100,trace_tomato_sauce_vis_pgd_job500030.csv,vis_pgd,500030,stageb_v1_1_k5_repeat_stability_rc1a_a20379f,90,0-89,9ea77ab9,True
k5_strict_phys_master_tomato_sauce_s2_w115_125_env2,tomato_sauce,115,125,trace_tomato_sauce_random_linf_job500067.csv,random_linf,500067,stageb_v1_1_k5_repeat_stability_rc1a_a20379f,115,0-114,65c6980f,True
k5b_contrast_milk_early_milk_s0_w75_85_env0,milk,75,85,trace_milk_random_linf_job510011.csv,random_linf,510011,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,75,0-74,d98e58dc,True
k5b_contrast_milk_late_milk_s0_w240_250_env0,milk,240,250,trace_milk_vis_pgd_job510008.csv,vis_pgd,510008,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,240,0-239,1d29be50,True
k5b_contrast_milk_mid_milk_s0_w80_90_env0,milk,80,90,trace_milk_random_linf_job510025.csv,random_linf,510025,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,80,0-79,d7d3d1e5,True
k5b_contrast_tomato_early_tomato_sauce_s2_w95_105_env2,tomato_sauce,95,105,trace_tomato_sauce_random_linf_job510049.csv,random_linf,510049,stageb_v1_1_k5b_targeted_stability_rc1a_0e3428f,95,0-94,973e49cb,True
