method,K,cmd_hit,rand_hit,yield,n_tasks
RandomRank,7,0.2857,0.5714,0.4,5
RandomRank,10,0.4,0.5,0.46,6
RandomRank,15,0.4,0.4667,0.4533,7
CleanRandRank,7,0.5714,0.2857,0.6571,2
CleanRandRank,10,0.5,0.3,0.6,4
CleanRandRank,15,0.4667,0.4,0.56,5
HiddenRiskRank,7,0.2857,0.4286,0.3429,5
HiddenRiskRank,10,0.3,0.5,0.34,5
HiddenRiskRank,15,0.4,0.4667,0.4533,7
HiddenSafeRank,7,0.5714,0.4286,0.7143,3
HiddenSafeRank,10,0.6,0.4,0.68,4
HiddenSafeRank,15,0.6,0.4,0.64,5
ActionLogitRank,7,0.5714,0.2857,0.5429,3
ActionLogitRank,10,0.5,0.4,0.5,4
ActionLogitRank,15,0.4667,0.4,0.5067,6
Oracle,7,1.0,0.0,1.0,2
Oracle,10,1.0,0.0,1.0,4
Oracle,15,1.0,0.0,0.9467,5
