source_batch,task_key,state_id,window_start,window_end,candidate_role,control_type,phase_bin_proxy,denominator_type,provenance_status,provenance_note,reason_selected,VIS_OPEN,vis_open_count,qpos_opening_delta,qpos_label,done,taxonomy,denominator_clean,claim_usable,action_bridge_confounded,label_action_bridge,label_physical_response,label_task_failure,label_vulnerability_ready,label_status,label_use,exclusion_or_uncertain_reason
batch3,cream_cheese,4,28,45,,,grasp_formation,standard,unknown,,,18.0,18,0.038149,strong,False,claim_usable,True,True,False,1,1,1,1,positive,train,
batch3,ketchup,1,21,38,,,grasp_formation,standard,unknown,,,18.0,18,0.037871,strong,False,claim_usable,True,True,False,1,1,1,1,positive,train,
batch3,ketchup,2,39,56,,,grasp_formation,standard,unknown,,,,0,0.0,none,True,polluted,False,False,False,0,0,0,,ignore,ignore,polluted
batch3,ketchup,5,9,26,,,grasp_formation,standard,unknown,,,18.0,18,0.037403,strong,True,action_positive_physical_positive_task_negative,True,False,False,1,1,0,0,negative,train,
batch3,milk,1,8,25,,,grasp_formation,standard,unknown,,,18.0,18,0.036838,strong,False,claim_usable,True,True,False,1,1,1,1,positive,train,
batch3,milk,4,19,36,,,grasp_formation,standard,unknown,,,18.0,18,0.03789,strong,False,claim_usable,True,True,False,1,1,1,1,positive,train,
batch3,milk,5,25,42,,,grasp_formation,standard,unknown,,,18.0,18,0.03799,strong,True,action_positive_physical_positive_task_negative,True,False,False,1,1,0,0,negative,train,
batch3,milk,9,5,22,,,grasp_formation,standard,unknown,,,,0,0.0,none,True,polluted,False,False,False,0,0,0,,ignore,ignore,polluted
batch3,salad_dressing,0,31,48,,,grasp_formation,standard,unknown,,,,0,0.0,none,True,polluted,False,False,False,0,0,0,,ignore,ignore,polluted
batch3,salad_dressing,0,7,24,,,grasp_formation,standard,unknown,,,18.0,18,0.036668,strong,True,action_positive_physical_positive_task_negative,True,False,False,1,1,0,0,negative,train,
batch3b,alphabet_soup,6,40,57,,,grasp_formation,standard,unknown,,,0.0,0,0.0,none,True,no_action_bridge,True,False,False,0,0,0,0,negative,train,
