step,fgsm1_grad_norm,fgsm1_open_score_gain,fgsm1_loss_delta,fgsm1_open_prob_gain,fgsm1_token_flip,fgsm1_probe_status,fgsm1_probe_error,pgd1_grad_norm,pgd1_open_score_gain,pgd1_loss_delta,pgd1_open_prob_gain,pgd1_token_flip,pgd1_probe_status,pgd1_probe_error,pgd3_grad_norm,pgd3_open_score_gain,pgd3_loss_delta,pgd3_open_prob_gain,pgd3_token_flip,pgd3_probe_status,pgd3_probe_error,max_open_score_gain,max_grad_norm,any_token_flip,any_probe_error,open_token_count,close_token_count,task_key,state_id,window_start,window_end,label_status,taxonomy
28,12.25,0.888397,-0.888397,0.0,True,ok,,12.25,0.888397,-0.888397,0.0,True,ok,,17.0,0.016979,-0.016979,0.0,True,ok,,0.888397,17.0,1,0,127,128,cream_cheese,4,28,45,positive,claim_usable
36,16.375,-2.872578,2.872578,0.0,True,ok,,16.375,-2.872578,2.872578,0.0,True,ok,,20.0,-1.45208,1.45208,0.0,True,ok,,-1.45208,20.0,1,0,127,128,cream_cheese,4,28,45,positive,claim_usable
45,8.5,-0.293236,0.293236,0.0,True,ok,,8.5,-0.293236,0.293236,0.0,True,ok,,11.0625,0.039032,-0.039032,0.0,True,ok,,0.039032,11.0625,1,0,127,128,cream_cheese,4,28,45,positive,claim_usable
21,18.125,0.728981,-0.728981,0.0,True,ok,,18.125,0.728981,-0.728981,0.0,True,ok,,13.5,1.474949,-1.474949,0.0,True,ok,,1.474949,18.125,1,0,127,128,ketchup,1,21,38,positive,claim_usable
29,15.875,0.84383,-0.84383,0.0,True,ok,,15.875,0.84383,-0.84383,0.0,True,ok,,14.25,0.343727,-0.343727,0.0,True,ok,,0.84383,15.875,1,0,127,128,ketchup,1,21,38,positive,claim_usable
38,17.125,1.237121,-1.237121,0.0,True,ok,,17.125,1.237121,-1.237121,0.0,True,ok,,14.375,0.345398,-0.345398,0.0,True,ok,,1.237121,17.125,1,0,127,128,ketchup,1,21,38,positive,claim_usable
39,23.25,0.852974,-0.852974,0.0,True,ok,,23.25,0.852974,-0.852974,0.0,True,ok,,12.8125,0.194863,-0.194863,0.0,False,ok,,0.852974,23.25,1,0,127,128,ketchup,2,39,56,ignore,polluted
47,15.25,-0.788463,0.788463,0.0,True,ok,,15.25,-0.788463,0.788463,0.0,True,ok,,16.75,1.324246,-1.324246,0.0,True,ok,,1.324246,16.75,1,0,127,128,ketchup,2,39,56,ignore,polluted
56,11.75,-0.546048,0.546048,0.0,True,ok,,11.75,-0.546048,0.546048,0.0,True,ok,,17.625,-1.762555,1.762555,0.0,True,ok,,-0.546048,17.625,1,0,127,128,ketchup,2,39,56,ignore,polluted
9,11.75,3.341022,-3.341022,0.0,False,ok,,11.75,3.341022,-3.341022,0.0,False,ok,,8.0625,0.350341,-0.350341,0.0,True,ok,,3.341022,11.75,1,0,127,128,ketchup,5,9,26,negative,action_positive_physical_positive_task_negative
17,18.0,-0.318467,0.318467,0.0,False,ok,,18.0,-0.340916,0.340916,0.0,False,ok,,14.4375,-0.844479,0.844479,0.0,False,ok,,-0.318467,18.0,0,0,127,128,ketchup,5,9,26,negative,action_positive_physical_positive_task_negative
26,16.5,-2.242378,2.242378,0.0,True,ok,,16.5,-2.242378,2.242378,0.0,True,ok,,0.773438,-1.344436,1.344436,0.0,True,ok,,-1.344436,16.5,1,0,127,128,ketchup,5,9,26,negative,action_positive_physical_positive_task_negative
8,13.9375,1.137059,-1.137059,0.0,True,ok,,13.9375,1.137059,-1.137059,0.0,True,ok,,12.75,0.431092,-0.431092,0.0,True,ok,,1.137059,13.9375,1,0,127,128,milk,1,8,25,positive,claim_usable
16,13.5625,-2.905594,2.905594,0.0,True,ok,,13.5625,-2.905594,2.905594,0.0,True,ok,,9.6875,-3.003937,3.003937,0.0,True,ok,,-2.905594,13.5625,1,0,127,128,milk,1,8,25,positive,claim_usable
25,16.375,0.760803,-0.760803,0.0,True,ok,,16.375,0.760803,-0.760803,0.0,True,ok,,16.875,1.017246,-1.017246,0.0,True,ok,,1.017246,16.875,1,0,127,128,milk,1,8,25,positive,claim_usable
19,15.0,3.075222,-3.075222,0.0,False,ok,,15.0,3.075222,-3.075222,0.0,False,ok,,0.597656,0.688481,-0.688481,0.0,False,ok,,3.075222,15.0,0,0,127,128,milk,4,19,36,positive,claim_usable
27,18.625,1.178032,-1.178032,0.0,True,ok,,18.625,1.178032,-1.178032,0.0,True,ok,,0.632812,0.17218,-0.17218,0.0,True,ok,,1.178032,18.625,1,0,127,128,milk,4,19,36,positive,claim_usable
36,14.375,-0.228581,0.228581,0.0,True,ok,,14.375,-0.228581,0.228581,0.0,True,ok,,13.0625,-1.196888,1.196888,0.0,True,ok,,-0.228581,14.375,1,0,127,128,milk,4,19,36,positive,claim_usable
25,14.9375,2.533134,-2.533134,0.0,True,ok,,14.9375,2.533134,-2.533134,0.0,True,ok,,13.5,2.312042,-2.312042,0.0,False,ok,,2.533134,14.9375,1,0,127,128,milk,5,25,42,negative,action_positive_physical_positive_task_negative
33,15.3125,0.898411,-0.898411,0.0,True,ok,,15.3125,0.898411,-0.898411,0.0,True,ok,,19.875,-0.466949,0.466949,0.0,True,ok,,0.898411,19.875,1,0,127,128,milk,5,25,42,negative,action_positive_physical_positive_task_negative
42,16.375,1.832177,-1.832177,0.0,True,ok,,16.375,1.859162,-1.859162,0.0,True,ok,,0.730469,0.261311,-0.261311,0.0,True,ok,,1.859162,16.375,1,0,127,128,milk,5,25,42,negative,action_positive_physical_positive_task_negative
5,14.6875,0.592091,-0.592091,0.0,False,ok,,14.6875,0.407494,-0.407494,0.0,False,ok,,0.417969,0.627411,-0.627411,0.0,False,ok,,0.627411,14.6875,0,0,127,128,milk,9,5,22,ignore,polluted
13,12.75,-0.933075,0.933075,0.0,True,ok,,12.75,-0.933075,0.933075,0.0,True,ok,,12.625,-0.253979,0.253979,0.0,True,ok,,-0.253979,12.75,1,0,127,128,milk,9,5,22,ignore,polluted
22,12.75,-0.14056,0.14056,0.0,True,ok,,12.75,-0.14056,0.14056,0.0,True,ok,,14.6875,1.019211,-1.019211,0.0,True,ok,,1.019211,14.6875,1,0,127,128,milk,9,5,22,ignore,polluted
31,11.0625,-2.06546,2.06546,0.0,True,ok,,11.0625,-2.06546,2.06546,0.0,True,ok,,16.75,-1.010566,1.010566,0.0,True,ok,,-1.010566,16.75,1,0,127,128,salad_dressing,0,31,48,ignore,polluted
39,14.375,-2.653362,2.653362,0.0,True,ok,,14.375,-2.653362,2.653362,0.0,True,ok,,0.523438,-0.539608,0.539608,0.0,True,ok,,-0.539608,14.375,1,0,127,128,salad_dressing,0,31,48,ignore,polluted
48,21.875,-1.56892,1.56892,0.0,False,ok,,21.875,-1.56892,1.56892,0.0,False,ok,,15.125,-2.524215,2.524215,0.0,True,ok,,-1.56892,21.875,1,0,127,128,salad_dressing,0,31,48,ignore,polluted
7,13.1875,-0.162114,0.162114,0.0,False,ok,,13.1875,-0.162114,0.162114,0.0,False,ok,,16.75,0.223968,-0.223968,0.0,True,ok,,0.223968,16.75,1,0,127,128,salad_dressing,0,7,24,negative,action_positive_physical_positive_task_negative
15,13.75,0.193051,-0.193051,0.0,True,ok,,13.75,0.193051,-0.193051,0.0,True,ok,,15.125,-0.525077,0.525077,0.0,True,ok,,0.193051,15.125,1,0,127,128,salad_dressing,0,7,24,negative,action_positive_physical_positive_task_negative
24,17.625,-0.95364,0.95364,0.0,True,ok,,17.625,-0.95364,0.95364,0.0,True,ok,,0.425781,-0.035995,0.035995,0.0,False,ok,,-0.035995,17.625,1,0,127,128,salad_dressing,0,7,24,negative,action_positive_physical_positive_task_negative
40,12.5,0.081249,-0.081249,0.0,True,ok,,12.5,0.081249,-0.081249,0.0,True,ok,,15.625,-0.180157,0.180157,0.0,True,ok,,0.081249,15.625,1,0,127,128,alphabet_soup,6,40,57,negative,no_action_bridge
48,12.25,1.794193,-1.794193,0.0,True,ok,,12.25,1.794193,-1.794193,0.0,True,ok,,15.6875,-0.096234,0.096234,0.0,False,ok,,1.794193,15.6875,1,0,127,128,alphabet_soup,6,40,57,negative,no_action_bridge
57,13.1875,0.832745,-0.832745,0.0,True,ok,,13.1875,0.832745,-0.832745,0.0,True,ok,,12.75,1.320992,-1.320992,0.0,True,ok,,1.320992,13.1875,1,0,127,128,alphabet_soup,6,40,57,negative,no_action_bridge
