task_key,state_id,window_start,window_end,label_status,mechanism_type,taxonomy,max_open_score_gain,mean_open_score_gain,max_grad_norm,any_token_flip,any_probe_error,n_probe_steps
alphabet_soup,3,21,38,ignore,mechanism_unclear,polluted,1.881172,0.743351,28.0,1,0,3
alphabet_soup,4,4,21,positive,physical_bridge_positive,claim_usable,1.95977,1.575429,24.375,0,0,3
alphabet_soup,8,29,46,ignore,,polluted,2.502712,2.458947,26.375,1,0,3
bbq_sauce,0,30,47,ignore,,polluted,2.992885,1.425735,19.375,1,0,3
bbq_sauce,5,27,44,negative,negative_unclassified,action_positive_physical_positive_task_negative,0.768597,0.2651,28.875,1,0,3
bbq_sauce,9,22,39,positive,physical_bridge_positive,claim_usable,1.608334,1.066696,22.625,1,0,3
butter,3,29,46,ignore,,polluted,2.794468,1.067427,33.25,1,0,3
butter,5,25,42,positive,physical_bridge_positive,claim_usable,5.270157,3.378563,21.25,1,0,3
cream_cheese,4,28,45,positive,physical_bridge_positive,claim_usable,0.888397,-0.174884,20.0,1,0,3
ketchup,1,21,38,positive,physical_bridge_positive,claim_usable,1.474949,1.1853,18.125,1,0,3
ketchup,2,39,56,ignore,,polluted,1.324246,0.543724,23.25,1,0,3
ketchup,5,9,26,negative,negative_unclassified,action_positive_physical_positive_task_negative,3.341022,0.559373,18.0,1,0,3
milk,1,8,25,positive,physical_bridge_positive,claim_usable,1.137059,-0.25043,16.875,1,0,3
milk,4,19,36,positive,physical_bridge_positive,claim_usable,3.075222,1.341558,18.625,1,0,3
milk,5,25,42,negative,negative_unclassified,action_positive_physical_positive_task_negative,2.533134,1.763569,19.875,1,0,3
milk,9,5,22,ignore,mechanism_unclear,polluted,1.019211,0.464214,14.6875,1,0,3
salad_dressing,0,31,48,ignore,,polluted,-0.539608,-1.039698,21.875,1,0,3
salad_dressing,0,7,24,negative,negative_unclassified,action_positive_physical_positive_task_negative,0.223968,0.127008,17.625,1,0,3
alphabet_soup,6,40,57,negative,negative_unclassified,no_action_bridge,1.794193,1.065478,15.6875,1,0,3
bbq_sauce,0,15,32,ignore,,polluted,1.588726,0.388186,20.75,1,0,3
bbq_sauce,0,5,22,negative,negative_unclassified,no_action_bridge,1.098492,0.261286,15.875,0,0,3
ketchup,4,28,45,negative,negative_unclassified,no_action_bridge,2.219254,1.548323,89.5,1,0,3
milk,1,18,35,negative,negative_unclassified,no_action_bridge,2.275593,1.693575,21.75,1,0,3
milk,8,8,25,negative,negative_unclassified,no_action_bridge,2.639259,1.265148,27.375,1,0,3
orange_juice,2,17,34,negative,negative_unclassified,no_action_bridge,3.181446,1.49225,32.0,1,0,3
salad_dressing,5,28,45,negative,negative_unclassified,no_action_bridge,1.380882,0.812243,21.125,1,0,3
tomato_sauce,1,23,40,negative,negative_unclassified,no_action_bridge,1.914455,1.330423,17.0,0,0,3
tomato_sauce,3,17,34,negative,negative_unclassified,no_action_bridge,1.198322,0.692169,25.125,1,0,3
ketchup,0,16,33,positive,physical_bridge_positive,,1.942307,1.167548,27.875000,1,0,3
butter,0,29,46,positive,physical_bridge_positive,,1.338128,0.563896,32.500000,1,0,3
alphabet_soup,0,3,20,ignore,,,0.672268,-0.023039,27.250000,1,0,3
