candidate_id,task_key,state_id,window_start,window_end,disagreement_type,label_status,taxonomy,provenance,source_batch,probe_pgd_steps,probe_eps_raw,probe_objective,probe_env_step,probe_n_frames,clean_open_count,clean_open_rate,targeted_open_count,targeted_open_rate,random_open_count,random_open_rate,tmc_count,tmr_count,probe_longest_open_streak,clean_longest_open_streak,vis_pgd_steps,vis_restarts,vis_eps_raw,vis_objective,vis_env_step,vis_open_count,vis_total_frames,qpos_delta,qpos_label,phys_resp,probe_open_convention,vis_open_convention,window_alignment,diagnosis
ketchup_s0_w16_33,ketchup,0,16,33,CEILING_POSITIVE,positive,action_positive_physical_strong_task_positive,complete,batch1,3,6,prefix_locked_gripper_open_margin,False,10,10,1.0,8,0.8,9,0.9,-2,0,5,10,20,1,6,prefix_locked_gripper_open_margin,True,18,18,0.038042,strong,1.0,decoded_gripper_+1_OPEN_after_normalize_invert,decoded_gripper_+1_OPEN_after_normalize_invert,"same [ws,we]",probe_surrogate_mismatch: PGD3 probe vs PGD20 VIS (7x budget gap); probe_surrogate_mismatch: no-env decode vs env.step rollout; ceiling_artifact: clean model already OPEN in 10/10 frames
alphabet_soup_s4_w4_21,alphabet_soup,4,4,21,POSITIVE_LABEL_LOW_PROBE,positive,claim_usable,unknown,batch3,3,6,prefix_locked_gripper_open_margin,False,10,6,0.6,5,0.5,5,0.5,-1,0,3,5,40,3,6,prefix_locked_gripper_open_margin,True,18,18,0.032241,strong,1.0,decoded_gripper_+1_OPEN_after_normalize_invert,decoded_gripper_+1_OPEN_after_normalize_invert,"same [ws,we]",probe_surrogate_mismatch: PGD3 probe vs PGD120 VIS (40x budget gap); probe_surrogate_mismatch: no-env decode vs env.step rollout; probe_surrogate_mismatch: PGD3 too weak; VIS PGD120 succeeded with 18/18 open; probe_surrogate_mismatch: PGD budget gap 40x — PGD3 severely underpowered vs PGD120
butter_s3_w29_46,butter,3,29,46,HIGH_PROBE_NEGATIVE_LABEL,ignore,polluted,unknown,batch3,3,6,prefix_locked_gripper_open_margin,False,10,3,0.3,9,0.9,4,0.4,6,0,9,1,40,3,6,prefix_locked_gripper_open_margin,True,0,18,0.0,none,0.0,decoded_gripper_+1_OPEN_after_normalize_invert,decoded_gripper_+1_OPEN_after_normalize_invert,"same [ws,we]","probe_surrogate_mismatch: PGD3 probe vs PGD120 VIS (40x budget gap); probe_surrogate_mismatch: no-env decode vs env.step rollout; label_noise_suspected: VIS trace labeled polluted, probe suggests real susceptibility"
cream_cheese_s4_w28_45,cream_cheese,4,28,45,POSITIVE_LABEL_LOW_PROBE,positive,claim_usable,unknown,batch3,3,6,prefix_locked_gripper_open_margin,False,10,3,0.3,3,0.3,3,0.3,0,0,2,3,40,3,6,prefix_locked_gripper_open_margin,True,18,18,0.038149,strong,1.0,decoded_gripper_+1_OPEN_after_normalize_invert,decoded_gripper_+1_OPEN_after_normalize_invert,"same [ws,we]",probe_surrogate_mismatch: PGD3 probe vs PGD120 VIS (40x budget gap); probe_surrogate_mismatch: no-env decode vs env.step rollout; probe_surrogate_mismatch: PGD3 too weak; VIS PGD120 succeeded with 18/18 open; probe_surrogate_mismatch: PGD budget gap 40x — PGD3 severely underpowered vs PGD120
ketchup_s1_w21_38,ketchup,1,21,38,POSITIVE_LABEL_LOW_PROBE,positive,claim_usable,unknown,batch3,3,6,prefix_locked_gripper_open_margin,False,10,5,0.5,4,0.4,6,0.6,-1,0,2,3,40,3,6,prefix_locked_gripper_open_margin,True,18,18,0.037871,strong,1.0,decoded_gripper_+1_OPEN_after_normalize_invert,decoded_gripper_+1_OPEN_after_normalize_invert,"same [ws,we]",probe_surrogate_mismatch: PGD3 probe vs PGD120 VIS (40x budget gap); probe_surrogate_mismatch: no-env decode vs env.step rollout; probe_surrogate_mismatch: PGD3 too weak; VIS PGD120 succeeded with 18/18 open; probe_surrogate_mismatch: PGD budget gap 40x — PGD3 severely underpowered vs PGD120
ketchup_s5_w9_26,ketchup,5,9,26,CEILING_POSITIVE,negative,action_positive_physical_positive_task_negative,unknown,batch3,3,6,prefix_locked_gripper_open_margin,False,10,9,0.9,6,0.6,9,0.9,-3,0,3,6,40,3,6,prefix_locked_gripper_open_margin,True,18,18,0.037403,strong,1.0,decoded_gripper_+1_OPEN_after_normalize_invert,decoded_gripper_+1_OPEN_after_normalize_invert,"same [ws,we]",probe_surrogate_mismatch: PGD3 probe vs PGD120 VIS (40x budget gap); probe_surrogate_mismatch: no-env decode vs env.step rollout; ceiling_artifact: clean model already OPEN in 9/10 frames
milk_s4_w19_36,milk,4,19,36,POSITIVE_LABEL_LOW_PROBE,positive,claim_usable,unknown,batch3,3,6,prefix_locked_gripper_open_margin,False,10,4,0.4,2,0.2,4,0.4,-2,0,1,4,40,3,6,prefix_locked_gripper_open_margin,True,18,18,0.03789,strong,1.0,decoded_gripper_+1_OPEN_after_normalize_invert,decoded_gripper_+1_OPEN_after_normalize_invert,"same [ws,we]",probe_surrogate_mismatch: PGD3 probe vs PGD120 VIS (40x budget gap); probe_surrogate_mismatch: no-env decode vs env.step rollout; probe_surrogate_mismatch: PGD3 too weak; VIS PGD120 succeeded with 18/18 open; probe_surrogate_mismatch: PGD budget gap 40x — PGD3 severely underpowered vs PGD120
milk_s5_w25_42,milk,5,25,42,POSITIVE_LABEL_LOW_PROBE,negative,action_positive_physical_positive_task_negative,unknown,batch3,3,6,prefix_locked_gripper_open_margin,False,10,2,0.2,2,0.2,1,0.1,0,0,1,1,40,3,6,prefix_locked_gripper_open_margin,True,18,18,0.03799,strong,1.0,decoded_gripper_+1_OPEN_after_normalize_invert,decoded_gripper_+1_OPEN_after_normalize_invert,"same [ws,we]",probe_surrogate_mismatch: PGD3 probe vs PGD120 VIS (40x budget gap); probe_surrogate_mismatch: no-env decode vs env.step rollout; probe_surrogate_mismatch: PGD3 too weak; VIS PGD120 succeeded with 18/18 open; probe_surrogate_mismatch: PGD budget gap 40x — PGD3 severely underpowered vs PGD120
salad_dressing_s0_w31_48,salad_dressing,0,31,48,HIGH_PROBE_NEGATIVE_LABEL,ignore,polluted,unknown,batch3,3,6,prefix_locked_gripper_open_margin,False,10,3,0.3,7,0.7,3,0.3,4,0,5,1,40,3,6,prefix_locked_gripper_open_margin,True,0,18,0.0,none,0.0,decoded_gripper_+1_OPEN_after_normalize_invert,decoded_gripper_+1_OPEN_after_normalize_invert,"same [ws,we]","probe_surrogate_mismatch: PGD3 probe vs PGD120 VIS (40x budget gap); probe_surrogate_mismatch: no-env decode vs env.step rollout; label_noise_suspected: VIS trace labeled polluted, probe suggests real susceptibility"
alphabet_soup_s6_w40_57,alphabet_soup,6,40,57,HIGH_PROBE_NEGATIVE_LABEL,negative,no_action_bridge,unknown,batch3b,3,6,prefix_locked_gripper_open_margin,False,10,1,0.1,7,0.7,3,0.3,6,0,4,1,40,3,6,prefix_locked_gripper_open_margin,True,0,18,0.0,none,0.0,decoded_gripper_+1_OPEN_after_normalize_invert,decoded_gripper_+1_OPEN_after_normalize_invert,"same [ws,we]","probe_surrogate_mismatch: PGD3 probe vs PGD120 VIS (40x budget gap); probe_surrogate_mismatch: no-env decode vs env.step rollout; label_noise_suspected: VIS label says no action bridge, but probe induces OPEN"
