task_key,state_id,window_start,window_end,n_probe_steps,probe_open_score_gain_max,probe_open_score_gain_mean,probe_open_token_count_total,probe_open_token_rate,probe_open_dominant_streak,probe_open_dominant_count,probe_token_flip_rate,probe_error_rate,vis_open_count,qpos_opening_delta,qpos_label,physical_response_score,command_susceptible_k1,command_susceptible_k3,command_susceptible_k6,command_susceptible_k10,physical_bridge,physical_any,label_status,taxonomy,mechanism_type
alphabet_soup,3,21,38,3,1.881172,0.743351,381,0.498039,0,0,0.666667,0.0,0,0.0,none,0.0,0,0,0,0,0,0,ignore,polluted,
alphabet_soup,4,4,21,3,1.95977,1.575429,381,0.498039,0,0,0.666667,0.0,18,0.032241,strong,1.0,1,1,1,1,1,1,positive,claim_usable,
alphabet_soup,6,40,57,3,1.794193,1.065478,381,0.498039,0,0,1.0,0.0,0,0.0,none,0.0,0,0,0,0,0,0,negative,no_action_bridge,
alphabet_soup,8,29,46,3,2.502712,2.458947,381,0.498039,0,0,1.0,0.0,0,0.0,none,0.0,0,0,0,0,0,0,ignore,polluted,
bbq_sauce,0,5,22,3,1.098492,0.261286,381,0.498039,0,0,0.666667,0.0,1,0.0,none,0.0,1,0,0,0,0,0,negative,no_action_bridge,
bbq_sauce,0,15,32,3,1.588726,0.388186,381,0.498039,0,0,0.666667,0.0,0,0.0,none,0.0,0,0,0,0,0,0,ignore,polluted,
bbq_sauce,0,30,47,3,2.992885,1.425735,381,0.498039,0,0,0.666667,0.0,0,0.0,none,0.0,0,0,0,0,0,0,ignore,polluted,
bbq_sauce,5,27,44,3,0.768597,0.2651,381,0.498039,0,0,1.0,0.0,18,0.038119,strong,1.0,1,1,1,1,1,1,negative,action_positive_physical_positive_task_negative,
bbq_sauce,9,22,39,3,1.608334,1.066696,381,0.498039,0,0,1.0,0.0,18,0.038021,strong,1.0,1,1,1,1,1,1,positive,claim_usable,
butter,3,29,46,3,2.794468,1.067427,381,0.498039,0,0,0.666667,0.0,0,0.0,none,0.0,0,0,0,0,0,0,ignore,polluted,
butter,5,25,42,3,5.270157,3.378563,381,0.498039,0,0,1.0,0.0,18,0.037568,strong,1.0,1,1,1,1,1,1,positive,claim_usable,
cream_cheese,4,28,45,3,0.888397,-0.174884,381,0.498039,0,0,1.0,0.0,18,0.038149,strong,1.0,1,1,1,1,1,1,positive,claim_usable,
ketchup,1,21,38,3,1.474949,1.1853,381,0.498039,0,0,1.0,0.0,18,0.037871,strong,1.0,1,1,1,1,1,1,positive,claim_usable,
ketchup,2,39,56,3,1.324246,0.543724,381,0.498039,0,0,1.0,0.0,0,0.0,none,0.0,0,0,0,0,0,0,ignore,polluted,
ketchup,4,28,45,3,2.219254,1.548323,381,0.498039,0,0,1.0,0.0,0,0.0,none,0.0,0,0,0,0,0,0,negative,no_action_bridge,
ketchup,5,9,26,3,3.341022,0.559373,381,0.498039,0,0,0.666667,0.0,18,0.037403,strong,1.0,1,1,1,1,1,1,negative,action_positive_physical_positive_task_negative,
milk,1,8,25,3,1.137059,-0.25043,381,0.498039,0,0,1.0,0.0,18,0.036838,strong,1.0,1,1,1,1,1,1,positive,claim_usable,
milk,1,18,35,3,2.275593,1.693575,381,0.498039,0,0,1.0,0.0,0,0.0,none,0.0,0,0,0,0,0,0,negative,no_action_bridge,
milk,4,19,36,3,3.075222,1.341558,381,0.498039,0,0,0.666667,0.0,18,0.03789,strong,1.0,1,1,1,1,1,1,positive,claim_usable,
milk,5,25,42,3,2.533134,1.763569,381,0.498039,0,0,1.0,0.0,18,0.03799,strong,1.0,1,1,1,1,1,1,negative,action_positive_physical_positive_task_negative,
milk,8,8,25,3,2.639259,1.265148,381,0.498039,0,0,1.0,0.0,0,0.0,none,0.0,0,0,0,0,0,0,negative,no_action_bridge,
milk,9,5,22,3,1.019211,0.464214,381,0.498039,0,0,0.666667,0.0,0,0.0,none,0.0,0,0,0,0,0,0,ignore,polluted,
orange_juice,2,17,34,3,3.181446,1.49225,381,0.498039,0,0,1.0,0.0,0,0.0,none,0.0,0,0,0,0,0,0,negative,no_action_bridge,
salad_dressing,0,7,24,3,0.223968,0.127008,381,0.498039,0,0,1.0,0.0,18,0.036668,strong,1.0,1,1,1,1,1,1,negative,action_positive_physical_positive_task_negative,
salad_dressing,0,31,48,3,-0.539608,-1.039698,381,0.498039,0,0,1.0,0.0,0,0.0,none,0.0,0,0,0,0,0,0,ignore,polluted,
salad_dressing,5,28,45,3,1.380882,0.812243,381,0.498039,0,0,1.0,0.0,0,0.0,none,0.0,0,0,0,0,0,0,negative,no_action_bridge,
tomato_sauce,1,23,40,3,1.914455,1.330423,381,0.498039,0,0,0.666667,0.0,1,4e-06,none,0.0,1,0,0,0,0,0,negative,no_action_bridge,
tomato_sauce,3,17,34,3,1.198322,0.692169,381,0.498039,0,0,1.0,0.0,0,0.0,none,0.0,0,0,0,0,0,0,negative,no_action_bridge,
