auroc,auprc,p_at_3,p_at_5,p_at_top20pct,top20_hit_rate,n_pos,n_total,score,label,subset
0.4263,0.4611,0.3333,0.4,0.4,0.1667,12,25,targeted_minus_clean_open_count,command_susceptible_positive,no_ceiling
0.4545,0.45,0.3333,0.4,0.4,0.1818,11,25,targeted_minus_clean_open_count,physical_bridge_positive,no_ceiling
0.4563,0.4055,0.3333,0.4,0.4,0.2857,7,25,targeted_minus_clean_open_count,negative_clean,no_ceiling
0.3814,0.4643,0.3333,0.4,0.4,0.1667,12,25,targeted_minus_clean_streak,command_susceptible_positive,no_ceiling
0.3994,0.4362,0.3333,0.4,0.4,0.1818,11,25,targeted_minus_clean_streak,physical_bridge_positive,no_ceiling
0.4683,0.2846,0.3333,0.2,0.2,0.1429,7,25,targeted_minus_clean_streak,negative_clean,no_ceiling
0.3974,0.4381,0.3333,0.2,0.2,0.0833,12,25,targeted_open_rate,command_susceptible_positive,no_ceiling
0.4091,0.4128,0.3333,0.2,0.2,0.0909,11,25,targeted_open_rate,physical_bridge_positive,no_ceiling
0.3214,0.2376,0.0,0.2,0.2,0.1429,7,25,targeted_open_rate,negative_clean,no_ceiling
0.4295,0.4403,0.3333,0.2,0.2,0.0833,12,25,targeted_longest_open_streak,command_susceptible_positive,no_ceiling
0.4318,0.4048,0.3333,0.2,0.2,0.0909,11,25,targeted_longest_open_streak,physical_bridge_positive,no_ceiling
0.3294,0.2439,0.0,0.0,0.0,0.0,7,25,targeted_longest_open_streak,negative_clean,no_ceiling
0.3974,0.4521,0.6667,0.4,0.4,0.1667,12,25,targeted_minus_random_open_count,command_susceptible_positive,no_ceiling
0.4351,0.4399,0.6667,0.4,0.4,0.1818,11,25,targeted_minus_random_open_count,physical_bridge_positive,no_ceiling
0.4246,0.4045,0.3333,0.4,0.4,0.2857,7,25,targeted_minus_random_open_count,negative_clean,no_ceiling
0.4231,0.4931,0.6667,0.6,0.6,0.25,12,25,targeted_minus_random_streak,command_susceptible_positive,no_ceiling
0.4383,0.4746,0.6667,0.6,0.6,0.2727,11,25,targeted_minus_random_streak,physical_bridge_positive,no_ceiling
0.4286,0.2567,0.0,0.0,0.0,0.0,7,25,targeted_minus_random_streak,negative_clean,no_ceiling
0.625,0.45,0.3333,0.4,0.0,0.0,2,6,targeted_minus_clean_open_count,command_susceptible_positive,ceiling_only
0.625,0.45,0.3333,0.4,0.0,0.0,2,6,targeted_minus_clean_open_count,physical_bridge_positive,ceiling_only
0.375,0.4167,0.3333,0.4,0.0,0.0,2,6,targeted_minus_clean_open_count,negative_clean,ceiling_only
0.375,0.3667,0.3333,0.4,0.0,0.0,2,6,targeted_minus_clean_streak,command_susceptible_positive,ceiling_only
0.375,0.3667,0.3333,0.4,0.0,0.0,2,6,targeted_minus_clean_streak,physical_bridge_positive,ceiling_only
0.75,0.75,0.3333,0.4,1.0,0.5,2,6,targeted_minus_clean_streak,negative_clean,ceiling_only
0.6875,0.5833,0.6667,0.4,0.0,0.0,2,6,targeted_open_rate,command_susceptible_positive,ceiling_only
0.6875,0.5833,0.6667,0.4,0.0,0.0,2,6,targeted_open_rate,physical_bridge_positive,ceiling_only
0.0,0.2667,0.0,0.2,0.0,0.0,2,6,targeted_open_rate,negative_clean,ceiling_only
0.5,0.45,0.3333,0.4,0.0,0.0,2,6,targeted_longest_open_streak,command_susceptible_positive,ceiling_only
0.5,0.45,0.3333,0.4,0.0,0.0,2,6,targeted_longest_open_streak,physical_bridge_positive,ceiling_only
0.375,0.4167,0.3333,0.4,0.0,0.0,2,6,targeted_longest_open_streak,negative_clean,ceiling_only
0.5625,0.5,0.3333,0.4,0.0,0.0,2,6,targeted_minus_random_open_count,command_susceptible_positive,ceiling_only
0.5625,0.5,0.3333,0.4,0.0,0.0,2,6,targeted_minus_random_open_count,physical_bridge_positive,ceiling_only
0.25,0.3333,0.3333,0.2,0.0,0.0,2,6,targeted_minus_random_open_count,negative_clean,ceiling_only
0.5,0.4167,0.3333,0.4,0.0,0.0,2,6,targeted_minus_random_streak,command_susceptible_positive,ceiling_only
0.5,0.4167,0.3333,0.4,0.0,0.0,2,6,targeted_minus_random_streak,physical_bridge_positive,ceiling_only
0.4375,0.45,0.3333,0.4,0.0,0.0,2,6,targeted_minus_random_streak,negative_clean,ceiling_only
