step,clean_grip,targeted_grip,targeted_ok,targeted_err,random_grip,task_key,state_id,window_start,window_end,label_status,taxonomy
15,1.0,1.0,1,,1.0,bbq_sauce,0,15,32,ignore,polluted
16,1.0,1.0,1,,1.0,bbq_sauce,0,15,32,ignore,polluted
18,1.0,1.0,1,,1.0,bbq_sauce,0,15,32,ignore,polluted
20,-1.0,-1.0,1,,-1.0,bbq_sauce,0,15,32,ignore,polluted
22,-1.0,-1.0,1,,-1.0,bbq_sauce,0,15,32,ignore,polluted
24,1.0,1.0,1,,-1.0,bbq_sauce,0,15,32,ignore,polluted
26,1.0,-1.0,1,,1.0,bbq_sauce,0,15,32,ignore,polluted
28,1.0,1.0,1,,-1.0,bbq_sauce,0,15,32,ignore,polluted
30,-1.0,1.0,1,,-1.0,bbq_sauce,0,15,32,ignore,polluted
32,-1.0,-1.0,1,,-1.0,bbq_sauce,0,15,32,ignore,polluted
5,1.0,1.0,1,,1.0,bbq_sauce,0,5,22,negative,no_action_bridge
6,1.0,-1.0,1,,1.0,bbq_sauce,0,5,22,negative,no_action_bridge
8,1.0,-1.0,1,,1.0,bbq_sauce,0,5,22,negative,no_action_bridge
10,1.0,-1.0,1,,1.0,bbq_sauce,0,5,22,negative,no_action_bridge
12,1.0,1.0,1,,1.0,bbq_sauce,0,5,22,negative,no_action_bridge
14,1.0,1.0,1,,1.0,bbq_sauce,0,5,22,negative,no_action_bridge
16,1.0,1.0,1,,1.0,bbq_sauce,0,5,22,negative,no_action_bridge
18,1.0,1.0,1,,1.0,bbq_sauce,0,5,22,negative,no_action_bridge
20,-1.0,-1.0,1,,1.0,bbq_sauce,0,5,22,negative,no_action_bridge
22,-1.0,-1.0,1,,-1.0,bbq_sauce,0,5,22,negative,no_action_bridge
28,1.0,1.0,1,,1.0,ketchup,4,28,45,negative,no_action_bridge
29,1.0,1.0,1,,1.0,ketchup,4,28,45,negative,no_action_bridge
31,1.0,1.0,1,,1.0,ketchup,4,28,45,negative,no_action_bridge
33,1.0,-1.0,1,,1.0,ketchup,4,28,45,negative,no_action_bridge
35,-1.0,-1.0,1,,-1.0,ketchup,4,28,45,negative,no_action_bridge
37,-1.0,1.0,1,,-1.0,ketchup,4,28,45,negative,no_action_bridge
39,1.0,-1.0,1,,1.0,ketchup,4,28,45,negative,no_action_bridge
41,1.0,-1.0,1,,1.0,ketchup,4,28,45,negative,no_action_bridge
43,1.0,-1.0,1,,1.0,ketchup,4,28,45,negative,no_action_bridge
45,1.0,1.0,1,,-1.0,ketchup,4,28,45,negative,no_action_bridge
18,-1.0,-1.0,1,,-1.0,milk,1,18,35,negative,no_action_bridge
19,-1.0,-1.0,1,,-1.0,milk,1,18,35,negative,no_action_bridge
21,1.0,-1.0,1,,1.0,milk,1,18,35,negative,no_action_bridge
23,-1.0,-1.0,1,,-1.0,milk,1,18,35,negative,no_action_bridge
25,-1.0,-1.0,1,,-1.0,milk,1,18,35,negative,no_action_bridge
27,1.0,1.0,1,,-1.0,milk,1,18,35,negative,no_action_bridge
29,-1.0,1.0,1,,-1.0,milk,1,18,35,negative,no_action_bridge
31,1.0,-1.0,1,,1.0,milk,1,18,35,negative,no_action_bridge
33,1.0,1.0,1,,1.0,milk,1,18,35,negative,no_action_bridge
35,-1.0,1.0,1,,-1.0,milk,1,18,35,negative,no_action_bridge
8,-1.0,-1.0,1,,-1.0,milk,8,8,25,negative,no_action_bridge
9,-1.0,-1.0,1,,-1.0,milk,8,8,25,negative,no_action_bridge
