candidate_id,task_key,state_id,window_start,window_end,expected_role,mechanism_status,vis_open_count,done,steps,qpos_delta,denominator_status,label_confidence,provenance_status,eligible_silver,dubious,reason
adp_0004,milk,5,67,84,control,qpos_bridge_present_task_failure,0,False,299,0.027929,pending_audit,provisional_silver_positive_1r_pending_audit,ok,yes,no,qpos_bridge_present_task_failure
adp_0005,milk,5,77,94,control,qpos_bridge_present_task_failure,0,False,299,0.036089,pending_audit,provisional_silver_positive_1r_pending_audit,ok,yes,no,qpos_bridge_present_task_failure
adp_0006,milk,8,8,25,hard_negative,pending_audit_task_failure,0,False,299,0.002986,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,no,pending_audit_task_failure
adp_0008,milk,1,18,35,hard_negative,pending_audit_task_failure,0,False,299,0.000455,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,no,pending_audit_task_failure
adp_0009,milk,1,23,40,hard_negative,pending_audit,0,True,195,0.000447,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,yes,pending_audit
adp_0011,milk,9,5,22,hard_negative,pending_audit,0,True,118,0.005238,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,yes,pending_audit
adp_0012,milk,9,15,32,hard_negative,pending_audit,0,True,167,0.000519,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,yes,pending_audit
adp_0014,milk,9,25,42,hard_negative,pending_audit,0,True,113,0.000457,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,yes,pending_audit
adp_0015,ketchup,0,16,33,hard_negative,pending_audit,0,True,145,0.000403,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,yes,pending_audit
adp_0016,ketchup,1,8,25,hard_negative,pending_audit,0,True,174,0.003099,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,yes,pending_audit
adp_0020,ketchup,2,4,21,hard_negative,pending_audit,0,True,144,0.008969,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,yes,pending_audit
adp_0021,ketchup,2,14,31,hard_negative,pending_audit,0,True,139,0.000536,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,yes,pending_audit
adp_0035,ketchup,4,23,40,hard_negative,pending_audit,0,True,148,0.000398,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,yes,pending_audit
adp_0036,ketchup,4,28,45,likely_positive,pending_audit,0,True,186,0.000388,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,yes,pending_audit
adp_0038,alphabet_soup,2,11,28,hard_negative,pending_audit_task_failure,0,False,299,0.000636,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,no,pending_audit_task_failure
adp_0039,alphabet_soup,3,21,38,hard_negative,pending_audit_task_failure,0,False,299,0.000373,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,no,pending_audit_task_failure
adp_0040,alphabet_soup,4,3,20,hard_negative,qpos_bridge_present,0,True,273,0.013017,pending_audit,provisional_silver_positive_1r_pending_audit,ok,yes,no,qpos_bridge_present
adp_0041,alphabet_soup,4,4,21,hard_negative,pending_audit,0,True,142,0.009036,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,yes,pending_audit
adp_0042,alphabet_soup,4,13,30,hard_negative,pending_audit,0,True,139,0.000483,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,yes,pending_audit
adp_0043,alphabet_soup,4,18,35,hard_negative,pending_audit,0,True,153,0.000397,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,yes,pending_audit
adp_0044,alphabet_soup,6,19,36,hard_negative,pending_audit,0,True,153,0.000327,pending_audit,provisional_silver_positive_1r_pending_audit,ok,no,yes,pending_audit
