task,state_id,seed,window_source,selector_type,phase,window_start,window_end,n_vis,n_random,n_clean,n_valid,vis_OPEN_min,vis_OPEN_max,vis_OPEN_mean,vis_qpos_opening_delta_mean,vis_qpos_opening_delta_min,vis_qpos_abs_delta_mean,vis_done_all_false,prefix_armL2_max,random_OPEN_max,random_done_all_true,random_qpos_opening_delta_max,random_qpos_abs_delta_max,random_armL2_max,clean_OPEN_mean,duplicate_condition_count,vis_action_bridge,vis_physical_bridge,vis_task_failure,random_all_clean,clean_any_confounded,claim_usable,denominator_status,taxonomy_label,denominator_clean,natural_release_confounded,action_bridge_positive,physical_bridge_positive,task_failure_positive
bbq_sauce,5,0,fixed,fixed,grasp_formation,27,44,2,2,2,6,0,0,0.0,0.0,0.0,0.000306,False,0.899455,0,True,0.0,0.000299,0.459089,0.0,3,False,False,False,True,False,False,ambiguous_duplicate_runs,duplicate_runs_present+no_action_bridge,True,False,False,False,False
bbq_sauce,9,0,fixed,fixed,grasp_formation,22,39,1,1,1,3,0,0,0.0,0.0,0.0,0.000362,True,0.0,0,True,0.0,0.000361,0.208444,0.0,0,False,False,True,True,False,False,,no_action_bridge,True,False,False,False,True
butter,5,0,fixed,fixed,grasp_formation,25,42,1,1,1,3,0,0,0.0,0.0,0.0,0.000408,False,0.0,0,True,0.0,0.000691,0.256431,0.0,0,False,False,False,True,False,False,,no_action_bridge,True,False,False,False,False
ketchup,0,0,fixed,fixed,grasp_formation,16,33,1,1,1,3,0,0,0.0,0.0,0.0,0.000999,True,0.0,0,True,0.0,0.000382,0.147468,0.0,0,False,False,True,True,False,False,,no_action_bridge,True,False,False,False,True
ketchup,1,0,fixed,fixed,grasp_formation,21,38,1,1,1,3,0,0,0.0,0.0,0.0,0.000497,False,0.0,0,True,0.0,0.00049,0.526544,0.0,0,False,False,False,True,False,False,,no_action_bridge,True,False,False,False,False
ketchup,2,0,fixed,fixed,grasp_formation,15,32,1,1,1,3,0,0,0.0,0.0,0.0,0.000507,False,0.0,0,True,0.0,0.000514,0.246095,0.0,0,False,False,False,True,False,False,,no_action_bridge,True,False,False,False,False
ketchup,3,0,fixed,fixed,grasp_formation,25,42,1,1,1,3,0,0,0.0,0.0,0.0,0.000357,False,0.0,0,True,0.0,0.000267,0.261799,0.0,0,False,False,False,True,False,False,,no_action_bridge,True,False,False,False,False
milk,1,0,fixed,fixed,grasp_formation,8,25,1,1,1,3,0,0,0.0,0.0,0.0,0.000869,False,0.0,0,True,0.0,0.000874,0.147839,0.0,0,False,False,False,True,False,False,,no_action_bridge,True,False,False,False,False
salad_dressing,0,0,fixed,fixed,grasp_formation,7,24,1,1,1,3,0,0,0.0,0.0,0.0,0.001271,True,0.0,0,True,0.0,0.001271,0.294331,0.0,0,False,False,True,True,False,False,,no_action_bridge,True,False,False,False,True
tomato_sauce,1,0,fixed,fixed,grasp_formation,23,40,1,1,1,3,0,0,0.0,0.0,0.0,0.000354,False,0.0,0,True,0.0,0.000349,0.291546,0.0,0,False,False,False,True,False,False,,no_action_bridge,True,False,False,False,False
