task,state_id,seed,window_source,selector_type,phase,window_start,window_end,n_vis,n_random,n_clean,n_valid,vis_OPEN_min,vis_OPEN_max,vis_OPEN_mean,vis_qpos_opening_delta_mean,vis_qpos_opening_delta_min,vis_qpos_abs_delta_mean,vis_done_all_false,prefix_armL2_max,duplicate_condition_count,vis_action_bridge,vis_physical_bridge,vis_task_failure,random_all_clean,clean_any_confounded,claim_usable,taxonomy_label,denominator_clean,natural_release_confounded,action_bridge_positive,physical_bridge_positive,task_failure_positive,random_OPEN_max,random_done_all_true,random_qpos_opening_delta_max,random_qpos_abs_delta_max,random_armL2_max,clean_OPEN_mean,denominator_status
alphabet_soup,0,0,fixed,fixed,grasp_formation,3,20,1,0,0,1,18,18,18.0,0.027619,0.027619,0.027619,True,0.0,0,True,False,True,False,False,False,action_positive_physical_weak+denominator_polluted,False,False,True,False,True,,,,,,,
alphabet_soup,2,0,fixed,fixed,grasp_formation,11,28,1,0,0,1,18,18,18.0,0.037643,0.037643,0.037643,True,0.0,0,True,True,True,False,False,False,denominator_polluted,False,False,True,True,True,,,,,,,
alphabet_soup,4,0,fixed,unknown,,4,21,1,0,0,1,18,18,18.0,0.032126,0.032126,0.032126,True,0.0,0,True,True,True,False,False,False,denominator_polluted,False,False,True,True,True,,,,,,,
alphabet_soup,6,0,fixed,fixed,grasp_formation,40,57,1,0,0,1,0,0,0.0,0.0,0.0,0.000155,False,0.0,0,False,False,False,False,False,False,no_action_bridge+denominator_polluted,False,False,False,False,False,,,,,,,
bbq_sauce,0,0,fixed,fixed,grasp_formation,25,42,1,0,0,1,18,18,18.0,0.038055,0.038055,0.038055,False,0.0,0,True,True,False,False,False,False,action_positive_physical_positive_task_negative+denominator_polluted,False,False,True,True,False,,,,,,,
bbq_sauce,0,0,fixed,fixed,grasp_formation,5,22,1,0,0,1,1,1,1.0,0.0,0.0,0.0029,False,0.868976,0,False,False,False,False,False,False,no_action_bridge+denominator_polluted,False,False,False,False,False,,,,,,,
bbq_sauce,4,0,fixed,fixed,grasp_formation,14,31,1,0,0,1,18,18,18.0,0.037853,0.037853,0.037853,False,0.0,0,True,True,False,False,False,False,action_positive_physical_positive_task_negative+denominator_polluted,False,False,True,True,False,,,,,,,
bbq_sauce,5,0,fixed,fixed,grasp_formation,27,44,1,1,1,3,18,18,18.0,0.038119,0.038119,0.038119,False,0.0,0,True,True,False,True,False,False,action_positive_physical_positive_task_negative,True,False,True,True,False,0,True,0.0,0.000299,0.459089,0.0,
bbq_sauce,9,0,fixed,fixed,grasp_formation,22,39,0,1,1,2,,,,,,,,,0,False,False,False,True,False,False,no_action_bridge,True,False,False,False,False,0,True,0.0,0.000361,0.208444,0.0,
bbq_sauce,9,0,fixed,unknown,,22,39,1,0,0,1,18,18,18.0,0.038,0.038,0.038,True,0.0,0,True,True,True,False,False,False,denominator_polluted,False,False,True,True,True,,,,,,,
butter,0,0,fixed,fixed,grasp_formation,32,49,1,0,0,1,18,18,18.0,0.037934,0.037934,0.037934,False,0.0,0,True,True,False,False,False,False,action_positive_physical_positive_task_negative+denominator_polluted,False,False,True,True,False,,,,,,,
butter,0,0,fixed,unknown,,29,46,1,0,0,1,18,18,18.0,0.037905,0.037905,0.037905,True,0.0,0,True,True,True,False,False,False,denominator_polluted,False,False,True,True,True,,,,,,,
butter,2,0,fixed,fixed,grasp_formation,23,40,1,0,0,1,18,18,18.0,0.037462,0.037462,0.037462,True,0.0,0,True,True,True,False,False,False,denominator_polluted,False,False,True,True,True,,,,,,,
butter,5,0,fixed,fixed,grasp_formation,25,42,1,1,1,3,0,0,0.0,0.0,0.0,0.000542,False,0.0,0,False,False,False,True,False,False,no_action_bridge,True,False,False,False,False,0,True,0.0,0.000691,0.256431,0.0,
cream_cheese,4,0,fixed,fixed,grasp_formation,28,45,1,1,1,3,18,18,18.0,0.038149,0.038149,0.038149,True,0.0,0,True,True,True,True,False,True,claim_usable,True,False,True,True,True,0,True,0.0,0.000289,0.64059,0.0,
ketchup,0,0,fixed,fixed,grasp_formation,16,33,1,1,1,3,0,0,0.0,0.0,0.0,0.000384,False,0.0,0,False,False,False,True,False,False,no_action_bridge,True,False,False,False,False,0,True,0.0,0.000382,0.147468,0.0,
ketchup,1,0,fixed,fixed,grasp_formation,21,38,2,2,2,6,0,0,0.0,0.0,0.0,0.000488,False,0.0,3,False,False,False,True,False,False,duplicate_runs_present+no_action_bridge,True,False,False,False,False,0,True,0.0,0.000491,0.526544,0.0,ambiguous_duplicate_runs
ketchup,1,0,fixed,fixed,grasp_formation,28,45,1,0,0,1,18,18,18.0,0.037948,0.037948,0.037948,False,0.0,0,True,True,False,False,False,False,action_positive_physical_positive_task_negative+denominator_polluted,False,False,True,True,False,,,,,,,
ketchup,2,0,fixed,fixed,grasp_formation,15,32,1,1,1,3,1,1,1.0,0.000555,0.000555,0.000555,False,0.770648,0,False,False,False,True,False,False,no_action_bridge,True,False,False,False,False,0,True,0.0,0.000514,0.246095,0.0,
ketchup,3,0,fixed,fixed,grasp_formation,25,42,1,1,1,3,0,0,0.0,0.0,0.0,0.000361,True,0.0,0,False,False,True,True,False,False,no_action_bridge,True,False,False,False,True,0,True,0.0,0.000267,0.261799,0.0,
ketchup,4,0,fixed,fixed,grasp_formation,28,45,1,0,0,1,0,0,0.0,0.0,0.0,0.000318,False,0.0,0,False,False,False,False,False,False,no_action_bridge+denominator_polluted,False,False,False,False,False,,,,,,,
ketchup,5,0,fixed,fixed,grasp_formation,9,26,2,2,2,6,0,18,9.0,0.018702,0.0,0.019014,False,0.0,3,False,False,False,True,False,False,duplicate_runs_present+no_action_bridge,True,False,False,False,False,0,True,0.0,0.000644,0.179342,0.0,ambiguous_duplicate_runs
milk,1,0,fixed,fixed,grasp_formation,18,35,1,0,0,1,0,0,0.0,0.0,0.0,0.000395,False,0.0,0,False,False,False,False,False,False,no_action_bridge+denominator_polluted,False,False,False,False,False,,,,,,,
milk,1,0,fixed,fixed,grasp_formation,8,25,1,1,1,3,0,0,0.0,0.0,0.0,0.000869,False,0.0,0,False,False,False,True,False,False,no_action_bridge,True,False,False,False,False,0,True,0.0,0.000874,0.147839,0.0,
milk,4,0,fixed,fixed,grasp_formation,19,36,1,1,1,3,18,18,18.0,0.03789,0.03789,0.03789,True,0.0,0,True,True,True,True,False,True,claim_usable,True,False,True,True,True,0,True,0.0,0.000439,0.339015,0.0,
milk,5,0,fixed,fixed,grasp_formation,25,42,1,1,1,3,18,18,18.0,0.03799,0.03799,0.03799,False,0.0,0,True,True,False,False,False,False,action_positive_physical_positive_task_negative+denominator_polluted,False,False,True,True,False,0,False,0.0,0.000361,0.513128,0.0,
milk,8,0,fixed,fixed,grasp_formation,8,25,1,0,0,1,0,0,0.0,0.0,0.0,0.001782,False,0.0,0,False,False,False,False,False,False,no_action_bridge+denominator_polluted,False,False,False,False,False,,,,,,,
orange_juice,2,0,fixed,fixed,grasp_formation,17,34,1,0,0,1,0,0,0.0,0.0,0.0,0.000444,False,0.0,0,False,False,False,False,False,False,no_action_bridge+denominator_polluted,False,False,False,False,False,,,,,,,
salad_dressing,0,0,fixed,fixed,grasp_formation,7,24,1,1,1,3,1,1,1.0,0.0,0.0,0.001189,True,0.0,0,False,False,True,True,False,False,no_action_bridge,True,False,False,False,True,0,True,0.0,0.001271,0.294331,0.0,
salad_dressing,5,0,fixed,fixed,grasp_formation,28,45,1,0,0,1,0,0,0.0,0.0,0.0,0.000242,False,0.0,0,False,False,False,False,False,False,no_action_bridge+denominator_polluted,False,False,False,False,False,,,,,,,
tomato_sauce,1,0,fixed,fixed,grasp_formation,23,40,1,1,1,3,0,0,0.0,0.0,0.0,0.000356,False,0.0,0,False,False,False,True,False,False,no_action_bridge,True,False,False,False,False,0,True,0.0,0.000349,0.291546,0.0,
tomato_sauce,3,0,fixed,fixed,grasp_formation,17,34,1,0,0,1,0,0,0.0,0.0,0.0,0.000423,False,0.0,0,False,False,False,False,False,False,no_action_bridge+denominator_polluted,False,False,False,False,False,,,,,,,
