episode_id,task,T_gform,causal_trigger,trigger_error,abs_error,first_sustained_open,first_qpos_motion
obj100_alphabet_soup_alphabet_soup_s0,pick_up_the_alphabet_soup_and_,53,52,-1,1,52,49
obj100_alphabet_soup_alphabet_soup_s2,pick_up_the_alphabet_soup_and_,61,57,-4,4,57,60
obj100_alphabet_soup_alphabet_soup_s3,pick_up_the_alphabet_soup_and_,71,54,-17,17,54,57
obj100_alphabet_soup_alphabet_soup_s4,pick_up_the_alphabet_soup_and_,54,49,-5,5,49,52
obj100_alphabet_soup_alphabet_soup_s6,pick_up_the_alphabet_soup_and_,90,60,-30,30,60,65
obj100_alphabet_soup_alphabet_soup_s7,pick_up_the_alphabet_soup_and_,110,91,-19,19,91,94
obj100_alphabet_soup_alphabet_soup_s8,pick_up_the_alphabet_soup_and_,62,48,-14,14,48,48
obj100_alphabet_soup_alphabet_soup_s9,pick_up_the_alphabet_soup_and_,90,60,-30,30,60,63
obj100_bbq_sauce_bbq_sauce_s0,pick_up_the_bbq_sauce_and_plac,75,47,-28,28,47,50
obj100_bbq_sauce_bbq_sauce_s4,pick_up_the_bbq_sauce_and_plac,64,57,-7,7,57,60
obj100_bbq_sauce_bbq_sauce_s5,pick_up_the_bbq_sauce_and_plac,77,64,-13,13,64,67
obj100_bbq_sauce_bbq_sauce_s9,pick_up_the_bbq_sauce_and_plac,72,61,-11,11,61,64
obj100_butter_butter_s0,pick_up_the_butter_and_place_i,79,52,-27,27,52,52
obj100_butter_butter_s2,pick_up_the_butter_and_place_i,73,64,-9,9,64,67
obj100_butter_butter_s3,pick_up_the_butter_and_place_i,79,58,-21,21,58,61
obj100_butter_butter_s5,pick_up_the_butter_and_place_i,75,65,-10,10,65,68
obj100_butter_butter_s6,pick_up_the_butter_and_place_i,84,53,-31,31,53,56
obj100_butter_butter_s7,pick_up_the_butter_and_place_i,60,52,-8,8,52,51
obj100_butter_butter_s8,pick_up_the_butter_and_place_i,86,70,-16,16,70,73
obj100_butter_butter_s9,pick_up_the_butter_and_place_i,61,54,-7,7,54,57
obj100_chocolate_pudding_rerun_chocolate_pudding_s2,pick_up_the_chocolate_pudding_,64,58,-6,6,58,61
obj100_chocolate_pudding_rerun_chocolate_pudding_s3,pick_up_the_chocolate_pudding_,90,61,-29,29,61,64
obj100_chocolate_pudding_rerun_chocolate_pudding_s4,pick_up_the_chocolate_pudding_,65,60,-5,5,60,58
obj100_chocolate_pudding_rerun_chocolate_pudding_s5,pick_up_the_chocolate_pudding_,82,55,-27,27,55,58
obj100_chocolate_pudding_rerun_chocolate_pudding_s6,pick_up_the_chocolate_pudding_,86,57,-29,29,57,54
obj100_chocolate_pudding_rerun_chocolate_pudding_s7,pick_up_the_chocolate_pudding_,96,49,-47,47,49,52
obj100_chocolate_pudding_rerun_chocolate_pudding_s9,pick_up_the_chocolate_pudding_,78,50,-28,28,50,53
obj100_cream_cheese_cream_cheese_s0,pick_up_the_cream_cheese_and_p,128,85,-43,43,85,88
obj100_cream_cheese_cream_cheese_s1,pick_up_the_cream_cheese_and_p,105,60,-45,45,60,63
obj100_cream_cheese_cream_cheese_s2,pick_up_the_cream_cheese_and_p,102,63,-39,39,63,69
obj100_cream_cheese_cream_cheese_s3,pick_up_the_cream_cheese_and_p,108,74,-34,34,74,77
obj100_cream_cheese_cream_cheese_s4,pick_up_the_cream_cheese_and_p,78,52,-26,26,52,55
obj100_cream_cheese_cream_cheese_s5,pick_up_the_cream_cheese_and_p,121,77,-44,44,77,79
obj100_cream_cheese_cream_cheese_s6,pick_up_the_cream_cheese_and_p,104,56,-48,48,56,59
obj100_cream_cheese_cream_cheese_s7,pick_up_the_cream_cheese_and_p,94,60,-34,34,60,63
