model,feature_set,split_type,heldout_task,accuracy,macro_f1,n_train,n_test
LR,A_descriptor,row_random,,,0.7041,,
LR,A_descriptor,episode,obj100_alphabet_soup_alphabet_,0.75,0.5167,366,12
LR,A_descriptor,episode,obj100_alphabet_soup_alphabet_,0.7692,0.535,365,13
LR,A_descriptor,episode,obj100_alphabet_soup_alphabet_,0.7692,0.5333,365,13
LR,A_descriptor,episode,obj100_bbq_sauce_bbq_sauce_s0,0.9286,0.92,364,14
LR,A_descriptor,episode,obj100_bbq_sauce_bbq_sauce_s4,0.8462,0.625,365,13
LR,A_descriptor,episode,obj100_butter_butter_s0,0.6923,0.6133,365,13
LR,A_descriptor,episode,obj100_butter_butter_s2,0.8333,0.625,366,12
LR,A_descriptor,episode,obj100_butter_butter_s6,0.6667,0.5833,366,12
LR,A_descriptor,episode,obj100_chocolate_pudding_rerun,0.8571,0.7,364,14
LR,A_descriptor,episode,obj100_chocolate_pudding_rerun,0.7143,0.6,364,14
LR,A_descriptor,episode,obj100_cream_cheese_cream_chee,1.0,1.0,365,13
LR,A_descriptor,episode,obj100_cream_cheese_cream_chee,0.9231,0.5556,365,13
LR,A_descriptor,episode,obj100_cream_cheese_cream_chee,0.9231,0.5556,365,13
LR,A_descriptor,episode,obj100_ketchup_ketchup_s1,0.8462,0.5581,365,13
LR,A_descriptor,episode,obj100_ketchup_ketchup_s2,0.9286,0.7846,364,14
LR,A_descriptor,episode,obj100_ketchup_ketchup_s3,0.9167,0.6667,366,12
LR,A_descriptor,episode,obj100_ketchup_ketchup_s4,0.75,0.42,366,12
LR,A_descriptor,episode,obj100_ketchup_ketchup_s5,0.9167,0.7,366,12
LR,A_descriptor,episode,obj100_milk_milk_s1,1.0,1.0,367,11
LR,A_descriptor,episode,obj100_milk_milk_s5,1.0,1.0,364,14
LR,A_descriptor,episode,obj100_milk_milk_s9,1.0,1.0,366,12
LR,A_descriptor,episode,obj100_orange_juice_orange_jui,1.0,1.0,364,14
LR,A_descriptor,episode,obj100_salad_dressing_salad_dr,0.9286,0.8667,364,14
LR,A_descriptor,episode,obj100_salad_dressing_salad_dr,1.0,1.0,366,12
LR,A_descriptor,episode,obj100_salad_dressing_salad_dr,1.0,1.0,365,13
LR,A_descriptor,episode,obj100_tomato_sauce_tomato_sau,0.8462,0.6451,365,13
LR,A_descriptor,episode,obj100_tomato_sauce_tomato_sau,0.9286,0.5556,364,14
LR,A_descriptor,task,alphabet_soup,0.7381,0.6131,336,42
LR,A_descriptor,task,bbq_sauce,0.8621,0.7522,349,29
LR,A_descriptor,task,butter,0.7143,0.6674,336,42
LR,A_descriptor,task,chocolate_pudding,0.7188,0.6215,346,32
LR,A_descriptor,task,cream_cheese,0.95,0.5833,338,40
LR,A_descriptor,task,ketchup,0.8462,0.6206,313,65
LR,A_descriptor,task,milk,0.9744,0.7867,339,39
LR,A_descriptor,task,orange_juice,0.9444,0.8974,360,18
LR,A_descriptor,task,salad_dressing,0.9524,0.935,336,42
LR,A_descriptor,task,tomato_sauce,0.8966,0.7766,349,29
RF,A_descriptor,row_random,,,0.8393,,
RF,A_descriptor,episode,obj100_alphabet_soup_alphabet_,,err:RandomForestClassifier.__init_,366,12
RF,A_descriptor,episode,obj100_alphabet_soup_alphabet_,,err:RandomForestClassifier.__init_,365,13
RF,A_descriptor,episode,obj100_alphabet_soup_alphabet_,,err:RandomForestClassifier.__init_,365,13
RF,A_descriptor,episode,obj100_bbq_sauce_bbq_sauce_s0,,err:RandomForestClassifier.__init_,364,14
RF,A_descriptor,episode,obj100_bbq_sauce_bbq_sauce_s4,,err:RandomForestClassifier.__init_,365,13
RF,A_descriptor,episode,obj100_butter_butter_s0,,err:RandomForestClassifier.__init_,365,13
RF,A_descriptor,episode,obj100_butter_butter_s2,,err:RandomForestClassifier.__init_,366,12
RF,A_descriptor,episode,obj100_butter_butter_s6,,err:RandomForestClassifier.__init_,366,12
RF,A_descriptor,episode,obj100_chocolate_pudding_rerun,,err:RandomForestClassifier.__init_,364,14
RF,A_descriptor,episode,obj100_chocolate_pudding_rerun,,err:RandomForestClassifier.__init_,364,14
RF,A_descriptor,episode,obj100_cream_cheese_cream_chee,,err:RandomForestClassifier.__init_,365,13
RF,A_descriptor,episode,obj100_cream_cheese_cream_chee,,err:RandomForestClassifier.__init_,365,13
RF,A_descriptor,episode,obj100_cream_cheese_cream_chee,,err:RandomForestClassifier.__init_,365,13
RF,A_descriptor,episode,obj100_ketchup_ketchup_s1,,err:RandomForestClassifier.__init_,365,13
RF,A_descriptor,episode,obj100_ketchup_ketchup_s2,,err:RandomForestClassifier.__init_,364,14
RF,A_descriptor,episode,obj100_ketchup_ketchup_s3,,err:RandomForestClassifier.__init_,366,12
RF,A_descriptor,episode,obj100_ketchup_ketchup_s4,,err:RandomForestClassifier.__init_,366,12
RF,A_descriptor,episode,obj100_ketchup_ketchup_s5,,err:RandomForestClassifier.__init_,366,12
RF,A_descriptor,episode,obj100_milk_milk_s1,,err:RandomForestClassifier.__init_,367,11
RF,A_descriptor,episode,obj100_milk_milk_s5,,err:RandomForestClassifier.__init_,364,14
RF,A_descriptor,episode,obj100_milk_milk_s9,,err:RandomForestClassifier.__init_,366,12
RF,A_descriptor,episode,obj100_orange_juice_orange_jui,,err:RandomForestClassifier.__init_,364,14
RF,A_descriptor,episode,obj100_salad_dressing_salad_dr,,err:RandomForestClassifier.__init_,364,14
RF,A_descriptor,episode,obj100_salad_dressing_salad_dr,,err:RandomForestClassifier.__init_,366,12
RF,A_descriptor,episode,obj100_salad_dressing_salad_dr,,err:RandomForestClassifier.__init_,365,13
RF,A_descriptor,episode,obj100_tomato_sauce_tomato_sau,,err:RandomForestClassifier.__init_,365,13
RF,A_descriptor,episode,obj100_tomato_sauce_tomato_sau,,err:RandomForestClassifier.__init_,364,14
RF,A_descriptor,task,alphabet_soup,,err:RandomForestClassifier.__init_,336,42
RF,A_descriptor,task,bbq_sauce,,err:RandomForestClassifier.__init_,349,29
RF,A_descriptor,task,butter,,err:RandomForestClassifier.__init_,336,42
RF,A_descriptor,task,chocolate_pudding,,err:RandomForestClassifier.__init_,346,32
RF,A_descriptor,task,cream_cheese,,err:RandomForestClassifier.__init_,338,40
RF,A_descriptor,task,ketchup,,err:RandomForestClassifier.__init_,313,65
RF,A_descriptor,task,milk,,err:RandomForestClassifier.__init_,339,39
RF,A_descriptor,task,orange_juice,,err:RandomForestClassifier.__init_,360,18
RF,A_descriptor,task,salad_dressing,,err:RandomForestClassifier.__init_,336,42
RF,A_descriptor,task,tomato_sauce,,err:RandomForestClassifier.__init_,349,29
LR,B_causal_safe,row_random,,,0.5264,,
LR,B_causal_safe,episode,obj100_alphabet_soup_alphabet_,0.75,0.4167,366,12
LR,B_causal_safe,episode,obj100_alphabet_soup_alphabet_,0.7692,0.3216,365,13
LR,B_causal_safe,episode,obj100_alphabet_soup_alphabet_,0.8462,0.7917,365,13
LR,B_causal_safe,episode,obj100_bbq_sauce_bbq_sauce_s0,0.8571,0.8133,364,14
LR,B_causal_safe,episode,obj100_bbq_sauce_bbq_sauce_s4,0.6923,0.3467,365,13
LR,B_causal_safe,episode,obj100_butter_butter_s0,0.8462,0.75,365,13
LR,B_causal_safe,episode,obj100_butter_butter_s2,0.75,0.4183,366,12
LR,B_causal_safe,episode,obj100_butter_butter_s6,0.75,0.5318,366,12
LR,B_causal_safe,episode,obj100_chocolate_pudding_rerun,0.8571,0.6875,364,14
LR,B_causal_safe,episode,obj100_chocolate_pudding_rerun,0.7143,0.4833,364,14
LR,B_causal_safe,episode,obj100_cream_cheese_cream_chee,0.9231,0.48,365,13
LR,B_causal_safe,episode,obj100_cream_cheese_cream_chee,0.9231,0.5556,365,13
LR,B_causal_safe,episode,obj100_cream_cheese_cream_chee,0.8462,0.4048,365,13
LR,B_causal_safe,episode,obj100_ketchup_ketchup_s1,0.6154,0.3514,365,13
LR,B_causal_safe,episode,obj100_ketchup_ketchup_s2,0.5,0.2513,364,14
LR,B_causal_safe,episode,obj100_ketchup_ketchup_s3,0.5833,0.25,366,12
LR,B_causal_safe,episode,obj100_ketchup_ketchup_s4,0.6667,0.2867,366,12
LR,B_causal_safe,episode,obj100_ketchup_ketchup_s5,0.5833,0.2513,366,12
LR,B_causal_safe,episode,obj100_milk_milk_s1,0.9091,0.7,367,11
LR,B_causal_safe,episode,obj100_milk_milk_s5,1.0,1.0,364,14
LR,B_causal_safe,episode,obj100_milk_milk_s9,0.8333,0.6667,366,12
LR,B_causal_safe,episode,obj100_orange_juice_orange_jui,0.7857,0.6,364,14
LR,B_causal_safe,episode,obj100_salad_dressing_salad_dr,0.8571,0.7,364,14
LR,B_causal_safe,episode,obj100_salad_dressing_salad_dr,0.8333,0.4167,366,12
LR,B_causal_safe,episode,obj100_salad_dressing_salad_dr,0.9231,0.8222,365,13
LR,B_causal_safe,episode,obj100_tomato_sauce_tomato_sau,0.8462,0.7046,365,13
LR,B_causal_safe,episode,obj100_tomato_sauce_tomato_sau,1.0,1.0,364,14
LR,B_causal_safe,task,alphabet_soup,0.7143,0.4898,336,42
LR,B_causal_safe,task,bbq_sauce,0.7586,0.621,349,29
LR,B_causal_safe,task,butter,0.6905,0.5114,336,42
LR,B_causal_safe,task,chocolate_pudding,0.6875,0.48,346,32
LR,B_causal_safe,task,cream_cheese,0.9,0.4301,338,40
LR,B_causal_safe,task,ketchup,0.5692,0.2685,313,65
LR,B_causal_safe,task,milk,0.8718,0.6869,339,39
LR,B_causal_safe,task,orange_juice,0.6667,0.625,360,18
LR,B_causal_safe,task,salad_dressing,0.8095,0.68,336,42
LR,B_causal_safe,task,tomato_sauce,0.8966,0.676,349,29
RF,B_causal_safe,row_random,,,0.7416,,
RF,B_causal_safe,episode,obj100_alphabet_soup_alphabet_,,err:RandomForestClassifier.__init_,366,12
RF,B_causal_safe,episode,obj100_alphabet_soup_alphabet_,,err:RandomForestClassifier.__init_,365,13
RF,B_causal_safe,episode,obj100_alphabet_soup_alphabet_,,err:RandomForestClassifier.__init_,365,13
RF,B_causal_safe,episode,obj100_bbq_sauce_bbq_sauce_s0,,err:RandomForestClassifier.__init_,364,14
RF,B_causal_safe,episode,obj100_bbq_sauce_bbq_sauce_s4,,err:RandomForestClassifier.__init_,365,13
RF,B_causal_safe,episode,obj100_butter_butter_s0,,err:RandomForestClassifier.__init_,365,13
RF,B_causal_safe,episode,obj100_butter_butter_s2,,err:RandomForestClassifier.__init_,366,12
RF,B_causal_safe,episode,obj100_butter_butter_s6,,err:RandomForestClassifier.__init_,366,12
RF,B_causal_safe,episode,obj100_chocolate_pudding_rerun,,err:RandomForestClassifier.__init_,364,14
RF,B_causal_safe,episode,obj100_chocolate_pudding_rerun,,err:RandomForestClassifier.__init_,364,14
RF,B_causal_safe,episode,obj100_cream_cheese_cream_chee,,err:RandomForestClassifier.__init_,365,13
RF,B_causal_safe,episode,obj100_cream_cheese_cream_chee,,err:RandomForestClassifier.__init_,365,13
RF,B_causal_safe,episode,obj100_cream_cheese_cream_chee,,err:RandomForestClassifier.__init_,365,13
RF,B_causal_safe,episode,obj100_ketchup_ketchup_s1,,err:RandomForestClassifier.__init_,365,13
RF,B_causal_safe,episode,obj100_ketchup_ketchup_s2,,err:RandomForestClassifier.__init_,364,14
RF,B_causal_safe,episode,obj100_ketchup_ketchup_s3,,err:RandomForestClassifier.__init_,366,12
RF,B_causal_safe,episode,obj100_ketchup_ketchup_s4,,err:RandomForestClassifier.__init_,366,12
RF,B_causal_safe,episode,obj100_ketchup_ketchup_s5,,err:RandomForestClassifier.__init_,366,12
RF,B_causal_safe,episode,obj100_milk_milk_s1,,err:RandomForestClassifier.__init_,367,11
RF,B_causal_safe,episode,obj100_milk_milk_s5,,err:RandomForestClassifier.__init_,364,14
RF,B_causal_safe,episode,obj100_milk_milk_s9,,err:RandomForestClassifier.__init_,366,12
RF,B_causal_safe,episode,obj100_orange_juice_orange_jui,,err:RandomForestClassifier.__init_,364,14
RF,B_causal_safe,episode,obj100_salad_dressing_salad_dr,,err:RandomForestClassifier.__init_,364,14
RF,B_causal_safe,episode,obj100_salad_dressing_salad_dr,,err:RandomForestClassifier.__init_,366,12
RF,B_causal_safe,episode,obj100_salad_dressing_salad_dr,,err:RandomForestClassifier.__init_,365,13
RF,B_causal_safe,episode,obj100_tomato_sauce_tomato_sau,,err:RandomForestClassifier.__init_,365,13
RF,B_causal_safe,episode,obj100_tomato_sauce_tomato_sau,,err:RandomForestClassifier.__init_,364,14
RF,B_causal_safe,task,alphabet_soup,,err:RandomForestClassifier.__init_,336,42
RF,B_causal_safe,task,bbq_sauce,,err:RandomForestClassifier.__init_,349,29
