task_key,state_id,in_e4c,in_fresh,in_500
alphabet_soup,0,False,True,True
alphabet_soup,1,True,False,True
alphabet_soup,10,True,False,True
alphabet_soup,11,False,True,True
alphabet_soup,12,True,False,True
alphabet_soup,13,True,False,True
alphabet_soup,14,True,False,True
alphabet_soup,15,True,False,True
alphabet_soup,16,True,False,True
alphabet_soup,17,True,False,True
alphabet_soup,18,True,False,True
alphabet_soup,19,True,False,True
alphabet_soup,2,True,False,True
alphabet_soup,20,True,False,True
alphabet_soup,21,True,False,True
alphabet_soup,22,True,False,True
alphabet_soup,23,False,True,True
alphabet_soup,24,True,False,True
alphabet_soup,25,True,False,True
alphabet_soup,26,False,True,True
alphabet_soup,27,True,False,True
alphabet_soup,28,False,True,True
alphabet_soup,29,True,False,True
alphabet_soup,3,False,True,True
alphabet_soup,30,True,False,True
alphabet_soup,31,True,False,True
alphabet_soup,32,True,False,True
alphabet_soup,33,True,False,True
alphabet_soup,34,True,False,True
alphabet_soup,35,True,False,True
alphabet_soup,36,True,False,True
alphabet_soup,37,True,False,True
alphabet_soup,38,True,False,True
alphabet_soup,39,True,False,True
alphabet_soup,4,False,True,True
alphabet_soup,40,True,False,True
alphabet_soup,41,True,False,True
alphabet_soup,42,True,False,True
alphabet_soup,43,True,False,True
alphabet_soup,44,True,False,True
alphabet_soup,45,True,False,True
alphabet_soup,46,True,False,True
alphabet_soup,47,True,False,True
alphabet_soup,48,True,False,True
alphabet_soup,49,True,False,True
alphabet_soup,5,False,True,True
alphabet_soup,6,False,True,True
alphabet_soup,7,False,True,True
alphabet_soup,8,False,True,True
alphabet_soup,9,False,True,True
bbq_sauce,0,True,False,True
bbq_sauce,1,False,True,True
bbq_sauce,10,True,False,True
bbq_sauce,11,True,False,True
bbq_sauce,12,True,False,True
bbq_sauce,13,True,False,True
bbq_sauce,14,True,False,True
bbq_sauce,15,True,False,True
bbq_sauce,16,True,False,True
bbq_sauce,17,True,False,True
bbq_sauce,18,True,False,True
bbq_sauce,19,True,False,True
bbq_sauce,2,True,False,True
bbq_sauce,20,True,False,True
bbq_sauce,21,True,False,True
bbq_sauce,22,True,False,True
bbq_sauce,23,True,False,True
bbq_sauce,24,True,False,True
bbq_sauce,25,True,False,True
bbq_sauce,26,True,False,True
bbq_sauce,27,True,False,True
bbq_sauce,28,True,False,True
bbq_sauce,29,True,False,True
bbq_sauce,3,True,False,True
bbq_sauce,30,True,False,True
bbq_sauce,31,True,False,True
bbq_sauce,32,True,False,True
bbq_sauce,33,True,False,True
bbq_sauce,34,True,False,True
bbq_sauce,35,True,False,True
bbq_sauce,36,True,False,True
bbq_sauce,37,True,False,True
bbq_sauce,38,True,False,True
bbq_sauce,39,True,False,True
bbq_sauce,4,False,True,True
bbq_sauce,40,True,False,True
bbq_sauce,41,True,False,True
bbq_sauce,42,True,False,True
bbq_sauce,43,True,False,True
bbq_sauce,44,True,False,True
bbq_sauce,45,True,False,True
bbq_sauce,46,True,False,True
bbq_sauce,47,True,False,True
bbq_sauce,48,True,False,True
bbq_sauce,49,True,False,True
bbq_sauce,5,False,True,True
bbq_sauce,6,False,True,True
bbq_sauce,7,False,True,True
bbq_sauce,8,False,True,True
bbq_sauce,9,False,True,True
butter,0,False,True,True
butter,1,True,False,True
butter,10,True,False,True
butter,11,True,False,True
butter,12,True,False,True
butter,13,True,False,True
butter,14,True,False,True
butter,15,True,False,True
butter,16,True,False,True
butter,17,True,False,True
butter,18,True,False,True
butter,19,True,False,True
butter,2,True,False,True
butter,20,True,False,True
butter,21,True,False,True
butter,22,True,False,True
butter,23,True,False,True
butter,24,True,False,True
butter,25,True,False,True
butter,26,True,False,True
butter,27,True,False,True
butter,28,True,False,True
butter,29,True,False,True
butter,3,False,True,True
butter,30,True,False,True
butter,31,True,False,True
butter,32,True,False,True
butter,33,True,False,True
butter,34,True,False,True
butter,35,True,False,True
butter,36,True,False,True
butter,37,True,False,True
butter,38,True,False,True
butter,39,True,False,True
butter,4,False,True,True
butter,40,True,False,True
butter,41,True,False,True
butter,42,True,False,True
butter,43,True,False,True
butter,44,True,False,True
butter,45,True,False,True
butter,46,True,False,True
butter,47,True,False,True
butter,48,True,False,True
butter,49,True,False,True
butter,5,False,True,True
