task_key,n_existing,existing_states,n_missing,missing_states
alphabet_soup,38,"1,2,10,12,13,14,15,16,17,18,19,20,21,22,24,25,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",12,"0,3,4,5,6,7,8,9,11,23,26,28"
bbq_sauce,43,"0,2,3,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",7,"1,4,5,6,7,8,9"
butter,42,"1,2,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",8,"0,3,4,5,6,7,8,9"
chocolate_pudding,41,"1,2,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",9,"0,3,4,5,6,7,8,9,16"
cream_cheese,42,"1,2,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",8,"0,3,4,5,6,7,8,9"
ketchup,42,"2,3,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",8,"0,1,4,5,6,7,8,9"
milk,41,"1,2,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49",9,"0,3,4,5,6,7,8,9,47"
orange_juice,41,"1,2,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",9,"0,3,4,5,6,7,8,9,33"
salad_dressing,37,"1,2,10,11,12,13,14,15,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,33,34,37,38,39,40,41,42,43,44,45,46,48,49",13,"0,3,4,5,6,7,8,9,20,22,35,36,47"
tomato_sauce,35,"1,2,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,28,29,31,32,33,34,35,36,38,39,40,41,42,45,46,47,49",15,"0,3,4,5,6,7,8,9,21,27,30,37,43,44,48"
