trace_id,task_key,stream_emit_step,batch_emit_step,emit_match,n_cand_match,stream_n_cands,batch_n_cands,feature_mismatches
trace_alphabet_soup_s26_w0_10_s20d_clean_seed0_job590300,alphabet_soup,92,92,True,True,6,6,0
trace_alphabet_soup_s43_w0_10_s20d_clean_seed0_job330034,alphabet_soup,-1,-1,True,True,6,6,0
trace_alphabet_soup_s47_w0_10_s20d_clean_seed0_job330038,alphabet_soup,-1,-1,True,True,2,2,0
trace_alphabet_soup_s49_w0_10_s20d_clean_seed0_job330040,alphabet_soup,56,56,True,True,8,8,0
trace_alphabet_soup_s5_w0_10_s20d_clean_seed0_job500000,alphabet_soup,74,74,True,True,3,3,0
trace_alphabet_soup_s8_w0_10_s20d_clean_seed0_job540200,alphabet_soup,49,49,True,True,12,12,0
trace_alphabet_soup_s9_w0_10_s20d_clean_seed0_job540200,alphabet_soup,50,50,True,True,11,11,0
trace_bbq_sauce_s45_w0_10_s20d_clean_seed0_job330076,bbq_sauce,117,117,True,True,9,9,0
trace_bbq_sauce_s46_w0_10_s20d_clean_seed0_job330077,bbq_sauce,-1,-1,True,True,2,2,0
trace_butter_s3_w0_10_s20d_clean_seed0_job510100,butter,-1,-1,True,True,3,3,0
trace_butter_s42_w0_10_s20d_clean_seed0_job330113,butter,54,54,True,True,12,12,0
trace_butter_s46_w0_10_s20d_clean_seed0_job330117,butter,62,62,True,True,4,4,0
trace_butter_s48_w0_10_s20d_clean_seed0_job330119,butter,-1,-1,True,True,5,5,0
trace_butter_s6_w0_10_s20d_clean_seed0_job590100,butter,-1,-1,True,True,8,8,0
trace_butter_s8_w0_10_s20d_clean_seed0_job590100,butter,62,62,True,True,4,4,0
trace_chocolate_pudding_s16_w0_10_s20d_clean_seed0_job590000,chocolate_pudding,55,55,True,True,3,3,0
trace_chocolate_pudding_s49_w0_10_s20d_clean_seed0_job330160,chocolate_pudding,50,50,True,True,4,4,0
trace_chocolate_pudding_s4_w0_10_s20d_clean_seed0_job520100,chocolate_pudding,-1,-1,True,True,8,8,0
trace_chocolate_pudding_s5_w0_10_s20d_clean_seed0_job520100,chocolate_pudding,55,55,True,True,6,6,0
trace_cream_cheese_s0_w0_10_s20d_clean_seed0_job540000,cream_cheese,62,62,True,True,3,3,0
trace_cream_cheese_s41_w0_10_s20d_clean_seed0_job330192,cream_cheese,64,64,True,True,3,3,0
trace_cream_cheese_s43_w0_10_s20d_clean_seed0_job330194,cream_cheese,-1,-1,True,True,14,14,0
trace_cream_cheese_s6_w0_10_s20d_clean_seed0_job540000,cream_cheese,56,56,True,True,4,4,0
trace_cream_cheese_s8_w0_10_s20d_clean_seed0_job570000,cream_cheese,-1,-1,True,True,7,7,0
trace_cream_cheese_s9_w0_10_s20d_clean_seed0_job590100,cream_cheese,55,55,True,True,2,2,0
trace_ketchup_s0_w0_10_s20d_clean_seed0_job540100,ketchup,56,56,True,True,3,3,0
trace_ketchup_s45_w0_10_s20d_clean_seed0_job330236,ketchup,-1,-1,True,True,3,3,0
trace_ketchup_s47_w0_10_s20d_clean_seed0_job330238,ketchup,-1,-1,True,True,6,6,0
trace_ketchup_s48_w0_10_s20d_clean_seed0_job330239,ketchup,-1,-1,True,True,4,4,0
trace_ketchup_s49_w0_10_s20d_clean_seed0_job330240,ketchup,-1,-1,True,True,4,4,0
trace_ketchup_s6_w0_10_s20d_clean_seed0_job590200,ketchup,132,132,True,True,6,6,0
trace_milk_s3_w0_10_s20d_clean_seed0_job530000,milk,54,54,True,True,3,3,0
trace_milk_s45_w0_10_s20d_clean_seed0_job330276,milk,52,52,True,True,2,2,0
trace_milk_s8_w0_10_s20d_clean_seed0_job530000,milk,-1,-1,True,True,9,9,0
trace_orange_juice_s0_w0_10_s20d_clean_seed0_job530100,orange_juice,-1,-1,True,True,5,5,0
trace_orange_juice_s43_w0_10_s20d_clean_seed0_job330314,orange_juice,-1,-1,True,True,3,3,0
trace_salad_dressing_s20_w0_10_s20d_clean_seed0_job520000,salad_dressing,-1,-1,True,True,2,2,0
trace_salad_dressing_s22_w0_10_s20d_clean_seed0_job520000,salad_dressing,-1,-1,True,True,2,2,0
trace_salad_dressing_s36_w0_10_s20d_clean_seed0_job520000,salad_dressing,55,55,True,True,2,2,0
trace_salad_dressing_s38_w0_10_s20d_clean_seed0_job330349,salad_dressing,64,64,True,True,3,3,0
trace_salad_dressing_s40_w0_10_s20d_clean_seed0_job330351,salad_dressing,46,46,True,True,3,3,0
trace_tomato_sauce_s30_w0_10_s20d_clean_seed0_job590200,tomato_sauce,59,59,True,True,4,4,0
trace_tomato_sauce_s41_w0_10_s20d_clean_seed0_job330392,tomato_sauce,64,64,True,True,2,2,0
trace_tomato_sauce_s42_w0_10_s20d_clean_seed0_job330393,tomato_sauce,59,59,True,True,2,2,0
trace_tomato_sauce_s48_w0_10_s20d_clean_seed0_job590200,tomato_sauce,68,68,True,True,29,29,0
trace_tomato_sauce_s9_w0_10_s20d_clean_seed0_job560000,tomato_sauce,63,63,True,True,2,2,0
