Suite,Condition,Success,N,SR,FR,CI_95_low,CI_95_high,Attack_Frames,Detector_Emit_Rate,Attack_Delivery_Rate
Object,CLEAN,50,50,1.000,0.000,0.929,1.000,0,1.000,0.000
Object,TRUE_T10,30,50,0.600,0.400,0.462,0.724,330,0.660,0.660
Object,RAND_T10,49,50,0.980,0.020,0.895,0.997,490,0.980,0.980
Object,COMMAND_OPEN_ORACLE,25,50,0.500,0.500,0.366,0.634,500,1.000,1.000
Goal,CLEAN,28,33,0.848,0.152,0.691,0.934,0,1.000,0.000
Goal,TRUE_T10,17,33,0.515,0.485,0.352,0.675,250,0.758,0.758
Goal,RAND_T10,26,33,0.788,0.212,0.623,0.893,330,1.000,1.000
Goal,COMMAND_OPEN_ORACLE,26,33,0.788,0.212,0.623,0.893,330,1.000,1.000
L10,CLEAN,18,50,0.360,0.640,0.241,0.499,0,1.000,0.000
L10,TRUE_T10,15,50,0.300,0.700,0.191,0.438,330,0.660,0.660
L10,RAND_T10,6,50,0.120,0.880,0.056,0.238,500,1.000,1.000
L10,COMMAND_OPEN_ORACLE,13,50,0.260,0.740,0.159,0.396,500,1.000,1.000
Spatial,CLEAN,37,46,0.804,0.196,0.668,0.894,0,1.000,0.000
Spatial,TRUE_T10,27,46,0.587,0.413,0.443,0.717,440,0.957,0.957
Spatial,RAND_T10,39,46,0.848,0.152,0.718,0.924,460,1.000,1.000
Spatial,COMMAND_OPEN_ORACLE,41,46,0.891,0.109,0.770,0.953,460,1.000,1.000
