task_key,state_id,input_row_count,output_row_count,row_count_match,invariant_violations,field_issues,invalid_gap_count,close_after_gap_count,gripper_semantics_valid_rate,eef_pose_valid_rate,object_pose_valid_rate,qpos_valid_rate,grasp_privilege_valid,placement_privilege_valid,teacher_p_anchor,teacher_p_available,teacher_r_anchor
butter,2,158,158,True,0,0,0,0,1.0,1.0,1.0,1.0,True,False,68,True,4
butter,1,160,160,True,0,0,0,0,1.0,1.0,1.0,1.0,True,False,72,True,6
cream_cheese,2,135,135,True,0,0,0,0,1.0,1.0,1.0,1.0,True,False,63,True,59
cream_cheese,1,126,126,True,0,0,0,0,1.0,1.0,1.0,1.0,True,False,54,True,8
bbq_sauce,0,163,163,True,0,0,0,0,1.0,1.0,1.0,1.0,True,False,85,True,52
bbq_sauce,2,280,280,True,0,0,0,0,1.0,1.0,1.0,1.0,True,False,-1,False,49
chocolate_pudding,2,159,159,True,0,0,0,0,1.0,1.0,1.0,1.0,True,False,58,True,58
chocolate_pudding,1,280,280,True,0,0,0,0,1.0,1.0,1.0,1.0,True,False,-1,False,12
ketchup,2,140,140,True,0,0,0,0,1.0,1.0,1.0,1.0,True,False,56,True,0
ketchup,3,146,146,True,0,0,0,0,1.0,1.0,1.0,1.0,True,False,55,True,55
alphabet_soup,2,144,144,True,0,0,0,0,1.0,1.0,1.0,1.0,True,False,55,True,55
alphabet_soup,1,205,205,True,0,0,0,0,1.0,1.0,1.0,1.0,True,False,122,True,62
