task_key,state_id,input_sha256,output_sha256,input_row_count,output_row_count,remapper_version,grasp_privilege_valid,placement_privilege_valid
butter,2,d689d14ef54426b0c6a3e0440d11f50e2d57bfc387a27b9b5611f9fa41c3de71,21c05ae9b5dc9b521a7755ac6a6ff7fa974ed6b4b92e9dba7b50ffd92c1ade68,158,158,rc1a_corrected_v2_e1_5,True,False
butter,1,d87263357b162245fe177a541a28292610c2b94ee3d9acb36a93de532659c490,77a214991e66689c1ac672cb6964b140b3392620c0ec89a68e2f22a8bd507f7b,160,160,rc1a_corrected_v2_e1_5,True,False
cream_cheese,2,ec070d9d01c8fd2f2677665a0dc04f600d35b6702d662335bc39689b23b72c92,f384a65e22d4001b6a7014a4e33ec8acfb1f43f56e841be7137f7f4417d2dad6,135,135,rc1a_corrected_v2_e1_5,True,False
cream_cheese,1,7c824fd3401c29576ac7c9f19740c6c70026f6e63146356599c5f8b68fda109a,bcdc992479988d4286ab618d202902685c659c65b619badd0e570569a5dc7d6c,126,126,rc1a_corrected_v2_e1_5,True,False
bbq_sauce,0,87e05dff1c1de1cedc2aefbaa723eeeffb787debf8d2927a7f758a3f43a39271,f6d64c6cbab5db50b85edeb0c5ee2c366208a20309ef178862a3f717289a6edf,163,163,rc1a_corrected_v2_e1_5,True,False
bbq_sauce,2,b937990a5c8b16939f9719c903ec5dfff0c449dc1a63756a98dfac583d8fc4a1,33b1ff8a3348330959cd0c185a681789d74e6cffa9db2fa7b0b34fcfaa051aa8,280,280,rc1a_corrected_v2_e1_5,True,False
chocolate_pudding,2,189005f961996c5f78e2dba5cc4773b2454cc9271df27f896f8ca72d70de025b,15f02f560a7b7bf8d4ab945446f5e356127629a811b05bfd515b4540098e0766,159,159,rc1a_corrected_v2_e1_5,True,False
chocolate_pudding,1,87be5804ad90e61898bea8edd95b45313f37828f9829342e101ef4ad98e89a3d,88f84a77878aa3a06d142ac9f714ab79034d64447d60d7f7e41dfcba98288a15,280,280,rc1a_corrected_v2_e1_5,True,False
ketchup,2,956bcb6a543f02893d9673113107f2633bb8bf109d4a577ec3b7c90770ef908d,f2e29ebc8259dadb58163ff939ae0cd8a2c11a8697cbe9705371d7d32b072976,140,140,rc1a_corrected_v2_e1_5,True,False
ketchup,3,3c2c0d9212bb8d713c59656c794e3a6bd066fde4ef1d9134d698414ed9bd8863,9a713bea2cb9c4ea27a6ffd223519055c410ee1df72e0fa6f2d017efb93925ad,146,146,rc1a_corrected_v2_e1_5,True,False
alphabet_soup,2,08557864c4af677f19c496e94be5e265e03e921dc6d7a4d3ccea4e88fef15657,148acbab929bbcd0890d9bd67ebf7a2768894694cd0388cd17cdd8ae3cb8a0a0,144,144,rc1a_corrected_v2_e1_5,True,False
alphabet_soup,1,adfc7c87e28d478311ed68d730a43e30c1ae1b060b7a580389eb5c44c0dc4ffb,93cf57f6bd448cbc5280afe5c250cae625cafd5acf68b9b34196db29f2e73ce9,205,205,rc1a_corrected_v2_e1_5,True,False
