proposal_id,selector_version,source_commit,source_trace_path,source_trace_sha256,suite,task_key,task_id,state_id,eval_seed,instruction,window_start,window_end,anchor_step,predicted_first_close_step,first_close_horizon,phase_label,phase_confidence,closure_criticality,release_safe_score,selector_score,selection_mode,is_online,mechanism_type,mechanism_eligible,eligible,abstain_reason,uses_clean_only,uses_attack_outcome,uses_random_outcome,uses_privileged_state,features_are_causal,selection_is_causal,prediction_mode,history_length,selector_config_sha256,feature_schema_version,selector_role,mode
butter_s2_l12v3_off_remap_butter_s2,l12_close_event_interceptor_v4,e87820a4a8e855965420ef3c7936a73643670c39,outputs\l12_e2_0f72fda_e87820a\remap_butter_s2.csv,21c05ae9b5dc9b521a7755ac6a6ff7fa974ed6b4b92e9dba7b50ffd92c1ade68,libero_object,butter,butter,2,0,,-1,-1,-1,-1,4,,0.0,0.0,0.0,0.0,offline_clean_repeat,False,,False,False,ambiguous_multiple_close_candidates,True,False,False,False,True,False,,16,35ce6affe394a4148ae5d8db6b70deaf120c223dcad5c2a8c9e9c9361e44c90a,l12_v4,student,offline
butter_s2_l12v3_on_remap_butter_s2,l12_close_event_interceptor_v4,e87820a4a8e855965420ef3c7936a73643670c39,outputs\l12_e2_0f72fda_e87820a\remap_butter_s2.csv,21c05ae9b5dc9b521a7755ac6a6ff7fa974ed6b4b92e9dba7b50ffd92c1ade68,libero_object,butter,butter,2,0,,4,14,4,4,0,,0.6599999999999999,0.6599999999999999,0.0,3.3,online_streaming,True,,False,True,,True,False,False,False,True,True,observed_close_interception,16,35ce6affe394a4148ae5d8db6b70deaf120c223dcad5c2a8c9e9c9361e44c90a,l12_v4,student,online
butter_s1_l12v3_off_remap_butter_s1,l12_close_event_interceptor_v4,e87820a4a8e855965420ef3c7936a73643670c39,outputs\l12_e2_0f72fda_e87820a\remap_butter_s1.csv,77a214991e66689c1ac672cb6964b140b3392620c0ec89a68e2f22a8bd507f7b,libero_object,butter,butter,1,0,,-1,-1,-1,-1,4,,0.0,0.0,0.0,0.0,offline_clean_repeat,False,,False,False,ambiguous_multiple_close_candidates,True,False,False,False,True,False,,16,35ce6affe394a4148ae5d8db6b70deaf120c223dcad5c2a8c9e9c9361e44c90a,l12_v4,student,offline
butter_s1_l12v3_on_remap_butter_s1,l12_close_event_interceptor_v4,e87820a4a8e855965420ef3c7936a73643670c39,outputs\l12_e2_0f72fda_e87820a\remap_butter_s1.csv,77a214991e66689c1ac672cb6964b140b3392620c0ec89a68e2f22a8bd507f7b,libero_object,butter,butter,1,0,,6,16,6,6,0,,0.6599999999999999,0.6599999999999999,0.0,3.3,online_streaming,True,,False,True,,True,False,False,False,True,True,observed_close_interception,16,35ce6affe394a4148ae5d8db6b70deaf120c223dcad5c2a8c9e9c9361e44c90a,l12_v4,student,online
cream_cheese_s2_l12v3_off_emap_cream_cheese_s2,l12_close_event_interceptor_v4,e87820a4a8e855965420ef3c7936a73643670c39,outputs\l12_e2_0f72fda_e87820a\remap_cream_cheese_s2.csv,f384a65e22d4001b6a7014a4e33ec8acfb1f43f56e841be7137f7f4417d2dad6,libero_object,cream_cheese,cream_cheese,2,0,,-1,-1,-1,-1,4,,0.0,0.0,0.0,0.0,offline_clean_repeat,False,,False,False,ambiguous_multiple_close_candidates,True,False,False,False,True,False,,16,35ce6affe394a4148ae5d8db6b70deaf120c223dcad5c2a8c9e9c9361e44c90a,l12_v4,student,offline
cream_cheese_s2_l12v3_on_emap_cream_cheese_s2,l12_close_event_interceptor_v4,e87820a4a8e855965420ef3c7936a73643670c39,outputs\l12_e2_0f72fda_e87820a\remap_cream_cheese_s2.csv,f384a65e22d4001b6a7014a4e33ec8acfb1f43f56e841be7137f7f4417d2dad6,libero_object,cream_cheese,cream_cheese,2,0,,59,69,59,59,0,,0.6599999999999999,0.6599999999999999,0.0,3.3,online_streaming,True,,False,True,,True,False,False,False,True,True,observed_close_interception,16,35ce6affe394a4148ae5d8db6b70deaf120c223dcad5c2a8c9e9c9361e44c90a,l12_v4,student,online
cream_cheese_s1_l12v3_off_emap_cream_cheese_s1,l12_close_event_interceptor_v4,e87820a4a8e855965420ef3c7936a73643670c39,outputs\l12_e2_0f72fda_e87820a\remap_cream_cheese_s1.csv,bcdc992479988d4286ab618d202902685c659c65b619badd0e570569a5dc7d6c,libero_object,cream_cheese,cream_cheese,1,0,,-1,-1,-1,-1,4,,0.0,0.0,0.0,0.0,offline_clean_repeat,False,,False,False,ambiguous_multiple_close_candidates,True,False,False,False,True,False,,16,35ce6affe394a4148ae5d8db6b70deaf120c223dcad5c2a8c9e9c9361e44c90a,l12_v4,student,offline
cream_cheese_s1_l12v3_on_emap_cream_cheese_s1,l12_close_event_interceptor_v4,e87820a4a8e855965420ef3c7936a73643670c39,outputs\l12_e2_0f72fda_e87820a\remap_cream_cheese_s1.csv,bcdc992479988d4286ab618d202902685c659c65b619badd0e570569a5dc7d6c,libero_object,cream_cheese,cream_cheese,1,0,,8,18,8,8,0,,0.6599999999999999,0.6599999999999999,0.0,3.3,online_streaming,True,,False,True,,True,False,False,False,True,True,observed_close_interception,16,35ce6affe394a4148ae5d8db6b70deaf120c223dcad5c2a8c9e9c9361e44c90a,l12_v4,student,online
bbq_sauce_s0_l12v3_off_remap_bbq_sauce_s0,l12_close_event_interceptor_v4,e87820a4a8e855965420ef3c7936a73643670c39,outputs\l12_e2_0f72fda_e87820a\remap_bbq_sauce_s0.csv,f6d64c6cbab5db50b85edeb0c5ee2c366208a20309ef178862a3f717289a6edf,libero_object,bbq_sauce,bbq_sauce,0,0,,-1,-1,-1,-1,4,,0.0,0.0,0.0,0.0,offline_clean_repeat,False,,False,False,ambiguous_multiple_close_candidates,True,False,False,False,True,False,,16,35ce6affe394a4148ae5d8db6b70deaf120c223dcad5c2a8c9e9c9361e44c90a,l12_v4,student,offline
bbq_sauce_s0_l12v3_on_remap_bbq_sauce_s0,l12_close_event_interceptor_v4,e87820a4a8e855965420ef3c7936a73643670c39,outputs\l12_e2_0f72fda_e87820a\remap_bbq_sauce_s0.csv,f6d64c6cbab5db50b85edeb0c5ee2c366208a20309ef178862a3f717289a6edf,libero_object,bbq_sauce,bbq_sauce,0,0,,52,62,52,52,0,,0.76,0.76,0.0,3.8,online_streaming,True,,False,True,,True,False,False,False,True,True,observed_close_interception,16,35ce6affe394a4148ae5d8db6b70deaf120c223dcad5c2a8c9e9c9361e44c90a,l12_v4,student,online
bbq_sauce_s2_l12v3_off_remap_bbq_sauce_s2,l12_close_event_interceptor_v4,e87820a4a8e855965420ef3c7936a73643670c39,outputs\l12_e2_0f72fda_e87820a\remap_bbq_sauce_s2.csv,33b1ff8a3348330959cd0c185a681789d74e6cffa9db2fa7b0b34fcfaa051aa8,libero_object,bbq_sauce,bbq_sauce,2,0,,-1,-1,-1,-1,4,,0.0,0.0,0.0,0.0,offline_clean_repeat,False,,False,False,ambiguous_multiple_close_candidates,True,False,False,False,True,False,,16,35ce6affe394a4148ae5d8db6b70deaf120c223dcad5c2a8c9e9c9361e44c90a,l12_v4,student,offline
