task_key,state_id,candidate_step,is_teacher_p_anchor,is_teacher_r_anchor,is_online_first_trigger,total_score,raw_open_to_close_crossing,close_onset,close_streak,qpos,disabled_features,distance_to_teacher_p,abstain
butter,2,4,0,1,1,3.3,1,1,0,-2.606e-,,-64,
butter,2,8,0,0,0,3.3,1,1,0,-3.263e-,,-60,
butter,2,10,0,0,0,3.3,1,1,0,-1.899e-,,-58,
butter,2,68,1,0,0,3.8,1,1,0,-0.00153,,0,
butter,2,145,0,0,0,3.3,1,1,0,0.000209,,77,
butter,2,151,0,0,0,3.3,1,1,0,3.641e-0,,83,
butter,1,6,0,1,1,3.3,1,1,0,-3.39e-0,,-66,
butter,1,10,0,0,0,3.8,1,1,0,-1.901e-,,-62,
butter,1,16,0,0,0,3.3,1,1,0,-0.00022,,-56,
butter,1,19,0,0,0,3.8,1,1,0,-0.00014,,-53,
butter,1,22,0,0,0,3.3,1,1,0,-0.00029,,-50,
butter,1,24,0,0,0,3.3,1,1,0,-6.351e-,,-48,
butter,1,27,0,0,0,3.3,1,1,0,-0.00026,,-45,
butter,1,30,0,0,0,3.3,1,1,0,-0.00026,,-42,
butter,1,72,1,0,0,3.3,1,1,0,-0.00012,,0,
cream_cheese,2,59,0,1,1,3.3,1,1,0,-3.493e-,,-4,
cream_cheese,2,63,1,0,0,3.8,1,1,0,0.001935,,0,
cream_cheese,2,129,0,0,0,3.3,1,1,0,-0.00189,,66,
cream_cheese,2,133,0,0,0,3.3,1,1,0,-0.00058,,70,
cream_cheese,1,8,0,1,1,3.3,1,1,0,-5.45e-0,,-46,
cream_cheese,1,54,1,0,0,3.3,1,1,0,-8.45e-0,,0,
cream_cheese,1,56,0,0,0,3.3,1,1,0,-6.887e-,,2,
cream_cheese,1,113,0,0,0,3.8,1,1,0,-0.00186,,59,
bbq_sauce,0,52,0,1,1,3.8,1,1,0,-1.916e-,,-33,
bbq_sauce,0,55,0,0,0,3.8,1,1,0,-2.678e-,,-30,
bbq_sauce,0,57,0,0,0,3.3,1,1,0,-1.554e-,,-28,
bbq_sauce,0,68,0,0,0,3.3,1,1,0,2.85e-06,,-17,
bbq_sauce,0,85,1,0,0,3.3,1,1,0,-1.429e-,,0,
bbq_sauce,0,155,0,0,0,3.8,1,1,0,-2.521e-,,70,
bbq_sauce,0,157,0,0,0,3.8,1,1,0,-7.87e-0,,72,
bbq_sauce,2,49,0,1,1,3.3,1,1,0,1.097e-0,,,
bbq_sauce,2,51,0,0,0,3.3,1,1,0,2.064e-0,,,
bbq_sauce,2,66,0,0,0,3.3,1,1,0,-3.28e-0,,,
bbq_sauce,2,75,0,0,0,3.8,1,1,0,-5.542e-,,,
bbq_sauce,2,79,0,0,0,3.3,1,1,0,-4.555e-,,,
bbq_sauce,2,81,0,0,0,3.3,1,1,0,-3.935e-,,,
bbq_sauce,2,89,0,0,0,3.3,1,1,0,-4.657e-,,,
bbq_sauce,2,94,0,0,0,3.3,1,1,0,-4.67e-0,,,
bbq_sauce,2,97,0,0,0,3.3,1,1,0,-4.451e-,,,
bbq_sauce,2,99,0,0,0,3.3,1,1,0,-4.021e-,,,
bbq_sauce,2,116,0,0,0,3.3,1,1,0,-5.575e-,,,
bbq_sauce,2,118,0,0,0,3.3,1,1,0,-6.169e-,,,
bbq_sauce,2,144,0,0,0,3.3,1,1,0,-0.00013,,,
bbq_sauce,2,147,0,0,0,3.8,1,1,0,-0.00014,,,
bbq_sauce,2,152,0,0,0,3.3,1,1,0,-0.00016,,,
bbq_sauce,2,156,0,0,0,3.3,1,1,0,-0.00014,,,
bbq_sauce,2,160,0,0,0,3.8,1,1,0,-0.00013,,,
bbq_sauce,2,178,0,0,0,3.3,1,1,0,-0.00015,,,
bbq_sauce,2,182,0,0,0,3.8,1,1,0,-0.00013,,,
bbq_sauce,2,189,0,0,0,3.3,1,1,0,-0.00014,,,
bbq_sauce,2,197,0,0,0,3.8,1,1,0,-0.00703,,,
bbq_sauce,2,204,0,0,0,3.3,1,1,0,-0.00970,,,
bbq_sauce,2,223,0,0,0,3.3,1,1,0,-0.00021,,,
bbq_sauce,2,235,0,0,0,3.3,1,1,0,-0.00016,,,
bbq_sauce,2,240,0,0,0,3.3,1,1,0,-0.00013,,,
bbq_sauce,2,247,0,0,0,3.3,1,1,0,-0.00011,,,
bbq_sauce,2,249,0,0,0,3.3,1,1,0,-0.00011,,,
bbq_sauce,2,252,0,0,0,3.3,1,1,0,-0.00013,,,
bbq_sauce,2,265,0,0,0,3.3,1,1,0,0.000819,,,
chocolate_pudding,2,58,1,1,1,3.3,1,1,0,-6.146e-,,0,
chocolate_pudding,2,149,0,0,0,3.3,1,1,0,-0.00229,,91,
chocolate_pudding,2,154,0,0,0,3.8,1,1,0,-0.00113,,96,
chocolate_pudding,1,12,0,1,1,3.3,1,1,0,-7.259e-,,,
chocolate_pudding,1,16,0,0,0,3.3,1,1,0,-4.267e-,,,
chocolate_pudding,1,18,0,0,0,3.3,1,1,0,-9.267e-,,,
ketchup,2,56,1,0,1,3.3,1,1,0,-4.889e-,,0,
ketchup,3,55,1,1,1,3.3,1,1,0,-5.331e-,,0,
ketchup,3,143,0,0,0,3.3,1,1,0,-0.00011,,88,
ketchup,3,145,0,0,0,3.8,1,1,0,-0.00012,,90,
alphabet_soup,2,55,1,1,1,3.3,1,1,0,-0.00012,,0,
alphabet_soup,1,62,0,1,1,3.3,1,1,0,-0.00835,,-60,
alphabet_soup,1,64,0,0,0,3.3,1,1,0,-0.01129,,-58,
alphabet_soup,1,67,0,0,0,3.3,1,1,0,-0.01491,,-55,
alphabet_soup,1,84,0,0,0,3.3,1,1,0,-6.89e-0,,-38,
alphabet_soup,1,89,0,0,0,3.8,1,1,0,-8.084e-,,-33,
alphabet_soup,1,93,0,0,0,3.8,1,1,0,-6.808e-,,-29,
