tie_tolerance,min_close_separation,event_score_floor,online_threshold,n_traces,n_p_available,off_eligible_pct,off_ambiguous_pct,off_all_abstain_pct,off_correct_pct,off_mae,on_triggered_pct,on_correct_pct,on_early_spurious_pct,on_no_trigger_pct
0.1,5,0.3,1.0,12,10,70.0,30.0,0.0,40.0,35.0,100.0,50.0,50.0,0.0
0.1,5,0.3,1.5,12,10,70.0,30.0,0.0,40.0,35.0,100.0,50.0,50.0,0.0
0.1,5,0.3,2.0,12,10,70.0,30.0,0.0,40.0,35.0,100.0,50.0,50.0,0.0
0.1,5,0.3,2.5,12,10,70.0,30.0,0.0,40.0,35.0,100.0,50.0,50.0,0.0
0.1,5,0.5,1.0,12,10,70.0,30.0,0.0,40.0,35.0,100.0,50.0,50.0,0.0
0.1,5,0.5,1.5,12,10,70.0,30.0,0.0,40.0,35.0,100.0,50.0,50.0,0.0
0.1,5,0.5,2.0,12,10,70.0,30.0,0.0,40.0,35.0,100.0,50.0,50.0,0.0
0.1,5,0.5,2.5,12,10,70.0,30.0,0.0,40.0,35.0,100.0,50.0,50.0,0.0
0.1,5,0.8,1.0,12,10,70.0,30.0,0.0,40.0,35.0,100.0,50.0,50.0,0.0
0.1,5,0.8,1.5,12,10,70.0,30.0,0.0,40.0,35.0,100.0,50.0,50.0,0.0
0.1,5,0.8,2.0,12,10,70.0,30.0,0.0,40.0,35.0,100.0,50.0,50.0,0.0
0.1,5,0.8,2.5,12,10,70.0,30.0,0.0,40.0,35.0,100.0,50.0,50.0,0.0
0.1,10,0.3,1.0,12,10,90.0,10.0,0.0,40.0,37.78,100.0,50.0,50.0,0.0
0.1,10,0.3,1.5,12,10,90.0,10.0,0.0,40.0,37.78,100.0,50.0,50.0,0.0
0.1,10,0.3,2.0,12,10,90.0,10.0,0.0,40.0,37.78,100.0,50.0,50.0,0.0
0.1,10,0.3,2.5,12,10,90.0,10.0,0.0,40.0,37.78,100.0,50.0,50.0,0.0
0.1,10,0.5,1.0,12,10,90.0,10.0,0.0,40.0,37.78,100.0,50.0,50.0,0.0
0.1,10,0.5,1.5,12,10,90.0,10.0,0.0,40.0,37.78,100.0,50.0,50.0,0.0
0.1,10,0.5,2.0,12,10,90.0,10.0,0.0,40.0,37.78,100.0,50.0,50.0,0.0
0.1,10,0.5,2.5,12,10,90.0,10.0,0.0,40.0,37.78,100.0,50.0,50.0,0.0
0.1,10,0.8,1.0,12,10,90.0,10.0,0.0,40.0,37.78,100.0,50.0,50.0,0.0
0.1,10,0.8,1.5,12,10,90.0,10.0,0.0,40.0,37.78,100.0,50.0,50.0,0.0
0.1,10,0.8,2.0,12,10,90.0,10.0,0.0,40.0,37.78,100.0,50.0,50.0,0.0
0.1,10,0.8,2.5,12,10,90.0,10.0,0.0,40.0,37.78,100.0,50.0,50.0,0.0
0.1,20,0.3,1.0,12,10,90.0,10.0,0.0,40.0,37.78,100.0,50.0,50.0,0.0
