task_key,state_id,candidate_step,candidate_index,is_teacher_p,is_teacher_r,total_score,raw_crossing_bonus,close_streak_bonus,close_onset_qpos_bonus,eef_deceleration_bonus,qpos_ready_bonus,eef_speed_now,eef_speed_prev,close_onset,close_streak,qpos,raw_crossing,time_since_prev_close,disabled_features
butter,2,4,0,0,1,3.3,1.5,1.0,0.5,0.0,0.3,0.00237,0.002154,1,,-2.606e-05,1,,
butter,2,8,1,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.004765,0.002956,1,,-3.263e-05,1,4,
butter,2,10,2,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.005359,0.005316,1,,-1.899e-05,1,2,
butter,2,68,3,1,0,3.8,1.5,1.0,0.5,0.5,0.3,0.004043,0.015414,1,,-0.0015316,1,58,
butter,2,145,4,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.014404,0.019407,1,,0.00020945,1,77,
butter,2,151,5,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.011067,0.007772,1,,3.641e-05,1,6,
butter,1,6,0,0,1,3.3,1.5,1.0,0.5,0.0,0.3,0.002622,0.002035,1,,-3.39e-06,1,,
butter,1,10,1,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.007996,0.009482,1,,-1.901e-05,1,4,
butter,1,16,2,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.011811,0.008655,1,,-0.0002254,1,6,
butter,1,19,3,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.004296,0.005629,1,,-0.0001401,1,3,
butter,1,22,4,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.006156,0.005376,1,,-0.0002900,1,3,
butter,1,24,5,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.007066,0.006658,1,,-6.351e-05,1,2,
butter,1,27,6,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.008425,0.006572,1,,-0.0002657,1,3,
butter,1,30,7,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.023032,0.022053,1,,-0.0002656,1,3,
butter,1,72,8,1,0,3.3,1.5,1.0,0.5,0.0,0.3,0.039279,0.042336,1,,-0.0001257,1,42,
cream_cheese,2,59,0,0,1,3.3,1.5,1.0,0.5,0.0,0.3,0.025411,0.023434,1,,-3.493e-05,1,,
cream_cheese,2,63,1,1,0,3.8,1.5,1.0,0.5,0.5,0.3,0.00772,0.016192,1,,0.00193507,1,4,
cream_cheese,2,129,2,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.005006,0.004436,1,,-0.0018942,1,66,
cream_cheese,2,133,3,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.010625,0.005956,1,,-0.0005877,1,4,
cream_cheese,1,8,0,0,1,3.3,1.5,1.0,0.5,0.0,0.3,0.00603,0.003815,1,,-5.45e-06,1,,
cream_cheese,1,54,1,1,0,3.3,1.5,1.0,0.5,0.0,0.3,0.026407,0.027725,1,,-8.45e-05,1,46,
cream_cheese,1,56,2,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.022114,0.024034,1,,-6.887e-05,1,2,
cream_cheese,1,113,3,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.009136,0.017749,1,,-0.0018629,1,57,
bbq_sauce,0,52,0,0,1,3.8,1.5,1.0,0.5,0.5,0.3,0.002566,0.003954,1,,-1.916e-05,1,,
bbq_sauce,0,55,1,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.002299,0.003809,1,,-2.678e-05,1,3,
bbq_sauce,0,57,2,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.002349,0.000608,1,,-1.554e-05,1,2,
bbq_sauce,0,68,3,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.015631,0.0137,1,,2.85e-06,1,11,
bbq_sauce,0,85,4,1,0,3.3,1.5,1.0,0.5,0.0,0.3,0.01582,0.017023,1,,-1.429e-05,1,17,
bbq_sauce,0,155,5,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.007093,0.009996,1,,-2.521e-05,1,70,
bbq_sauce,0,157,6,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.005447,0.006135,1,,-7.87e-06,1,2,
bbq_sauce,2,49,0,0,1,3.3,1.5,1.0,0.5,0.0,0.3,0.020601,0.022981,1,,1.097e-05,1,,
bbq_sauce,2,51,1,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.018863,0.018715,1,,2.064e-05,1,2,
bbq_sauce,2,66,2,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.021981,0.019586,1,,-3.28e-05,1,15,
bbq_sauce,2,75,3,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.003339,0.004637,1,,-5.542e-05,1,9,
bbq_sauce,2,79,4,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.004712,0.004193,1,,-4.555e-05,1,4,
bbq_sauce,2,81,5,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.006143,0.00586,1,,-3.935e-05,1,2,
bbq_sauce,2,89,6,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.004282,0.004193,1,,-4.657e-05,1,8,
bbq_sauce,2,94,7,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.004532,0.004496,1,,-4.67e-05,1,5,
bbq_sauce,2,97,8,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.007682,0.004872,1,,-4.451e-05,1,3,
bbq_sauce,2,99,9,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.008986,0.008981,1,,-4.021e-05,1,2,
bbq_sauce,2,116,10,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.026496,0.025568,1,,-5.575e-05,1,17,
bbq_sauce,2,118,11,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.022977,0.024296,1,,-6.169e-05,1,2,
bbq_sauce,2,144,12,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.030276,0.03797,1,,-0.000135,1,26,
bbq_sauce,2,147,13,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.00827,0.010256,1,,-0.0001490,1,3,
bbq_sauce,2,152,14,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.00973,0.007663,1,,-0.0001670,1,5,
bbq_sauce,2,156,15,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.011065,0.016396,1,,-0.0001443,1,4,
bbq_sauce,2,160,16,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.002507,0.002768,1,,-0.0001348,1,4,
bbq_sauce,2,178,17,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.019641,0.025589,1,,-0.0001576,1,18,
bbq_sauce,2,182,18,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.009568,0.010373,1,,-0.0001376,1,4,
bbq_sauce,2,189,19,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.02255,0.018466,1,,-0.0001453,1,7,
bbq_sauce,2,197,20,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.003514,0.004551,1,,-0.0070390,1,8,
bbq_sauce,2,204,21,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.005119,0.004417,1,,-0.0097035,1,7,
bbq_sauce,2,223,22,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.019432,0.017655,1,,-0.0002188,1,19,
bbq_sauce,2,235,23,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.017798,0.012221,1,,-0.0001601,1,12,
bbq_sauce,2,240,24,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.014916,0.008202,1,,-0.0001351,1,5,
bbq_sauce,2,247,25,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.027021,0.027436,1,,-0.0001187,1,7,
bbq_sauce,2,249,26,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.019052,0.021917,1,,-0.0001181,1,2,
bbq_sauce,2,252,27,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.016717,0.017229,1,,-0.0001362,1,3,
bbq_sauce,2,265,28,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.002198,0.002133,1,,0.00081948,1,13,
chocolate_pudding,2,58,0,1,1,3.3,1.5,1.0,0.5,0.0,0.3,0.027703,0.028474,1,,-6.146e-05,1,,
chocolate_pudding,2,149,1,0,0,3.3,1.5,1.0,0.5,0.0,0.3,0.008949,0.005658,1,,-0.0022926,1,91,
chocolate_pudding,2,154,2,0,0,3.8,1.5,1.0,0.5,0.5,0.3,0.003493,0.007552,1,,-0.0011316,1,5,
chocolate_pudding,1,12,0,0,1,3.3,1.5,1.0,0.5,0.0,0.3,0.019773,0.015268,1,,-7.259e-05,1,,
