task_key,state_id,feature,teacher_p_value,n_strictly_higher,n_strictly_lower,n_equal,competition_rank_high,competition_rank_low,n_candidates_with_feature
butter,2,total_score,3.8,0,5,1,1,6,6
butter,2,eef_deceleration_bonus,0.5,0,5,1,1,6,6
butter,2,eef_speed_now,0.00404,3,1,2,4,2,6
butter,2,eef_speed_prev,0.01541,1,4,1,2,5,6
butter,2,eef_deceleration_delta,-0.01137,5,0,1,6,1,6
butter,2,qpos,-0.00153,5,0,1,6,1,6
butter,2,time_since_prev_close,58.0,1,3,1,2,4,5
butter,2,candidate_index,3.0,2,3,1,3,4,6
butter,1,total_score,3.3,2,0,7,3,1,9
butter,1,eef_deceleration_bonus,0.0,2,0,7,3,1,9
butter,1,eef_speed_now,0.03928,0,8,1,1,9,9
butter,1,eef_speed_prev,0.04234,0,8,1,1,9,9
butter,1,eef_deceleration_delta,-0.00306,8,0,1,9,1,9
butter,1,qpos,-0.00013,0,0,9,1,1,9
butter,1,time_since_prev_close,42.0,0,7,1,1,8,8
butter,1,candidate_index,8.0,0,8,1,1,9,9
cream_cheese,2,total_score,3.8,0,3,1,1,4,4
cream_cheese,2,eef_deceleration_bonus,0.5,0,3,1,1,4,4
cream_cheese,2,eef_speed_now,0.00772,2,1,1,3,2,4
cream_cheese,2,eef_speed_prev,0.01619,1,2,1,2,3,4
cream_cheese,2,eef_deceleration_delta,-0.00847,3,0,1,4,1,4
cream_cheese,2,qpos,0.00194,0,3,1,1,4,4
cream_cheese,2,time_since_prev_close,4.0,1,0,2,2,1,3
cream_cheese,2,candidate_index,1.0,2,1,1,3,2,4
cream_cheese,1,total_score,3.3,1,0,3,2,1,4
cream_cheese,1,eef_deceleration_bonus,0.0,1,0,3,2,1,4
cream_cheese,1,eef_speed_now,0.02641,0,3,1,1,4,4
cream_cheese,1,eef_speed_prev,0.02772,0,3,1,1,4,4
cream_cheese,1,eef_deceleration_delta,-0.00132,1,1,2,2,2,4
cream_cheese,1,qpos,-8e-05,0,1,3,1,2,4
cream_cheese,1,time_since_prev_close,46.0,1,1,1,2,2,3
cream_cheese,1,candidate_index,1.0,2,1,1,3,2,4
bbq_sauce,0,total_score,3.3,4,0,3,5,1,7
bbq_sauce,0,eef_deceleration_bonus,0.0,4,0,3,5,1,7
bbq_sauce,0,eef_speed_now,0.01582,0,5,2,1,6,7
bbq_sauce,0,eef_speed_prev,0.01702,0,6,1,1,7,7
bbq_sauce,0,eef_deceleration_delta,-0.0012,2,1,4,3,2,7
bbq_sauce,0,qpos,-1e-05,0,0,7,1,1,7
bbq_sauce,0,time_since_prev_close,17.0,1,4,1,2,5,6
bbq_sauce,0,candidate_index,4.0,2,4,1,3,5,7
chocolate_pudding,2,total_score,3.3,1,0,2,2,1,3
chocolate_pudding,2,eef_deceleration_bonus,0.0,1,0,2,2,1,3
chocolate_pudding,2,eef_speed_now,0.0277,0,2,1,1,3,3
chocolate_pudding,2,eef_speed_prev,0.02847,0,2,1,1,3,3
chocolate_pudding,2,eef_deceleration_delta,-0.00077,1,1,1,2,2,3
chocolate_pudding,2,qpos,-6e-05,0,2,1,1,3,3
chocolate_pudding,2,candidate_index,0.0,2,0,1,3,1,3
ketchup,3,total_score,3.3,1,0,2,2,1,3
ketchup,3,eef_deceleration_bonus,0.0,1,0,2,2,1,3
ketchup,3,eef_speed_now,0.01002,0,2,1,1,3,3
ketchup,3,eef_speed_prev,0.01589,0,2,1,1,3,3
ketchup,3,eef_deceleration_delta,-0.00588,2,0,1,3,1,3
ketchup,3,qpos,-5e-05,0,0,3,1,1,3
ketchup,3,candidate_index,0.0,2,0,1,3,1,3
alphabet_soup,1,total_score,3.3,3,0,7,4,1,10
alphabet_soup,1,eef_deceleration_bonus,0.0,3,0,7,4,1,10
alphabet_soup,1,eef_speed_now,0.02598,0,9,1,1,10,10
alphabet_soup,1,eef_speed_prev,0.02872,0,9,1,1,10,10
alphabet_soup,1,eef_deceleration_delta,-0.00274,4,4,2,5,5,10
alphabet_soup,1,qpos,-9e-05,0,3,7,1,4,10
alphabet_soup,1,time_since_prev_close,22.0,0,8,1,1,9,9
alphabet_soup,1,candidate_index,9.0,0,9,1,1,10,10
