task_key,state_id,teacher_p_available,teacher_p_anchor,policy,trigger_step,delay_from_first,abs_error_vs_P,is_near_P
butter,2,True,68,first_threshold,4,0,64,0
butter,2,True,68,peak_hold_2,4,0,64,0
butter,2,True,68,peak_hold_4,4,0,64,0
butter,2,True,68,peak_hold_8,4,0,64,0
butter,2,True,68,local_maximum,68,64,0,1
butter,2,True,68,score_margin_0.3,68,64,0,1
butter,2,True,68,close_peak_4,4,0,64,0
butter,2,True,68,noncausal_oracle,68,-1,0,1
butter,1,True,72,first_threshold,6,0,66,0
butter,1,True,72,peak_hold_2,6,0,66,0
butter,1,True,72,peak_hold_4,10,4,62,0
butter,1,True,72,peak_hold_8,10,4,62,0
butter,1,True,72,local_maximum,72,66,0,1
butter,1,True,72,score_margin_0.3,10,4,62,0
butter,1,True,72,close_peak_4,10,4,62,0
butter,1,True,72,noncausal_oracle,10,-1,62,0
cream_cheese,2,True,63,first_threshold,59,0,4,1
cream_cheese,2,True,63,peak_hold_2,59,0,4,1
cream_cheese,2,True,63,peak_hold_4,63,4,0,1
cream_cheese,2,True,63,peak_hold_8,63,4,0,1
cream_cheese,2,True,63,local_maximum,63,4,0,1
cream_cheese,2,True,63,score_margin_0.3,63,4,0,1
cream_cheese,2,True,63,close_peak_4,63,4,0,1
cream_cheese,2,True,63,noncausal_oracle,63,-1,0,1
cream_cheese,1,True,54,first_threshold,8,0,46,0
cream_cheese,1,True,54,peak_hold_2,8,0,46,0
cream_cheese,1,True,54,peak_hold_4,8,0,46,0
cream_cheese,1,True,54,peak_hold_8,8,0,46,0
cream_cheese,1,True,54,local_maximum,113,105,59,0
cream_cheese,1,True,54,score_margin_0.3,113,105,59,0
cream_cheese,1,True,54,close_peak_4,8,0,46,0
cream_cheese,1,True,54,noncausal_oracle,113,-1,59,0
bbq_sauce,0,True,85,first_threshold,52,0,33,0
bbq_sauce,0,True,85,peak_hold_2,52,0,33,0
bbq_sauce,0,True,85,peak_hold_4,52,0,33,0
bbq_sauce,0,True,85,peak_hold_8,52,0,33,0
bbq_sauce,0,True,85,local_maximum,157,105,72,0
bbq_sauce,0,True,85,score_margin_0.3,52,0,33,0
bbq_sauce,0,True,85,close_peak_4,52,0,33,0
bbq_sauce,0,True,85,noncausal_oracle,52,-1,33,0
bbq_sauce,2,False,-1,first_threshold,49,0,,
bbq_sauce,2,False,-1,peak_hold_2,49,0,,
bbq_sauce,2,False,-1,peak_hold_4,49,0,,
bbq_sauce,2,False,-1,peak_hold_8,49,0,,
bbq_sauce,2,False,-1,local_maximum,81,32,,
bbq_sauce,2,False,-1,score_margin_0.3,75,26,,
bbq_sauce,2,False,-1,close_peak_4,49,0,,
bbq_sauce,2,False,-1,noncausal_oracle,75,-1,,
chocolate_pudding,2,True,58,first_threshold,58,0,0,1
chocolate_pudding,2,True,58,peak_hold_2,58,0,0,1
chocolate_pudding,2,True,58,peak_hold_4,58,0,0,1
chocolate_pudding,2,True,58,peak_hold_8,58,0,0,1
chocolate_pudding,2,True,58,local_maximum,149,91,91,0
chocolate_pudding,2,True,58,score_margin_0.3,154,96,96,0
chocolate_pudding,2,True,58,close_peak_4,58,0,0,1
chocolate_pudding,2,True,58,noncausal_oracle,154,-1,96,0
chocolate_pudding,1,False,-1,first_threshold,12,0,,
chocolate_pudding,1,False,-1,peak_hold_2,12,0,,
chocolate_pudding,1,False,-1,peak_hold_4,12,0,,
chocolate_pudding,1,False,-1,peak_hold_8,12,0,,
chocolate_pudding,1,False,-1,local_maximum,18,6,,
chocolate_pudding,1,False,-1,score_margin_0.3,12,0,,
chocolate_pudding,1,False,-1,close_peak_4,12,0,,
chocolate_pudding,1,False,-1,noncausal_oracle,12,-1,,
ketchup,2,True,56,first_threshold,56,0,0,1
ketchup,2,True,56,peak_hold_2,56,0,0,1
ketchup,2,True,56,peak_hold_4,56,0,0,1
ketchup,2,True,56,peak_hold_8,56,0,0,1
ketchup,2,True,56,local_maximum,56,0,0,1
ketchup,2,True,56,score_margin_0.3,56,0,0,1
ketchup,2,True,56,close_peak_4,56,0,0,1
ketchup,2,True,56,noncausal_oracle,56,-1,0,1
ketchup,3,True,55,first_threshold,55,0,0,1
ketchup,3,True,55,peak_hold_2,55,0,0,1
ketchup,3,True,55,peak_hold_4,55,0,0,1
ketchup,3,True,55,peak_hold_8,55,0,0,1
ketchup,3,True,55,local_maximum,55,0,0,1
ketchup,3,True,55,score_margin_0.3,145,90,90,0
ketchup,3,True,55,close_peak_4,55,0,0,1
ketchup,3,True,55,noncausal_oracle,145,-1,90,0
alphabet_soup,2,True,55,first_threshold,55,0,0,1
alphabet_soup,2,True,55,peak_hold_2,55,0,0,1
alphabet_soup,2,True,55,peak_hold_4,55,0,0,1
alphabet_soup,2,True,55,peak_hold_8,55,0,0,1
alphabet_soup,2,True,55,local_maximum,55,0,0,1
alphabet_soup,2,True,55,score_margin_0.3,55,0,0,1
alphabet_soup,2,True,55,close_peak_4,55,0,0,1
alphabet_soup,2,True,55,noncausal_oracle,55,-1,0,1
alphabet_soup,1,True,122,first_threshold,62,0,60,0
alphabet_soup,1,True,122,peak_hold_2,62,0,60,0
alphabet_soup,1,True,122,peak_hold_4,62,0,60,0
alphabet_soup,1,True,122,peak_hold_8,62,0,60,0
alphabet_soup,1,True,122,local_maximum,100,38,22,0
alphabet_soup,1,True,122,score_margin_0.3,89,27,33,0
alphabet_soup,1,True,122,close_peak_4,62,0,60,0
alphabet_soup,1,True,122,noncausal_oracle,89,-1,33,0
