task_key,n_total,n_tp_qualifying_0,n_tp_qualifying_1,n_tp_qualifying_gt1,n_eligible_multi,n_eligible_single,n_tp_unavailable,n_tp_ambiguous,n_no_candidate,n_other_abstain
alphabet_soup,38,3,23,12,18,5,3,12,0,0
bbq_sauce,43,24,16,3,13,3,20,3,4,0
butter,42,13,17,12,17,0,13,12,0,0
chocolate_pudding,41,9,7,25,7,0,9,25,0,0
cream_cheese,42,6,15,21,15,0,6,21,0,0
ketchup,42,3,27,12,21,6,3,12,0,0
milk,41,10,21,10,6,15,10,10,0,0
orange_juice,41,6,24,11,8,16,2,11,4,0
salad_dressing,37,6,18,13,10,8,6,13,0,0
tomato_sauce,35,7,16,12,16,0,7,12,0,0
