trace_id,task_key,state_id,grasp_privilege_valid,n_close_candidates,n_tp_qualifying_candidates,teacher_p_step,legacy_first_match_step,teacher_r_step,category
trace_alphabet_soup_s2_w0_10_s20d_clean_seed0_job250016,alphabet_soup,2,True,1,1,55,55,55,ELIGIBLE_SINGLE_CANDIDATE
trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0,True,7,1,85,85,52,ELIGIBLE_MULTI_CANDIDATE
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,True,29,0,-1,-1,49,TEACHER_P_UNAVAILABLE
trace_bbq_sauce_s3_w0_10_s20d_clean_seed0_job250003,bbq_sauce,3,True,25,0,-1,-1,64,TEACHER_P_UNAVAILABLE
trace_butter_s1_w0_10_s20d_clean_seed0_job250004,butter,1,True,9,1,72,72,6,ELIGIBLE_MULTI_CANDIDATE
trace_butter_s2_w0_10_s20d_clean_seed0_job250005,butter,2,True,6,1,68,68,4,ELIGIBLE_MULTI_CANDIDATE
trace_chocolate_pudding_s1_w0_10_s20d_clean_seed0_job250006,chocolate_pudding,1,True,3,0,-1,-1,12,TEACHER_P_UNAVAILABLE
trace_chocolate_pudding_s2_w0_10_s20d_clean_seed0_job250007,chocolate_pudding,2,True,3,1,58,58,58,ELIGIBLE_MULTI_CANDIDATE
trace_cream_cheese_s2_w0_10_s20d_clean_seed0_job250013,cream_cheese,2,True,4,1,63,63,59,ELIGIBLE_MULTI_CANDIDATE
trace_ketchup_s2_w0_10_s20d_clean_seed0_job250008,ketchup,2,True,2,1,56,56,0,ELIGIBLE_MULTI_CANDIDATE
trace_ketchup_s3_w0_10_s20d_clean_seed0_job250009,ketchup,3,True,3,1,55,55,55,ELIGIBLE_MULTI_CANDIDATE
trace_milk_s2_w0_10_s20d_clean_seed0_job250012,milk,2,True,7,0,-1,-1,0,TEACHER_P_UNAVAILABLE
trace_orange_juice_s2_w0_10_s20d_clean_seed0_job250015,orange_juice,2,True,4,3,-1,58,8,TEACHER_P_AMBIGUOUS
trace_salad_dressing_s2_w0_10_s20d_clean_seed0_job250014,salad_dressing,2,True,2,1,40,40,40,ELIGIBLE_MULTI_CANDIDATE
trace_tomato_sauce_s1_w0_10_s20d_clean_seed0_job250010,tomato_sauce,1,True,9,7,-1,53,53,TEACHER_P_AMBIGUOUS
trace_tomato_sauce_s2_w0_10_s20d_clean_seed0_job250011,tomato_sauce,2,True,2,1,97,97,97,ELIGIBLE_MULTI_CANDIDATE
trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571,alphabet_soup,1,True,10,1,122,122,62,ELIGIBLE_MULTI_CANDIDATE
trace_cream_cheese_s1_w0_10_s20d_clean_seed0_job230765,cream_cheese,1,True,4,2,-1,54,8,TEACHER_P_AMBIGUOUS
trace_milk_s1_w0_10_s20d_clean_seed0_job230490,milk,1,True,6,1,50,50,50,ELIGIBLE_MULTI_CANDIDATE
trace_orange_juice_s1_w0_10_s20d_clean_seed0_job230117,orange_juice,1,True,4,3,-1,45,43,TEACHER_P_AMBIGUOUS
trace_salad_dressing_s1_w0_10_s20d_clean_seed0_job230476,salad_dressing,1,True,1,1,57,57,57,ELIGIBLE_SINGLE_CANDIDATE
trace_alphabet_soup_s10_w0_10_s20d_clean_seed0_job330001,alphabet_soup,10,True,25,0,-1,-1,49,TEACHER_P_UNAVAILABLE
trace_alphabet_soup_s12_w0_10_s20d_clean_seed0_job330003,alphabet_soup,12,True,9,2,-1,59,59,TEACHER_P_AMBIGUOUS
trace_alphabet_soup_s13_w0_10_s20d_clean_seed0_job330004,alphabet_soup,13,True,10,2,-1,133,57,TEACHER_P_AMBIGUOUS
trace_alphabet_soup_s14_w0_10_s20d_clean_seed0_job330005,alphabet_soup,14,True,4,2,-1,48,48,TEACHER_P_AMBIGUOUS
trace_alphabet_soup_s15_w0_10_s20d_clean_seed0_job330006,alphabet_soup,15,True,9,3,-1,115,73,TEACHER_P_AMBIGUOUS
trace_alphabet_soup_s16_w0_10_s20d_clean_seed0_job330007,alphabet_soup,16,True,2,2,-1,60,60,TEACHER_P_AMBIGUOUS
trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17,True,13,1,49,49,49,ELIGIBLE_MULTI_CANDIDATE
