task,state_id,n_csv,n_live,n_frozen,count_ok,step_mismatches,abstain_mismatches,feat_mismatches,max_feat_diff,score_mismatches,max_score_diff,emit_match,live_emit,frozen_emit
alphabet_soup,2,1,1,1,True,0,0,0,1.000000000001e-06,1,8.000000000008e-06,True,55,55
alphabet_soup,10,25,25,25,True,0,0,3,2.0000000000002655e-06,18,1.8000000000004124e-05,True,49,49
alphabet_soup,13,5,5,5,True,0,0,0,1.0000000000001327e-06,3,5.999999999999929e-06,True,57,57
alphabet_soup,14,4,4,4,True,0,0,0,1.0000000000001327e-06,1,6.0000000000060005e-06,True,48,48
alphabet_soup,15,8,8,8,True,0,0,1,2.0000000000000486e-06,4,1.500000000000004e-05,True,73,73
alphabet_soup,17,13,13,13,True,0,0,2,0.5,9,0.032490000000000005,True,49,49
alphabet_soup,18,7,7,7,True,0,0,0,1.0000000000001327e-06,1,2.999999999999531e-06,True,61,61
alphabet_soup,20,1,1,1,True,0,0,0,1.000000000001e-06,1,2.000000000002e-06,True,54,54
alphabet_soup,22,4,4,4,True,0,0,0,1.000000000001e-06,2,1.3999999999986246e-05,True,70,70
alphabet_soup,35,14,14,14,True,0,0,1,2.0000000000002655e-06,7,2.0000000000000052e-05,True,82,82
alphabet_soup,40,7,7,7,True,0,0,0,1.000000000001e-06,2,8.000000000008e-06,True,51,51
alphabet_soup,44,7,7,7,True,0,0,0,1.0000000000001327e-06,3,1.4000000000000123e-05,True,85,85
bbq_sauce,5,1,1,1,True,0,0,0,1.000000000001e-06,1,2.000000000002e-06,True,74,74
bbq_sauce,10,21,21,21,True,0,0,1,2.0000000000000486e-06,12,1.6000000000016e-05,True,54,54
bbq_sauce,17,0,0,0,True,0,0,0,0.0,0,0.0,True,-1,-1
bbq_sauce,18,13,13,13,True,0,0,0,1.9999999999998318e-06,6,1.6000000000016e-05,True,49,49
bbq_sauce,21,0,0,0,True,0,0,0,0.0,0,0.0,True,-1,-1
bbq_sauce,26,4,4,4,True,0,0,0,1.000000000001e-06,3,1.5999999999988246e-05,True,54,54
bbq_sauce,27,2,2,2,True,0,0,0,1.000000000001e-06,2,2.2999999999995246e-05,True,61,61
bbq_sauce,29,4,4,4,True,0,0,0,4.911642074583193e-09,0,0.0,True,62,62
bbq_sauce,30,9,9,9,True,0,0,0,1.9999999999998318e-06,3,1.1999999999984245e-05,True,42,42
bbq_sauce,33,2,2,2,True,0,0,0,1.000000000001e-06,2,1.4000000000014001e-05,True,49,49
bbq_sauce,40,3,3,3,True,0,0,1,2.0000000000000486e-06,1,1.8000000000018e-05,True,53,53
bbq_sauce,47,20,20,20,True,0,0,0,1.000000000001e-06,7,1.7000000000003124e-05,True,128,128
butter,2,6,6,6,True,0,0,0,1.9999999999998318e-06,3,1.0999999999998858e-05,True,68,68
butter,10,6,6,6,True,0,0,0,1.000000000001e-06,3,1.0000000000010001e-05,True,57,57
butter,11,3,3,3,True,0,0,0,1.000000000001e-06,2,8.000000000008e-06,True,60,60
butter,12,15,15,15,True,0,0,0,1.000000000001e-06,7,9.999999999982245e-06,True,57,57
butter,15,3,3,3,True,0,0,0,1.9999999999999944e-06,1,1.1000000000004062e-05,True,56,56
butter,16,9,9,9,True,0,0,0,1.000000000001e-06,5,1.8000000000018e-05,True,12,12
butter,22,4,4,4,True,0,0,0,1.99999999999994e-06,3,7.000000000000062e-06,True,48,48
butter,24,17,17,17,True,0,0,0,1.000000000001e-06,7,2.1000000000000185e-05,True,20,20
butter,26,4,4,4,True,0,0,0,1.0000000000001327e-06,3,1.1000000000000593e-05,True,63,63
butter,28,2,2,2,True,0,0,0,9.999999999999159e-07,1,5.000000000001531e-06,True,65,65
