branch,sha,committer_date,merged_origin_main,no_merged_origin_main,recommended_action,reason
audit/m3-v2-seed81-trajectory-feasibility-20260615,24477cb78c3432d7b0ae327819eb8473d6ef6df8,2026-06-14 22:43:08 +0800,False,True,CLOSE_OR_ARCHIVE_PR_BEFORE_DELETE,historical_draft_or_superseded_experiment
exp/codex-autonomous-vis-crosssuite-20260531,6b73e51523e644545c271fda49536cfc5cf29487,2026-06-01 00:45:31 +0800,False,True,CLOSE_OR_ARCHIVE_PR_BEFORE_DELETE,historical_draft_or_superseded_experiment
exp/m3-arm-constrained-logratio-v3-20260615,638a97962a038992410c426941291f8a90360d0c,2026-06-14 23:20:47 +0800,False,True,CLOSE_OR_ARCHIVE_PR_BEFORE_DELETE,historical_draft_or_superseded_experiment
exp/m3-arm-v3-fresh-seed82-canary-20260615,72708fe1afd4485cf2dc66e6efbf0a4d1d8d4b31,2026-06-15 00:03:06 +0800,False,True,CLOSE_OR_ARCHIVE_PR_BEFORE_DELETE,historical_draft_or_superseded_experiment
exp/m3-arm-v4-fixed-frame-panel-prereg-20260615,de5704c816c13a9bf9b4f2521abd14dee132c16e,2026-06-15 16:30:15 +0800,False,True,CLOSE_OR_ARCHIVE_PR_BEFORE_DELETE,historical_draft_or_superseded_experiment
exp/m3-arm-v4-hard-feasible-selection-20260615,98debf2aad97097a14861db97bd34d94042776a2,2026-06-15 11:44:24 +0800,False,True,CLOSE_OR_ARCHIVE_PR_BEFORE_DELETE,historical_draft_or_superseded_experiment
eval/official-libero-clean-20260525,087044390498f271fddfe009d95e6701fc9450fd,2026-05-29 18:57:00 +0800,False,True,DELETE_CANDIDATE_AFTER_WORKTREE_CHECK,documented_merged_branch_low_risk
merge/sc5-mainline-20260618,ad05729f8b4924e7881562e6189d6f995a323da4,2026-06-19 00:19:41 +0800,False,True,DELETE_CANDIDATE_AFTER_WORKTREE_CHECK,documented_merged_branch_low_risk
exp/l12-production-streaming-adapter-20260615,4239a12e594bd63969428f38a0a87979472d101a,2026-06-17 00:55:02 +0800,False,True,KEEP,active_mainline_or_current_work
feature/sc5-cross-suite-generalization-20260619,dabacde5fc37be90bedb560fdd2e213f995935b4,2026-06-19 06:53:58 +0800,False,True,KEEP,active_mainline_or_current_work
feature/sc5-video-export-20260618,54fae494558dc22cc38499a73fec9c58927fed64,2026-06-19 00:29:05 +0800,False,True,KEEP,active_mainline_or_current_work
main,75dc110b558ee8c879ed66f2ba2e6b2f243157c5,2026-06-18 21:11:16 +0800,True,False,KEEP,active_mainline_or_current_work
audit/m3-fixed-frame-objective-comparison-20260615,9f5839d64696b1468f9b4017b97a3a2792a1bb30,2026-06-14 22:14:59 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
audit/m3-step78-rand20-selectivity-20260615,a214aa184258570cf84ffd50eaf6a778bbdb3ee7,2026-06-14 22:12:17 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
audit/s20f-tomato-clip-persistence-20260614,5175e4351dd84cdd76ebc790ddeaaaff3ac128b3,2026-06-14 14:52:02 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
codex/layer3-feasible-route-20260613,97207bad85bce3cd7e353f3dcb0cf836fb6a48be,2026-06-13 20:48:28 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
codex/v3-parity-pipeline-finalize-20260614,d745378546c57cddd3dbf0bebd5f9b89e1fda4a8,2026-06-14 01:58:58 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
evidence/nonbb-bowl-plate-targeted-vis-20260522,bd9c92262a5b3738f1159c0bbef2a2e94245c894,2026-05-22 19:33:30 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
evidence/state5-exact-codex-freeze-20260523,f5e89ccec99ee44dd89b6f8ec25b26112352268e,2026-05-23 22:56:42 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/crosssuite-clean-spatial-prep-20260617,b3d22db30668990de975604c43394987094b437e,2026-06-17 03:32:38 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/d5-v2-crosssuite-qpos-canonicalization-20260617,e088c0454268e4610cd8de6a661c0b4d0b3e08f8,2026-06-17 11:35:17 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l12-causal-first-trigger-prereg-20260615,6f34df3aa294ab628dcfc11954ad4c7ccf7ea9b5,2026-06-15 13:37:15 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l12-causal-first-trigger-replay-20260615,2570cc96e0a504229cd22f23691abb44fe92a96f,2026-06-15 13:55:45 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l12-critical-close-window-selector-20260615,bd563f1318d4c8882f7df489d7a7c3f0bc9b1ffe,2026-06-15 13:07:36 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l12-final-closeout-l3-vis-handoff-20260617,50da442c1b033a780b802c6345c376b23d4833b1,2026-06-17 12:07:25 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l12-postfreeze-timing-panel-20260617,810b02bb538dd37bde32be503af1c55ce16dc627,2026-06-17 11:07:01 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l12-timing-postprocess-20260617,db4d181b93ec1a890628b2d00f4d194fb0d8b1de,2026-06-17 01:27:25 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l2-failure-critical-phase-detector-v2-20260618,620e716dcbf48a8aee811422c17817be3b51f1f7,2026-06-18 10:56:17 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l2-sc5-canonical-corpus-deepseek-20260618,54ea19a477bd98c0d0343e36b90e81391af3adb2,2026-06-18 18:09:42 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l2-sc5-census-freeze-fix-codex-20260618,45aad452d4b0ce6554757d7e2d9c8b3bb215e607,2026-06-18 12:58:50 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l2-sc5-data-census-tcn-v2-20260618,6c1953e7ece74624a3e2a379f31e7cd97051371d,2026-06-18 12:29:53 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l2-sc5-student-v2-20260618,bdccf366b10659ef02563bb3f554c72a7a1a3f48,2026-06-18 12:04:14 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l3-d5-vis-temporal-20260617,a05a8a716abc77b5aa3e5630936dc254c604241f,2026-06-18 00:40:58 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l3-deepseek-autonomous-20260617,bcd945f5e9ff4e4f85479032755ed770226b64e6,2026-06-17 15:28:09 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l3-h3-h5-2h-autonomous-20260617,e60c1e763317e434197e72fe7ded5d71dbb07c88,2026-06-17 16:47:44 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l3-h5-oracle-closed-loop-20260617,06a94cac758aae94f5559dcde178322b2c0f6284,2026-06-17 17:54:26 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l3-h5-v2-final-seal-20260617,c87b52f1b33ccdfee45d2a7a590b73e49a63892e,2026-06-17 22:04:11 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l3-h5-v2-integration-20260617,8b9a879af66c0c3bc5a9c7e7ec2b2801e7c02d05,2026-06-17 20:06:34 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l3-h5-v2-runner-c-20260617,8964acc1523d994c2ea632a061f5f237ada960b3,2026-06-17 19:34:30 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l3-h5-v2-telemetry-d-20260617,010bd94079044152ce99ad2102acdeaa6d3b980c,2026-06-17 20:25:06 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l3-independent-audit-prep-20260617,ef41857a02ac217609db257c1a5dd9d7fddf6b59,2026-06-17 12:36:16 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l3-selective-v3-gpu15-20260617,38bc419d41f86512ca1fb40ecab996efc7786e99,2026-06-17 01:04:27 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l3-v3-multiparent-watcher-prep-20260617,0a31d91864aabd6bc9ee63f4514a9f21c7dd558d,2026-06-17 01:30:22 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l3-v3-telemetry-repair-stage2-exec-20260617,56182bfeae43d71f365261c2f72a80c3813714c2,2026-06-17 02:14:22 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/l3-vis-handoff-contract-repair-20260617,50741080e84ced5d2373f8aebc69cc4b5a14a1d5,2026-06-17 12:42:58 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
exp/m3-arm-v5-clean-close-event-panel-20260616,d02db0b6f6aa2f3cee6a0b2136b72262ea1a4fb4,2026-06-16 14:39:17 +0800,False,True,KEEP_OR_ARCHIVE_REVIEW_REQUIRED,not_merged_into_origin_main
