delay,n_parents,n_hits,n_early,n_late,hit_rate,mean_abs_distance
0,12,5,5,2,0.4167,27.08
1,12,5,5,2,0.4167,27.25
2,12,5,5,2,0.4167,27.42
3,12,5,5,2,0.4167,27.58
4,12,6,4,2,0.5,27.75
5,12,6,4,2,0.5,27.92
6,12,6,4,2,0.5,28.25
7,12,6,4,2,0.5,28.58
8,12,4,4,4,0.3333,28.92
9,12,1,4,7,0.0833,29.25
10,12,1,4,7,0.0833,29.58
11,12,1,4,7,0.0833,29.92
12,12,1,4,7,0.0833,30.25
13,12,1,4,7,0.0833,30.58
14,12,1,4,7,0.0833,30.92
15,12,1,4,7,0.0833,31.25
16,12,1,4,7,0.0833,31.58
17,12,0,4,8,0.0,31.92
18,12,0,4,8,0.0,32.25
19,12,0,4,8,0.0,32.58
20,12,0,4,8,0.0,32.92
