delay,n_parents,n_hits,n_early,n_late,hit_rate,mean_abs_distance,butter_hit,tomato_hit,salad_hit
0,3,1,1,1,0.3333,47.0,True,False,False
1,3,0,1,2,0.0,47.33,False,False,False
2,3,0,1,2,0.0,47.67,False,False,False
3,3,0,1,2,0.0,48.0,False,False,False
4,3,0,1,2,0.0,48.33,False,False,False
5,3,0,1,2,0.0,48.67,False,False,False
6,3,0,1,2,0.0,49.0,False,False,False
7,3,0,1,2,0.0,49.33,False,False,False
8,3,0,1,2,0.0,49.67,False,False,False
9,3,0,1,2,0.0,50.0,False,False,False
10,3,0,1,2,0.0,50.33,False,False,False
11,3,0,1,2,0.0,50.67,False,False,False
12,3,0,1,2,0.0,51.0,False,False,False
13,3,0,1,2,0.0,51.33,False,False,False
14,3,0,1,2,0.0,51.67,False,False,False
15,3,0,1,2,0.0,52.0,False,False,False
16,3,0,1,2,0.0,52.33,False,False,False
17,3,0,1,2,0.0,52.67,False,False,False
18,3,0,1,2,0.0,53.0,False,False,False
19,3,0,1,2,0.0,53.33,False,False,False
20,3,0,1,2,0.0,53.67,False,False,False
